# 暗影刺客(黒子これも)
# Converted from SkyStudio format
# BPM: 600
# Total chords: 324

Time,Keys,Duration
0.00,B2D3,0.10
0.10,D3,0.10
0.20,D3,1.70
1.90,B2D3,0.10
2.00,D3,0.10
2.10,D3,1.00
3.10,E3,0.10
3.20,E3,0.10
3.30,E3,0.10
3.40,E3,0.10
3.50,E3,0.10
3.60,E3,0.10
3.70,E3,0.10
3.80,E3,0.10
3.90,F3,0.10
4.00,F3,0.10
4.10,F3,0.10
4.20,F3,0.10
4.30,F3,0.10
4.40,F3,0.10
4.50,F3,0.10
4.60,F3,0.20
4.80,B2D3,0.10
4.90,D3,0.10
5.00,D3,0.90
5.90,C3,0.10
6.00,C3,0.10
6.10,C3,0.10
6.20,C3,0.10
6.30,C3,0.10
6.40,C3,0.10
6.50,C3,0.10
6.60,C3,0.10
6.70,C#3,0.10
6.80,C#3,0.10
6.90,C#3,0.10
7.00,C#3,0.10
7.10,C#3,0.10
7.20,C#3,0.10
7.30,C#3,0.10
7.40,C#3,0.20
7.60,B2D3,0.20
7.80,F3,0.10
7.90,F3,0.10
8.00,F3,0.20
8.20,F3,0.20
8.40,F3,0.20
8.60,E3,0.10
8.70,E3,0.10
8.80,E3,0.20
9.00,E3,0.20
9.20,E3,0.20
9.40,G3,0.10
9.50,G3,0.10
9.60,G3,0.20
9.80,G3,0.20
10.00,G3,0.20
10.20,F#3,0.10
10.30,F#3,0.10
10.40,F#3,0.20
10.60,F#3,0.20
10.80,B2D3,0.20
11.00,F3,0.10
11.10,F3,0.10
11.20,F3,0.20
11.40,F3,0.20
11.60,F3,0.20
11.80,E3,0.10
11.90,E3,0.10
12.00,E3,0.20
12.20,E3,0.20
12.40,E3,0.20
12.60,G3,0.10
12.70,G3,0.10
12.80,G3,0.20
13.00,G3,0.20
13.20,G3,0.20
13.40,F#3,0.10
13.50,F#3,0.10
13.60,F#3,0.20
13.80,F#3,0.20
14.00,B2D3G3,0.20
14.20,F3,0.10
14.30,F3,0.10
14.40,D3F3,0.20
14.60,F3,0.20
14.80,F3,0.20
15.00,E3,0.10
15.10,E3,0.10
15.20,A2C#3E3,0.20
15.40,E3,0.20
15.60,A2C#3E3F#3G#3,0.20
15.80,G3,0.10
15.90,G3,0.10
16.00,A2C3G3,0.20
16.20,G3,0.20
16.40,B2D3F#3,0.20
16.60,F#3,0.10
16.70,F#3,0.10
16.80,F#3,0.20
17.00,B2D3F#3,0.20
17.20,A#3B2D#3D3,0.20
17.40,F3,0.10
17.50,F3,0.10
17.60,B2D3F3,0.20
17.80,F3,0.20
18.00,F3,0.20
18.20,E3,0.10
18.30,E3,0.10
18.40,A2C#3E3,0.20
18.60,E3,0.20
18.80,A2C#3C4E3,0.20
19.00,G3,0.10
19.10,G3,0.10
19.20,A2C3G3,0.20
19.40,G3,0.20
19.60,G3,0.20
19.80,F#3,0.10
19.90,F#3,0.10
20.00,A2B2F#3,0.20
20.20,F#3,0.20
20.40,A#3D3,0.20
20.60,F3,0.10
20.70,F3,0.10
20.80,A2B2C#3D3F3,0.20
21.00,D3F3,0.20
21.20,A2F3,0.20
21.40,B2C#3E3,0.10
21.50,E3,0.10
21.60,A2C#3D3E3,0.20
21.80,E3,0.20
22.00,C#3C3E3G#3,0.20
22.20,G3,0.10
22.30,G3,0.10
22.40,A2C#3D3G3,0.20
22.60,D3G3,0.20
22.80,G3,0.20
23.00,B2C#3F#3,0.10
23.10,F#3,0.10
23.20,B2D3F#3,0.20
23.40,C#3F#3,0.20
23.60,A3D3,0.20
23.80,F3,0.10
23.90,F3,0.10
24.00,A2B2C#3D3F3,0.20
24.20,D3F3,0.20
24.40,A2F3,0.20
24.60,B2C#3E3,0.10
