# 最炫民族风 烛子ikina
# Converted from SkyStudio format
# BPM: 573
# Total chords: 348

Time,Keys,Duration
1.25,C#3,0.10
1.35,D3,0.10
1.46,E3,0.10
1.56,F3,0.10
1.66,B2D3F#3,0.42
2.08,B2D3,0.21
2.29,D3,0.21
2.50,B2D3E3,0.42
2.91,B2F#3,0.42
3.33,A2C3F3,0.21
3.54,F3,0.10
3.64,F#3,0.10
3.74,A2F3,0.21
3.95,E3,0.21
4.16,A2C3F3,0.21
4.37,E3,0.21
4.58,A2D3,0.42
4.99,A#2C#3F#3,0.42
5.41,A#2D3,0.21
5.62,D3,0.21
5.82,A#2C#3E3,0.42
6.24,A#2F#3,0.42
6.66,B2D#3G#3,0.21
6.86,F3,0.10
6.97,F#3,0.10
7.07,B2F3,0.21
7.28,E3,0.21
7.49,B2D#3F3,0.21
7.70,E3,0.21
7.90,B2D3,0.21
8.11,E3,0.21
8.32,B2D3F#3,0.42
8.74,B2D3,0.21
8.94,D3,0.21
9.15,B2D3E3,0.42
9.57,B2F#3,0.42
9.98,A2C3F3,0.21
10.19,F3,0.10
10.30,F#3,0.10
10.40,C3F3,0.21
10.61,E3,0.21
10.82,A2C3F3,0.21
11.02,E3,0.21
11.23,C3D3,0.42
11.65,A#2C#3F#3,0.42
12.06,C#3D3,0.21
12.27,D3,0.21
12.48,A#2C#3E3,0.42
12.90,C#3F#3,0.42
13.31,B2D#3G#3,0.21
13.52,F#3,0.21
13.73,B2D#3G#3,0.10
13.83,G#3,0.10
13.94,G#3,0.10
14.04,G#3,0.10
14.14,G#3,0.83
14.98,A2B2D3,0.42
15.39,B2D3,0.21
15.60,C#3,0.21
15.81,A2B2D3,0.42
16.22,B2D3,0.21
16.43,E3,0.21
16.64,A2C3E3,0.42
17.06,C#3F3,0.21
17.26,E3,0.21
17.47,A2B2D3,0.42
17.89,A2,0.42
18.30,A2B2E3,0.42
18.72,B2E3,0.21
18.93,C#3,0.21
19.14,A2B2E3,0.21
19.34,F3,0.21
19.55,B2F#3,0.21
19.76,G#3,0.21
19.97,B2D#3G#3,0.21
20.18,F#3,0.21
20.38,B2F3,0.31
20.70,F3,0.10
20.80,B2D3F#3,0.42
21.22,A#2,0.42
21.63,A2A3C3E3,0.21
21.84,A3,0.21
22.05,A3C3,0.21
22.26,G#3,0.21
22.46,B2C#3E3F#3,0.21
22.67,F#3,0.21
22.88,B2,0.21
23.09,E3,0.21
23.30,A2B2D3,0.21
23.50,D3,0.21
23.71,B2D3,0.21
23.92,F#3,0.21
24.13,A#2C3F3,0.42
24.54,A#2,0.42
24.96,B2D#3F#3,0.21
25.17,F#3,0.21
25.38,B2G#3,0.21
25.58,F#3,0.21
25.79,B2D#3F3,0.21
26.00,F#3,0.21
26.21,B2F3,0.21
26.42,E3,0.21
26.62,A2B2D3,0.42
27.04,A#2C#3,0.42
27.46,A2B2D3,0.42
27.87,A2,0.42
28.29,A2B2D3,0.21
28.50,B2,0.21
28.70,D3,0.21
28.91,B2C#3,0.21
29.12,A2B2D3,0.21
29.33,B2,0.21
29.54,D3,0.21
29.74,B2E3,0.21
29.95,A2C3E3,0.21
30.16,C3,0.21
30.37,F3,0.21
30.58,C#3E3,0.21
30.78,A2B2D3,0.21
30.99,B2,0.21
31.20,C#3,0.21
31.41,D3,0.21
31.62,A2B2C#3E3,0.21
31.82,B2,0.21
32.03,E3,0.21
32.24,B2C#3,0.21
32.45,A2B2E3,0.21
32.66,B2F3,0.21
32.86,F#3,0.21
33.07,B2G#3,0.21
33.28,B2D#3G#3,0.21
33.49,B2F#3,0.21
33.70,F3,0.21
33.90,B2,0.10
34.01,F3,0.10
34.11,B2D3F#3,0.21
34.32,A#2,0.21
34.53,A#2,0.21
34.74,B2,0.21
34.94,A2A3C3E3,0.21
35.15,A3C3,0.21
35.36,A3,0.21
35.57,C3G#3,0.21
35.78,B2C#3E3F#3,0.21
35.98,B2F#3,0.21
36.19,C#3,0.21
36.40,D3E3,0.21
36.61,A2B2D3,0.21
36.82,B2D3,0.21
37.02,D3,0.21
37.23,B2F#3,0.21
37.44,A#2C3D3F3,0.21
37.65,A2,0.21
37.86,A2,0.21
38.06,A#2,0.21
38.27,B2D#3F#3,0.21
38.48,B2F#3,0.21
38.69,G#3,0.21
38.90,B2F#3,0.21
39.10,B2D#3F3,0.21
