# 月光传说
# Converted from SkyStudio format
# BPM: 240
# Total chords: 273

Time,Keys,Duration
0.00,A#2F3,0.25
0.25,B2F#3,1.00
1.25,C3G3,0.25
1.50,B2F#3,0.25
1.75,A#2F3,0.25
2.00,B2F#3,0.25
2.25,E3G3,0.25
2.50,D#3F#3,0.50
3.00,B2,0.25
3.25,D3,0.25
3.50,E3,0.25
3.75,B2D3F#3,0.50
4.25,B2D3F#3,0.25
4.50,F3,0.25
4.75,B2D3,0.25
5.00,E3,0.25
5.25,B2D3,0.25
5.50,D#3,0.25
5.75,A#2C3,0.25
6.00,E3,0.25
6.25,A#2C3F3,0.50
6.75,A#2C3,0.25
7.00,B2,0.25
7.25,A#2C3,0.25
7.50,F3,0.25
7.75,B2D#3G3,0.50
8.25,B2D#3G3,0.25
8.50,G#3,0.25
8.75,B2D#3,0.25
9.00,G3,0.25
9.25,B2D#3,0.25
9.50,F3,0.25
9.75,B2D3F3,0.25
10.00,F3,0.25
10.25,B2D3F#3,0.50
10.75,B2D3,0.25
11.00,B2,0.25
11.25,B2D3,0.25
11.50,E3,0.25
11.75,A3D3E3,0.50
12.25,D3E3,0.25
12.50,A3,0.25
12.75,D3E3G#3,0.50
13.25,D3E3,0.25
13.50,G#3,0.25
13.75,A#2C3G3,0.25
14.00,F#3,0.25
14.25,A#2C3,0.50
14.75,A#2C3,0.25
15.00,G3,0.25
15.25,A#2C3F#3,0.25
15.50,F3,0.25
15.75,C3D#3F#3,0.50
16.25,B2D#3F3,0.50
16.75,A2C3E3,0.25
17.00,A#2C#3D#3,0.50
17.50,B2D3,1.00
18.50,B2,0.25
18.75,D3,0.25
19.00,E3,0.25
19.25,B2D3F#3,0.25
19.50,A2,0.25
19.75,B2D3F#3,0.25
20.00,A2F3,0.25
20.25,B2D3,0.25
20.50,A2E3,0.25
20.75,B2D3,0.25
21.00,A2D#3,0.25
21.25,A#2C3,0.25
21.50,D#3E3,0.25
21.75,A#2C3F3,0.25
22.00,D#3,0.25
22.25,A#2C3,0.25
22.50,B2D#3,0.25
22.75,A#2C3,0.25
23.00,D#3E3,0.25
23.25,B2D#3F3,0.25
23.50,C#3,0.25
23.75,B2D#3F3,0.25
24.00,C#3E3,0.25
24.25,B2D#3,0.25
24.50,C#3D#3,0.25
24.75,B2D#3,0.25
25.00,C#3D3,0.25
25.25,B2D3,0.25
25.50,A2D#3,0.25
25.75,B2D3E3,0.25
26.00,A2,0.25
26.25,B2D3,0.25
26.50,A2,0.25
26.75,B2D3,0.25
27.00,A2E3,0.25
27.25,B2D3F#3,0.25
27.50,A2,0.25
27.75,B2D3F#3,0.25
28.00,A2F3,0.25
28.25,B2D3,0.25
28.50,A2E3,0.25
28.75,B2D3,0.25
29.00,A2D#3,0.25
29.25,A#2C3,0.25
29.50,D#3E3,0.25
29.75,A#2C3F3,0.25
30.00,D#3,0.25
30.25,A#2C3,0.25
30.50,B2D#3,0.25
30.75,A#2C3,0.25
31.00,D#3E3,0.25
31.25,B2D#3F3,0.25
31.50,C#3,0.25
31.75,B2D#3F#3,0.25
32.00,C#3F3,0.25
32.25,B2D#3E3,0.25
32.50,C#3D#3,0.25
32.75,B2D#3,0.25
33.00,C#3E3,0.25
33.25,B2D3,0.25
33.50,A2,0.25
33.75,B2D3,0.25
34.00,A2,0.25
34.25,B2D3,0.25
34.50,A2,0.25
34.75,B2D3,0.25
35.00,A2E3,0.25
35.25,B2D3F#3,0.25
35.50,A2,0.25
35.75,B2D3F#3,0.25
36.00,A2F3,0.25
36.25,B2D3,0.25
36.50,A2E3,0.25
36.75,B2D3,0.25
37.00,A2D#3,0.25
37.25,A#2C3,0.25
37.50,D#3E3,0.25
37.75,A#2C3F3,0.25
38.00,D#3,0.25
38.25,A#2C3,0.25
38.50,B2D#3,0.25
38.75,A#2C3,0.25
39.00,D#3E3,0.25
39.25,B2D#3F3,0.25
39.50,C#3,0.25
39.75,B2D#3F3,0.25
40.00,C#3E3,0.25
40.25,B2D#3,0.25
40.50,C#3D#3,0.25
40.75,B2D#3,0.25
41.00,C#3D3,0.25
41.25,B2D3,0.25
41.50,A2D#3,0.25
41.75,B2D3E3,0.25
