# 月半小夜曲
# Converted from SkyStudio format
# BPM: 400
# Total chords: 546

Time,Keys,Duration
1.50,B2,0.30
1.80,E3,0.30
2.10,D#3,0.30
2.40,B2D3E3,0.90
3.30,B2,0.30
3.60,B2,0.30
3.90,B2,0.30
4.20,E3,0.30
4.50,D#3,0.30
4.80,C3D3E3,0.90
5.70,C3,0.30
6.00,C3,0.30
6.30,A#2,0.30
6.60,D#3,0.30
6.90,D3,0.30
7.20,A#2C#3D#3,0.90
8.10,A#2,0.30
8.40,A#2,0.45
8.85,C#3,0.45
9.30,C3,0.30
9.60,A2C3,0.90
10.50,B2,0.15
10.65,A#2,0.15
10.80,B2,0.30
11.10,B2,0.30
11.40,E3,0.30
11.70,D#3,0.30
12.00,B2D3E3,0.90
12.90,B2,0.30
13.20,B2,0.30
13.50,D3,0.30
13.80,D#3,0.30
14.10,E3,0.30
14.40,A2F#3,0.30
14.70,C3,0.30
15.00,D3,0.30
15.30,F3,0.15
15.45,E3,0.15
15.60,A#2F3,1.20
16.80,A#2C#3D#3,0.30
17.10,A2,0.30
17.40,B2,0.30
17.70,E3,0.15
17.85,F3,0.15
18.00,B2F#3,0.60
18.60,C#3,0.60
19.20,A2D#3,0.30
19.50,D3,1.20
20.70,B2,0.15
20.85,B2,0.15
21.00,E3,0.30
21.30,D#3,0.30
21.60,B2D3E3,0.90
22.50,B2,0.15
22.65,B2,0.75
23.40,B2,0.30
23.70,C#3,0.30
24.00,B2C#3,0.90
24.90,D3,0.15
25.05,C3,0.45
25.50,A#2,0.15
25.65,A#2,0.15
25.80,D#3,0.30
26.10,D3,0.30
26.40,C#3D#3,0.90
27.30,A#2,0.15
27.45,A#2,0.45
27.90,A#2,0.30
28.20,C#3,0.30
28.50,C3,0.30
28.80,A2C3,0.60
29.40,C3,0.30
29.70,C#3,0.15
29.85,B2,0.45
30.30,B2,0.15
30.45,B2,0.15
30.60,E3,0.30
30.90,D#3,0.30
31.20,B2D3E3,0.90
32.10,E3,0.15
32.25,B2,0.45
32.70,B2,0.30
33.00,D3,0.30
33.30,E3,0.30
33.60,A#2F#3,0.30
33.90,C3,0.30
34.20,D3,0.30
34.50,F3,0.30
34.80,C3F3,0.90
35.70,E3,0.30
36.00,C3D3E3,0.30
36.30,A2,0.30
36.60,C3,0.30
36.90,E3,0.30
37.20,C#3D#3,0.30
37.50,A#2,0.30
37.80,F3,0.30
38.10,E3,0.15
38.25,E3,0.45
38.70,D#3,1.20
39.90,B2,0.15
40.05,B2,0.15
40.20,E3,0.30
40.50,D#3,0.30
40.80,B2D3E3,0.90
41.70,B2,0.15
41.85,B2,0.75
42.60,B2,0.30
42.90,C#3,0.30
43.20,B2C#3,0.90
44.10,D3,0.15
44.25,C3,0.45
44.70,A#2,0.15
44.85,A#2,0.15
45.00,D#3,0.30
45.30,D3,0.30
45.60,C#3D#3,0.90
46.50,A#2,0.15
46.65,A#2,0.45
47.10,A#2,0.30
47.40,C#3,0.30
47.70,C3,0.30
48.00,A2C3,0.60
48.60,C3,0.30
48.90,C#3,0.15
49.05,B2,0.45
49.50,B2,0.15
49.65,B2,0.15
49.80,E3,0.30
50.10,D#3,0.30
50.40,B2D3E3,0.90
51.30,B2,0.60
51.90,B2,0.30
52.20,D3,0.30
52.50,E3,0.30
52.80,A#2F#3,0.30
53.10,C3,0.30
53.40,D3,0.30
53.70,F3,0.30
54.00,C3F3,0.90
54.90,E3,0.30
55.20,C3D3E3,0.30
55.50,A2,0.30
55.80,C3,0.60
56.40,C#3D#3,0.60
57.00,D#3,0.30
57.30,E3,0.15
57.45,A2D#3,0.45
57.90,D3,1.20
59.10,D3,0.30
59.40,D#3,0.30
59.70,E3,0.30
60.00,C3D3E3,0.30
60.30,A2,0.30
60.60,C3,0.30
60.90,D3,0.30
61.20,A#2F3,0.30
61.50,C#3,0.30
61.80,D#3,0.30
62.10,D3,0.15
62.25,C#3,0.15
62.40,A2,0.60
63.00,B2,0.30
63.30,C#3,0.15
63.45,D3,0.15
63.60,A2,0.60
64.20,D3,0.30
64.50,D#3,0.30
64.80,C3D3E3,0.30
65.10,A2,0.30
65.40,C3,0.60
66.00,A#2D#3,0.45
66.45,E3,0.45
66.90,G3,0.30
67.20,B2,0.60
67.80,C#3,0.60
68.40,D#3,0.60
69.00,F3,0.60
69.60,F#3,1.50
71.10,D#3,0.30
71.40,E3,0.30
71.70,F3,0.30
72.00,D3E3F#3,0.30
72.30,E3,0.30
72.60,A2F#3,0.30
72.90,E3,0.15
73.05,B2F#3,0.45
73.50,E3,0.30
73.80,F3,0.30
74.10,F#3,0.30
74.40,A#2G#3,0.30
74.70,C3,0.30
75.00,D3,0.30
75.30,G3,0.15
75.45,G3,0.15
75.60,A#2,0.30
75.90,C3,0.30
76.20,D3,0.30
76.50,C3,0.30
76.80,C#3D#3F3,0.30
77.10,E3,0.30
77.40,D#3,0.30
77.70,D3,0.15
77.85,C#3,0.15
78.00,A2C#3,0.30
78.30,C#3,0.30
78.60,D3,0.30
78.90,D#3,0.30
79.20,A2G3,0.30
79.50,B2,0.30
79.80,C#3F#3,0.30
80.10,F3,0.15
80.25,F3,0.15
