# 朗朗晴天ハレハレヤ
# Converted from SkyStudio format
# BPM: 220
# Total chords: 285

Time,Keys,Duration
0.00,hiky,0.54
0.54,;,0.54
1.09,;ijmp,0.54
1.63,;,0.54
2.18,hlnou,0.54
2.72,;,0.54
3.26,jlpu,1.09
4.35,k,0.27
4.62,;mp,0.27
4.90,m,0.27
5.17,m,0.27
5.44,;,0.27
5.71,;ik,0.27
5.98,n,0.27
6.26,lm,0.27
6.53,k,0.27
6.80,;jkm,0.27
7.07,m,0.27
7.34,m,0.27
7.62,;,0.27
7.89,;ij,0.27
8.16,n,0.27
8.43,lm,0.27
8.70,k,0.27
8.98,;ikp,0.27
9.25,l,0.27
9.52,;,0.27
9.79,l,0.27
10.06,;,0.27
10.34,m,0.27
10.61,m,0.54
11.15,jlpu,0.27
11.42,k,0.27
11.70,l,0.54
12.24,km,0.54
12.78,k,0.27
13.06,k,0.27
13.33,j,0.27
13.60,h,0.27
13.87,jpu,0.27
14.14,k,0.27
14.42,l,0.27
14.69,;l,0.27
14.96,ikmp,0.27
15.23,k,0.27
15.50,k,0.27
15.78,l,0.27
16.05,k,0.27
16.32,l,0.27
16.59,j,0.27
16.86,h,0.27
17.14,ijp,0.27
17.41,k,0.27
17.68,k,0.27
17.95,l,0.27
18.22,;,0.27
18.50,/,0.27
18.77,.jm,0.27
19.04,k,0.27
19.31,k,0.27
19.58,l,0.27
19.86,k,0.27
20.13,j,0.27
20.40,hik,0.27
20.67,k,0.27
20.94,l,0.27
21.22,l,0.27
21.49,;ikmp,0.27
21.76,k,0.27
22.03,k,0.27
22.30,;,0.27
22.58,l,0.27
22.85,k,0.27
23.12,jlpu,0.54
23.66,k,0.27
23.94,;km,0.27
24.21,m,0.27
24.48,m,0.27
24.75,,;,0.27
25.02,l,0.27
25.30,;ikp,0.27
25.57,;,0.27
25.84,;,0.27
26.11,/,0.27
26.38,.;jm,0.27
26.66,k,0.27
26.93,l,0.27
27.20,;ikmp,0.27
27.47,k,0.27
27.74,k,0.27
28.02,l,0.27
28.29,k,0.27
28.56,j,0.27
28.83,k,0.27
29.10,p,0.27
29.38,;,0.27
29.65,;,0.27
29.92,l,0.27
30.19,l,0.27
30.46,,;ip,0.27
30.74,,,0.27
31.01,m,0.27
31.28,/;ikmp,0.27
31.55,m,0.27
31.82,;,0.27
32.10,l,0.27
32.37,;ikmp,0.27
32.64,;,0.27
32.91,l,0.27
33.18,k,0.27
33.46,hou,0.27
33.73,;,0.27
34.00,l,0.27
34.27,k,0.27
34.54,ijlp,0.27
34.82,p,0.27
35.09,p,0.27
35.36,p,0.27
35.63,hopy,0.27
35.90,;,0.27
36.18,l,0.27
36.45,k,0.27
36.72,;mpu,0.27
36.99,j,0.27
37.26,k,0.27
37.54,;ikmp,0.27
37.81,;,0.27
38.08,k,0.27
38.35,k,0.27
38.62,jlpu,0.54
39.17,k,0.27
39.44,;jmpu,0.27
39.71,;,0.27
39.98,k,0.27
40.26,l,0.27
40.53,;ikp,0.54
41.07,h,0.27
41.34,k,0.27
41.62,hlou,0.27
41.89,;,0.27
42.16,h,0.27
42.43,k,0.27
42.70,hl,0.27
42.98,koy,0.27
43.25,h,0.27
43.52,jlpu,0.27
43.79,;,0.27
44.06,;jpu,0.27
44.34,hlou,0.27
44.61,;,0.27
44.88,h,0.27
45.15,k,0.27
45.42,hloy,0.27
45.70,k,0.27
45.97,h,0.27
46.24,;ijmp,0.54
46.78,k,0.27
47.06,ikpy,0.54
47.60,j,0.27
47.87,kou,0.27
48.14,j,0.27
48.42,p,0.27
48.69,y,0.27
48.96,y,0.54
49.50,k,0.27
49.78,ijl,0.27
50.05,k,0.27
50.32,p,0.27
50.59,y,0.27
50.86,y,0.54
51.41,u,0.27
51.68,i,0.27
51.95,p,0.54
52.50,u,0.27
52.77,i,0.27
53.04,h,0.27
53.31,p,0.27
53.58,;,0.27
53.86,h,0.27
54.13,p,0.27
54.40,p,0.27
54.67,k,0.27
54.94,jlou,0.27
55.22,;,0.27
55.49,h,0.27
55.76,k,0.27
56.03,hloy,0.27
56.30,k,0.27
56.58,h,0.27
56.85,jlpu,0.54
57.39,;,0.27
57.66,;jpu,0.54
58.21,hlou,0.27
58.48,;,0.27
58.75,h,0.27
59.02,k,0.27
59.30,hloy,0.27
59.57,k,0.27
59.84,h,0.27
60.11,;ijmp,0.54
60.66,k,0.27
60.93,ikpy,0.54
61.47,j,0.27
61.74,kou,0.27
62.02,j,0.27
62.29,p,0.27
62.56,y,0.27
62.83,y,0.54
63.38,k,0.27
63.65,ijl,0.27
63.92,k,0.27
64.19,p,0.27
64.46,y,0.27
64.74,y,0.54
65.28,u,0.27
65.55,u,0.27
65.82,i,0.27
66.10,u,0.27
66.37,y,0.27
66.64,u,0.27
66.91,i,0.27
67.18,p,0.27
67.46,i,0.27
67.73,;,0.27
68.00,;,0.27
68.27,h,0.27
68.54,p,0.27
68.82,i,0.27
69.09,p,0.54
69.63,k,0.27
69.90,jl,0.27
70.18,;hou,0.27
70.45,hip,0.27
70.72,k,0.27
70.99,hloy,0.54
71.54,k,0.27
71.81,h,0.27
72.08,jlpu,0.54
72.62,;,0.27
72.90,;ikp,0.54
73.44,jl,0.27
73.71,;hou,0.27
73.98,hip,0.27
74.26,hloy,0.54
74.80,k,0.27
75.07,h,0.27
75.34,;ikmp,0.54
75.89,k,0.27
76.16,ikpy,0.54
76.70,k,0.27
76.98,ijl,0.27
77.25,k,0.27
77.52,p,0.27
77.79,y,0.27
78.06,y,0.54
78.61,j,0.27
78.88,kou,0.27
79.15,j,0.27
79.42,p,0.27
79.70,y,0.27
79.97,y,0.54
80.51,jlpu,0.27
80.78,;,0.27
81.06,m,0.54
81.60,;ikp,0.27
81.87,l,0.27
82.14,k,0.27
82.42,jlpu,0.27
82.69,;,0.27
82.96,m,0.27
83.23,;,0.27
83.50,jlmpu,0.54
84.05,pu,0.27
84.32,h,0.27
84.59,k,0.54
85.14,h,0.54
85.68,hikpy,0.54
86.22,;,0.27
86.50,;ijmp,0.54
87.04,;,0.54
87.58,hlnou,0.54
88.13,;,0.54
88.67,jlpu,0.54
89.22,k,0.54
89.76,ikpy,0.50
