# 朧月
# Converted from SkyStudio format
# BPM: 390
# Total chords: 249

Time,Keys,Duration
0.00,i,0.31
0.31,p,0.31
0.61,h,0.61
1.22,;,0.61
1.84,l,0.61
2.45,j,0.61
3.06,k,0.31
3.37,l,0.15
3.52,k,0.15
3.67,j,0.31
3.98,p,0.31
4.28,i,0.61
4.90,i,0.31
5.20,p,0.31
5.51,h,0.61
6.12,;,0.61
6.73,l,0.61
7.34,j,0.61
7.96,k,0.31
8.26,l,0.15
8.41,k,0.15
8.57,l,0.31
8.87,m,0.31
9.18,;,0.61
9.79,;,0.31
10.10,m,0.31
10.40,,,0.61
11.02,;,0.31
11.32,l,0.31
11.63,l,0.61
12.24,;,0.31
12.55,m,0.31
12.85,,,0.61
13.46,;,0.31
13.77,l,0.31
14.08,;,0.31
14.38,l,0.31
14.69,k,0.31
14.99,j,0.31
15.30,h,0.61
15.91,;,0.61
16.52,l,0.46
16.98,j,0.46
17.44,p,0.31
17.75,p,0.46
18.21,p,0.46
18.67,h,0.31
18.97,h,0.61
19.58,i,0.31
19.89,p,0.31
20.20,h,0.61
20.81,k,0.61
21.42,j,0.61
22.03,p,0.61
22.64,h,0.31
22.95,j,0.15
23.10,h,0.15
23.26,p,0.31
23.56,i,0.31
23.87,i,0.61
24.48,i,0.31
24.79,p,0.31
25.09,h,0.61
25.70,k,0.61
26.32,j,0.61
26.93,p,0.61
27.54,k,0.31
27.85,l,0.15
28.00,k,0.15
28.15,l,0.31
28.46,m,0.31
28.76,;,0.61
29.38,;,0.31
29.68,m,0.31
29.99,,,0.61
30.60,/,0.61
31.21,.,0.61
31.82,m,0.61
32.44,.,0.61
33.05,m,0.61
33.66,,,0.46
34.12,m,0.46
34.58,;,0.31
34.88,l,0.92
35.80,k,0.15
35.95,l,0.15
36.11,;,0.46
36.57,k,0.46
37.03,h,0.31
37.33,l,0.31
37.64,u,0.31
37.94,p,0.31
38.25,k,0.31
38.56,h,0.92
39.47,h,0.31
39.78,l,0.92
40.70,n,0.31
41.00,;,0.46
41.46,k,0.46
41.92,h,0.31
42.23,l,1.99
44.22,h,0.31
44.52,h,0.46
44.98,p,0.46
45.44,k,0.31
45.75,h,0.46
46.21,p,0.46
46.66,k,0.31
46.97,h,1.99
48.96,h,0.31
49.27,n,0.92
50.18,n,0.31
50.49,;,0.46
50.95,k,0.46
51.41,h,0.31
51.71,l,1.99
53.70,k,0.31
54.01,l,0.46
54.47,,,0.46
54.93,k,0.31
55.23,l,0.46
55.69,,,0.46
56.15,k,0.31
56.46,l,1.99
58.45,h,0.31
58.75,l,0.92
59.67,n,0.31
59.98,;,0.46
60.44,k,0.46
60.89,h,0.31
61.20,l,1.99
63.19,h,0.31
63.49,h,0.46
63.95,p,0.46
64.41,k,0.31
64.72,h,0.46
65.18,p,0.46
65.64,k,0.31
65.94,h,1.99
67.93,h,0.31
68.24,n,0.92
69.16,n,0.31
69.46,;,0.46
69.92,k,0.46
70.38,h,0.31
70.69,l,1.99
72.67,k,0.31
72.98,l,0.46
73.44,,,0.46
73.90,k,0.31
74.20,l,0.46
74.66,,,0.46
75.12,k,0.31
75.43,l,1.68
77.11,l,0.31
77.42,;,0.31
77.72,n,0.31
78.03,;,0.31
78.34,l,0.31
78.64,;,0.15
78.80,n,0.77
79.56,;,0.31
79.87,n,0.31
80.17,m,0.31
80.48,n,0.31
80.78,;,0.31
81.09,n,0.15
81.24,m,0.77
82.01,;,0.31
82.31,l,0.31
82.62,k,0.92
83.54,h,0.31
83.84,h,0.46
84.30,k,0.46
84.76,h,0.31
85.07,k,0.46
85.53,k,0.46
85.99,l,0.31
86.29,l,0.61
86.90,l,0.31
87.21,;,0.31
87.52,n,0.31
87.82,;,0.31
88.13,l,0.31
88.43,;,0.15
88.59,n,0.77
89.35,;,0.31
89.66,n,0.31
89.96,m,0.31
90.27,n,0.31
90.58,;,0.31
90.88,n,0.15
91.03,m,0.46
91.49,n,0.31
91.80,;,0.31
92.11,k,0.31
92.41,l,0.31
92.72,,,0.15
92.87,,,1.53
94.40,m,0.31
94.71,,,1.84
96.54,i,0.31
96.85,p,0.31
97.16,h,0.61
97.77,;,0.61
98.38,l,0.61
98.99,j,0.61
99.60,k,0.31
99.91,l,0.15
100.06,k,0.15
100.22,j,0.31
100.52,p,0.31
100.83,i,0.61
101.44,i,0.31
101.75,p,0.31
102.05,h,0.61
102.66,;,0.61
103.28,l,0.61
103.89,j,0.61
104.50,k,0.31
104.81,l,0.15
104.96,k,0.15
105.11,l,0.31
105.42,m,0.31
105.72,;,0.61
106.33,;,0.31
106.64,m,0.31
106.95,,,0.61
107.56,;,0.31
107.86,l,0.31
108.17,l,0.61
108.78,;,0.31
109.09,m,0.31
109.39,,,0.61
110.01,;,0.31
110.31,l,0.31
110.62,;,0.31
110.92,l,0.31
111.23,k,0.31
111.54,j,0.31
111.84,h,0.61
112.45,;,0.61
113.07,l,0.46
113.53,j,0.46
113.98,p,0.31
114.29,p,0.46
114.75,p,0.46
115.21,h,0.31
115.52,h,0.50
