# 杀死那个石家庄人
# Converted from SkyStudio format
# BPM: 372
# Total chords: 478

Time,Keys,Duration
0.64,lu,0.32
0.97,;i,0.32
1.29,mp,0.32
1.61,lu,0.32
1.93,;i,0.32
2.25,mp,0.32
2.58,ky,0.32
2.90,;i,0.32
3.22,ky,0.32
3.54,lu,0.32
3.86,mp,0.32
4.19,ju,0.32
4.51,ky,0.32
4.83,mp,0.32
5.15,ju,0.32
5.47,ky,0.32
5.80,mp,0.32
6.12,ju,0.32
6.44,ky,0.32
6.76,lu,0.32
7.08,;i,0.32
7.41,mp,0.32
7.73,lu,0.32
8.05,;i,0.32
8.37,mp,0.32
8.69,ky,0.32
9.02,;i,0.32
9.34,ky,0.32
9.66,lu,0.32
9.98,mp,0.32
10.30,ju,0.32
10.63,ky,0.32
10.95,mp,0.32
11.27,ju,0.32
11.59,ky,0.32
11.91,mp,0.32
12.24,ju,0.32
12.56,ky,0.32
12.88,jlu,0.32
13.20,;ik,0.32
13.52,kmp,0.32
13.85,jlu,0.32
14.17,;ik,0.32
14.49,kmp,0.32
14.81,hky,0.32
15.13,;ik,0.32
15.46,hky,0.32
15.78,jlu,0.32
16.10,kmp,0.32
16.42,jpu,0.32
16.74,hky,0.32
17.07,kmp,0.32
17.39,jpu,0.32
17.71,hky,0.32
18.03,kmp,0.32
18.35,jpu,0.32
18.68,hky,0.32
19.00,jlu,0.32
19.32,;ik,0.32
19.64,kmp,0.32
19.96,jlu,0.32
20.29,;ik,0.32
20.61,kmp,0.32
20.93,hky,0.32
21.25,;ik,0.32
21.57,hky,0.32
21.90,jlu,0.32
22.22,kmp,0.32
22.54,jpu,0.32
22.86,hky,0.32
23.18,kmp,0.32
23.51,jpu,0.32
23.83,hky,0.32
24.15,kmp,0.32
24.47,lu,0.32
24.79,ky,0.32
25.12,hu,0.32
25.44,i,0.32
25.76,p,0.32
26.08,i,0.32
26.40,u,0.32
26.73,i,0.32
27.05,kp,0.32
27.37,il,0.32
27.69,;y,0.32
28.01,i,0.32
28.34,h,0.32
28.66,i,0.32
28.98,y,0.32
29.30,i,0.32
29.62,jl,0.32
29.95,ik,0.32
30.27,hu,0.32
30.59,i,0.32
30.91,p,0.32
31.23,i,0.32
31.56,u,0.32
31.88,i,0.32
32.20,p,0.32
32.52,i,0.32
32.84,hu,0.32
33.17,i,0.32
33.49,h,0.32
33.81,i,0.32
34.13,u,0.32
34.45,i,0.32
34.78,jl,0.32
35.10,hik,0.32
35.42,hiy,0.32
35.74,i,0.32
36.06,p,0.32
36.39,i,0.32
36.71,u,0.32
37.03,i,0.32
37.35,kp,0.32
37.67,ilp,0.32
38.00,;py,0.32
38.32,i,0.32
38.64,h,0.32
38.96,i,0.32
39.28,y,0.32
39.61,i,0.32
39.93,jl,0.32
40.25,hik,0.32
40.57,hiy,0.32
40.89,i,0.32
41.22,p,0.32
41.54,i,0.32
41.86,u,0.32
42.18,i,0.32
42.50,kp,0.32
42.83,i,0.32
43.15,hu,0.32
43.47,i,0.32
43.79,h,0.32
44.11,k,0.32
44.44,;,0.32
44.76,k,0.32
45.08,h,0.32
45.40,i,0.32
45.72,o,0.32
46.05,y,0.32
46.37,ho,0.32
46.69,hy,0.32
47.01,jp,0.32
47.33,hu,0.32
47.66,jp,0.32
47.98,ku,0.32
48.30,h,0.32
48.62,i,0.32
48.94,;,0.32
49.27,i,0.32
49.59,k,0.32
49.91,i,0.32
50.23,h,0.32
50.55,i,0.32
50.88,o,0.32
51.20,y,0.32
51.52,ho,0.32
51.84,hy,0.32
52.16,jp,0.32
52.49,hu,0.32
52.81,jp,0.32
53.13,ku,0.32
53.45,h,0.32
53.77,hi,0.32
54.10,;,0.32
54.42,i,0.32
54.74,k,0.32
55.06,i,0.32
55.38,h,0.32
55.71,k,0.32
56.03,o,0.32
56.35,y,0.32
56.67,ho,0.32
56.99,hoy,0.32
57.32,jp,0.32
57.64,hou,0.32
57.96,jp,0.32
58.28,hku,0.32
58.60,h,0.32
58.93,i,0.32
59.25,;,0.32
59.57,i,0.32
59.89,k,0.32
60.21,i,0.32
60.54,h,0.32
60.86,i,0.32
61.18,o,0.32
61.50,y,0.32
61.82,ho,0.32
62.15,hoy,0.32
62.47,jp,0.32
62.79,hou,0.32
63.11,jp,0.32
63.43,hku,0.32
63.76,h,0.32
64.08,hi,0.32
64.40,;,0.32
64.72,i,0.32
65.04,h,0.32
65.37,;,0.32
65.69,hm,0.32
66.01,km,0.32
66.33,o,0.32
66.65,y,0.32
66.98,ko,0.32
67.30,hy,0.32
67.62,mp,0.32
67.94,mu,0.32
68.26,p,0.32
68.59,;u,0.32
68.91,h,0.32
69.23,i,0.32
69.55,;,0.32
69.87,i,0.32
70.20,k,0.32
70.52,i,0.32
70.84,h,0.32
71.16,ik,0.32
71.48,ho,0.32
71.81,y,0.32
72.13,ko,0.32
72.45,y,0.32
72.77,lp,0.32
73.09,u,0.32
73.42,lp,0.32
73.74,;u,0.32
74.06,h,0.32
74.38,i,0.32
74.70,;,0.32
75.03,i,0.32
75.35,k,0.32
75.67,i,0.32
75.99,hkm,0.32
76.31,km,0.32
76.64,o,0.32
76.96,y,0.32
77.28,ko,0.32
77.60,hoy,0.32
77.92,kmp,0.32
78.25,kmu,0.32
78.57,p,0.32
78.89,;ku,0.32
79.21,h,0.32
79.53,hik,0.32
79.86,;,0.32
80.18,i,0.32
80.50,k,0.32
80.82,i,0.32
81.14,hi,0.32
81.47,ij,0.32
81.79,ko,0.32
82.11,y,0.32
82.43,lo,0.32
82.75,hoy,0.32
83.08,p,0.32
83.40,pu,0.32
83.72,p,0.32
84.04,hou,0.32
84.36,h,0.32
84.69,i,0.32
85.01,;,0.32
85.33,i,0.32
85.65,,hk,0.32
85.97,;hk,0.32
86.30,hk,0.32
86.62,hl,0.32
86.94,ho,0.32
87.26,y,0.32
87.58,kp,0.32
87.91,u,0.32
88.23,jp,0.32
88.55,ij,0.64
89.19,hik,0.64
89.84,hi,0.32
90.16,k,0.32
90.48,,k,0.32
90.80,;h,0.32
91.13,ik,0.32
91.45,ly,0.32
91.77,ho,0.32
92.09,y,0.32
92.41,kp,0.32
92.74,u,0.32
93.06,jp,0.32
93.38,;i,0.64
94.02,hik,0.64
94.67,hi,0.32
94.99,k,0.32
95.31,,hk,0.32
95.63,;hk,0.32
95.96,hk,0.32
96.28,hl,0.32
96.60,ho,0.32
96.92,y,0.32
97.24,kp,0.32
97.57,u,0.32
97.89,jp,0.32
98.21,ijp,0.64
98.85,hik,0.64
99.50,hi,0.32
99.82,k,0.32
100.14,,;k,0.32
100.46,;h,0.32
100.79,hik,0.32
101.11,hly,0.32
101.43,ho,0.32
101.75,y,0.32
102.07,kp,0.32
102.40,u,0.32
102.72,jp,0.32
103.04,;ik,0.64
103.68,hik,0.64
104.33,hi,0.64
104.97,jpu,0.64
105.62,pu,0.64
106.26,hoy,0.32
106.58,y,0.16
106.74,oy,0.16
106.90,ho,0.32
107.23,hy,0.16
107.39,oy,0.16
107.55,jp,0.32
107.87,hu,0.16
108.03,pu,0.16
108.19,jp,0.32
108.51,ku,0.16
108.67,pu,0.16
108.84,h,0.32
109.16,i,0.16
109.32,hi,0.16
109.48,;,0.32
109.80,i,0.16
109.96,hi,0.16
110.12,k,0.32
110.45,i,0.16
110.61,hi,0.16
110.77,h,0.32
111.09,i,0.16
111.25,hi,0.16
111.41,o,0.32
111.73,y,0.16
111.89,oy,0.16
112.06,ho,0.32
112.38,hy,0.16
112.54,oy,0.16
112.70,jp,0.32
113.02,hu,0.16
113.18,pu,0.16
113.34,jp,0.32
113.67,ku,0.16
113.83,pu,0.16
113.99,h,0.32
114.31,hi,0.16
114.47,hi,0.16
114.63,;,0.32
114.95,i,0.16
115.11,hi,0.16
115.28,k,0.32
115.60,i,0.16
115.76,hi,0.16
115.92,h,0.32
116.24,k,0.16
116.40,hi,0.16
116.56,o,0.32
116.89,y,0.16
117.05,oy,0.16
117.21,ho,0.32
117.53,hoy,0.16
117.69,oy,0.16
117.85,jp,0.32
118.17,hou,0.16
118.33,pu,0.16
118.50,jp,0.32
118.82,hku,0.16
118.98,pu,0.16
119.14,h,0.32
119.46,i,0.16
119.62,hi,0.16
119.78,;,0.32
120.11,i,0.16
120.27,hi,0.16
120.43,k,0.32
120.75,i,0.16
120.91,hi,0.16
121.07,h,0.32
121.39,i,0.16
121.56,hi,0.16
121.72,o,0.32
122.04,y,0.16
122.20,oy,0.16
122.36,ho,0.32
122.68,hoy,0.16
122.84,oy,0.16
123.00,jp,0.32
123.33,hou,0.16
123.49,pu,0.16
123.65,jp,0.32
123.97,hku,0.16
124.13,pu,0.16
124.29,h,0.32
124.61,hi,0.16
124.78,hi,0.16
124.94,;,0.32
125.26,i,0.16
125.42,hi,0.16
125.58,h,0.32
