# 极乐净土(孟德)  完整
# Converted from SkyStudio format
# BPM: 240
# Total chords: 262

Time,Keys,Duration
0.00,iy,0.25
0.25,ip,0.25
0.50,ho,0.75
1.25,ip,0.25
1.50,ho,0.75
2.25,ip,0.25
2.50,ho,0.25
2.75,ik,0.25
3.00,ip,0.25
3.25,ho,0.25
3.50,iy,0.50
4.00,iy,0.25
4.25,ip,0.25
4.50,ho,0.75
5.25,ip,0.25
5.50,ho,0.75
6.25,ip,0.25
6.50,ho,0.25
6.75,;p,0.25
7.00,ik,0.25
7.25,lo,0.25
7.50,ho,0.50
8.00,iy,0.25
8.25,ip,0.25
8.50,ho,0.75
9.25,ip,0.25
9.50,ho,0.75
10.25,ip,0.25
10.50,ho,0.25
10.75,ik,0.25
11.00,ip,0.25
11.25,ho,0.25
11.50,iy,0.25
11.75,ip,0.25
12.00,y,0.25
12.25,u,0.25
12.50,iy,0.50
13.00,ik,0.50
13.50,ho,0.50
14.00,;p,0.50
14.50,lo,0.25
14.75,;p,0.25
15.00,lo,0.25
15.25,ik,0.25
15.50,lo,0.25
15.75,ho,0.50
16.25,hi,0.50
16.75,hi,0.50
17.25,hi,0.50
17.75,hi,0.25
18.00,ik,0.25
18.25,lo,0.25
18.50,;p,0.25
18.75,hi,0.50
19.25,hi,0.50
19.75,hi,0.25
20.00,ip,0.25
20.25,ip,0.25
20.50,hi,0.25
20.75,hi,0.50
21.25,hi,0.50
21.75,hi,0.50
22.25,hi,0.25
22.50,ik,0.25
22.75,lo,0.25
23.00,;p,0.25
23.25,hi,0.50
23.75,hi,0.50
24.25,hi,0.25
24.50,hn,0.25
24.75,hn,0.25
25.00,;p,0.25
25.25,hi,0.50
25.75,hi,0.50
26.25,hi,0.50
26.75,hi,0.25
27.00,ik,0.25
27.25,lo,0.25
27.50,;p,0.25
27.75,hi,0.50
28.25,hi,0.50
28.75,hi,0.25
29.00,ip,0.25
29.25,ip,0.25
29.50,ho,0.25
29.75,ho,0.50
30.25,ho,0.50
30.75,ho,0.25
31.00,ik,0.25
31.25,lo,0.25
31.50,;p,0.25
31.75,,i,0.25
32.00,ip,0.25
32.25,ip,0.25
32.50,ho,0.25
32.75,ho,0.75
33.50,ho,0.25
33.75,ho,0.25
34.00,ip,0.25
34.25,ip,0.25
34.50,ip,0.25
34.75,ho,0.25
35.00,ip,0.25
35.25,iy,0.25
35.50,iy,0.25
35.75,ip,0.25
36.00,iy,0.25
36.25,iy,0.75
37.00,ho,0.25
37.25,ho,0.25
37.50,ip,0.25
37.75,ho,0.25
38.00,jp,0.25
38.25,ik,0.50
38.75,jp,0.25
39.00,ho,0.25
39.25,jp,0.25
39.50,ho,0.25
39.75,ip,0.75
40.50,ho,0.25
40.75,ho,0.25
41.00,ip,0.25
41.25,ip,0.25
41.50,ip,0.25
41.75,ho,0.25
42.00,ip,0.25
42.25,ip,0.25
42.50,iy,0.25
42.75,iy,0.25
43.00,ip,0.25
43.25,iy,0.25
43.50,iy,0.50
44.00,ip,0.25
44.25,ip,0.25
44.50,ho,0.50
45.00,ip,0.25
45.25,ip,0.25
45.50,ho,0.50
46.00,ho,0.25
46.25,jp,0.25
46.50,ik,0.25
46.75,lo,0.25
47.00,ho,0.25
47.25,iy,0.50
47.75,iy,0.25
48.00,ip,0.25
48.25,ip,0.25
48.50,ho,0.50
49.00,;p,0.25
49.25,lo,0.50
49.75,ho,0.50
50.25,ho,0.25
50.50,ho,0.25
50.75,;p,0.25
51.00,lo,0.75
51.75,lo,0.25
52.00,lo,0.25
52.25,ik,0.25
52.50,lo,0.25
52.75,ik,0.25
53.00,ho,0.25
53.25,ho,0.25
53.50,iy,0.25
53.75,ip,0.25
54.00,ip,0.25
54.25,ho,0.25
54.50,ho,0.25
54.75,ip,0.25
55.00,ho,0.50
55.50,iy,0.25
55.75,ip,0.25
56.00,ho,0.25
56.25,ho,0.25
56.50,ho,0.25
56.75,;p,0.25
57.00,;p,0.50
57.50,jp,0.25
57.75,ik,0.25
58.00,lo,0.25
58.25,ik,0.25
58.50,lo,0.25
58.75,lo,0.25
59.00,;p,0.25
59.25,ho,0.50
59.75,ip,0.25
60.00,ip,0.25
60.25,ho,0.25
60.50,;p,0.25
60.75,;p,0.25
61.00,lo,0.25
61.25,ik,0.25
61.50,ho,0.25
61.75,ip,0.25
62.00,ho,0.25
62.25,ho,0.25
62.50,ho,0.25
62.75,ik,0.25
63.00,lo,0.50
63.50,ho,0.25
63.75,ho,0.25
64.00,ho,0.25
64.25,ip,0.25
64.50,ip,0.25
64.75,ho,0.25
65.00,;p,0.50
65.50,ik,0.25
65.75,lo,0.25
66.00,ik,0.25
66.25,lo,0.25
66.50,lo,0.25
66.75,;p,0.25
67.00,;p,0.50
67.50,ip,0.25
67.75,ho,0.25
68.00,ik,0.50
68.50,ip,0.25
68.75,ho,0.25
69.00,;p,0.50
69.50,;p,0.25
69.75,lo,0.25
70.00,ik,0.25
70.25,jp,0.25
70.50,ho,0.25
70.75,ip,0.25
71.00,ip,0.25
71.25,ho,0.50
71.75,hi,0.50
72.25,hi,0.50
72.75,hi,0.50
73.25,hi,0.25
73.50,ik,0.25
73.75,lo,0.25
74.00,;p,0.25
74.25,hi,0.50
74.75,hi,0.50
75.25,hi,0.25
