# 核爆神曲aLiez 烛子ikina
# Converted from SkyStudio format
# BPM: 420
# Total chords: 344

Time,Keys,Duration
0.00,A2B2D3,0.28
0.28,E3,0.28
0.57,D3,0.28
0.85,E3,0.28
1.14,D#3,0.43
1.56,B2,0.43
1.99,B2,0.28
2.27,A2C3D3,0.28
2.56,E3,0.28
2.84,D3,0.28
3.12,E3,0.28
3.41,D#3,0.43
3.83,B2,0.43
4.26,B2,0.28
4.54,A#2C3D3,0.28
4.83,E3,0.28
5.11,D3,0.28
5.40,E3,0.28
5.68,D#3,0.43
6.11,B2,0.43
6.53,B2,0.28
6.82,A#2B2D3,0.28
7.10,E3,0.28
7.38,D3,0.28
7.67,E3,0.28
7.95,B2D#3,0.43
8.38,B2,0.43
8.80,B2,0.28
9.09,A2A3B2D3,0.28
9.37,C4,0.14
9.51,D#3,0.14
9.66,A3,0.28
9.94,C4D3,0.28
10.22,A#3,0.14
10.37,E3,0.28
10.65,F#3,0.14
10.79,D#3,0.28
11.08,D3F#3,0.28
11.36,A2A3C3D3,0.28
11.64,C4,0.14
11.79,D#3,0.14
11.93,A3,0.28
12.21,C4D3,0.28
12.50,A#3,0.14
12.64,E3,0.28
12.92,F#3,0.14
13.06,D#3,0.28
13.35,D3F#3,0.28
13.63,A#2A3C3D3,0.28
13.92,C4,0.14
14.06,D#3,0.14
14.20,A3,0.28
14.48,C4D3,0.28
14.77,A#3,0.14
14.91,E3,0.28
15.19,F#3,0.14
15.34,D#3,0.28
15.62,D3F#3,0.28
15.90,A3B2D3,0.28
16.19,C4,0.14
16.33,D#3,0.14
16.47,A3,0.28
16.76,C4D3,0.28
17.04,A#3B2D#3,0.43
17.47,B2D#3F#3,0.43
17.89,B2D#3F#3,0.28
18.18,A2B2D3,0.57
18.74,B2D3F#3,0.28
19.03,F#3,0.14
19.17,F#3,0.14
19.31,F#3,0.28
19.60,D3F#3,0.28
19.88,D#3G#3,0.28
20.16,A3E3,0.28
20.45,A2C3D3,0.57
21.02,C3D3F#3,0.28
21.30,F#3,0.14
21.44,F#3,0.14
21.58,F#3,0.28
21.87,D3F#3,0.28
22.15,D#3G#3,0.28
22.44,A3E3,0.28
22.72,A#2C3D3,0.28
23.00,F#3,0.28
23.29,C3D3G#3,0.28
23.57,A3,0.57
24.14,D3F#3,0.28
24.42,D#3G#3,0.28
24.71,A3E3,0.28
24.99,A#3B2D3,0.28
25.28,C4,0.28
25.56,A#3B2D3,0.28
25.84,C4,0.28
26.13,A#3B2D#3,0.28
26.41,F#3,0.28
26.70,B2D#3F#3,0.57
27.26,A2B2D3,0.57
27.83,B2D3F#3,0.28
28.12,F#3,0.14
28.26,F#3,0.14
28.40,F#3,0.28
28.68,D3F#3,0.28
28.97,D#3G#3,0.28
29.25,A3E3,0.28
29.54,A2C3D3,0.57
30.10,C3C4D3,0.28
30.39,A#3,0.57
30.96,C4D3,0.28
31.24,A3D#3,0.28
31.52,E3,0.28
31.81,A#2C3D3,0.57
32.38,A3C3D3,0.28
32.66,A#3,0.28
32.94,C4,0.28
33.23,A3E3,0.28
33.51,A#3D#3,0.28
33.80,C4D3,0.28
34.08,A#3B2D3,0.28
34.36,C4,0.28
34.65,A#3B2D3,0.28
34.93,C4,0.28
35.22,A#3B2D#3,0.28
35.50,F#3G#3,0.28
35.78,B2D#3F#3G#3,0.57
36.35,A2C3D3,0.28
36.64,C#3,0.28
36.92,A2C3D3,0.28
37.20,E3,0.14
37.35,D3,0.14
37.49,A2C3,0.28
37.77,C#3,0.28
38.06,A2C3D3,0.28
38.34,E3,0.14
38.48,F3,0.14
38.62,A#2C#3,0.28
38.91,E3,0.28
39.19,A#2C#3E3,0.28
39.48,D3,0.28
39.76,A#2C#3F3,0.43
40.19,D3,0.14
40.33,A#2C#3,0.57
40.90,A#2C3D3,0.28
41.18,C#3,0.28
41.46,A#2C3D3,0.28
41.75,E3,0.14
41.89,D3,0.14
42.03,A#2C3,0.28
42.32,C#3,0.28
42.60,A#2C3D3,0.28
42.88,E3,0.14
43.03,D#3,0.14
43.17,B2,0.28
43.45,C#3,0.28
43.74,B2C#3,0.28
44.02,B2,0.28
44.30,B2D#3,0.43
44.73,C#3,0.14
44.87,B2,0.57
45.44,A2A3C3D3,0.28
45.72,C#3G#3,0.28
46.01,A2A3C3D3,0.28
46.29,C4E3,0.14
46.43,A3D3,0.14
46.58,A2C3,0.28
46.86,C#3G#3,0.28
47.14,A2A3C3D3,0.28
47.43,C4E3,0.14
47.57,A#3F3,0.14
47.71,A#2C#3,0.28
48.00,C4E3,0.28
48.28,A#2C#3C4E3,0.28
48.56,A3D3,0.28
48.85,A#2A#3C#3F3,0.43
49.27,A3D3,0.14
49.42,A#2C#3,0.57
49.98,A#2B2C3F#3,0.28
50.27,C4E3,0.28
50.55,A#2A#3C3D#3,0.28
50.84,A3D3,0.14
50.98,A#3D#3,0.14
51.12,A#2C3,0.28
51.40,C4E3,0.28
51.69,A#2A#3C3D#3,0.28
51.97,A3D3,0.14
52.11,A#3D#3,0.14
52.26,B2,0.14
52.40,D3,0.14
52.54,D#3,0.14
52.68,F#3,0.14
52.82,A3,0.14
52.97,A#3,0.14
53.11,A3,0.14
53.25,F#3,0.14
53.39,A#3B2D#3F#3,0.43
53.82,B2F#3,0.43
54.24,D3,0.28
54.53,A2B2D3F#3,0.43
54.95,A2D3,0.14
55.10,C#3E3G#3,0.28
55.38,B2F#3,0.28
55.66,A2D3,0.28
55.95,B2F#3,0.14
56.09,A2D3,0.43
56.52,D3,0.28
56.80,A2B2C3F#3,0.43
57.23,A2C3,0.14
57.37,C#3E3G#3,0.28
57.65,B2F#3,0.28
57.94,A2C3,0.28
58.22,B2F#3,0.14
58.36,A2C3,0.43
58.79,D3,0.28
59.07,A#2B2D3F#3,0.43
59.50,A#2D3,0.14
59.64,C3E3G3,0.28
59.92,B2F#3,0.28
60.21,A#2D3,0.28
60.49,B2F#3,0.14
60.63,A#2D3,0.43
61.06,A2E3,0.28
61.34,A#2B2D3F3,0.28
61.63,A2E3,0.28
61.91,A#2B2D3F3,0.28
62.20,A2E3,0.28
62.48,B2D#3F#3,0.43
62.91,D3,0.43
63.33,D3,0.28
63.62,A2B2D3F#3,0.43
64.04,A2D3,0.14
64.18,C#3E3G#3,0.28
64.47,B2F#3,0.28
64.75,A2D3,0.28
65.04,B2F#3,0.14
65.18,A2D3,0.43
65.60,D3,0.28
65.89,A2B2C3F#3,0.43
66.31,A2C3,0.14
66.46,C#3E3G#3,0.28
66.74,B2F#3,0.28
67.02,A2C3,0.28
67.31,B2F#3,0.14
