# 梦中的婚礼
# Converted from SkyStudio format
# BPM: 272
# Total chords: 231

Time,Keys,Duration
0.00,D3,0.44
0.44,F#3,0.44
0.88,C4,0.44
1.32,F#3,0.44
1.76,C4,0.44
2.20,F#3,0.44
2.64,C4,0.44
3.08,F#3,0.22
3.30,A3,0.22
3.52,A3D3,0.22
3.74,A#3,0.22
3.96,A#3B2,0.22
4.18,C4,0.22
4.40,C4E3,0.22
4.62,A#3,0.22
4.84,A#3B2,0.22
5.06,A3,0.22
5.28,A3,0.22
5.50,F#3,0.22
5.72,B2F#3,0.22
5.94,E3,0.22
6.16,D3E3,0.22
6.38,D3,0.22
6.60,B2D3,0.22
6.82,G#3,0.22
7.04,A#2G#3,0.22
7.26,G3,0.22
7.48,D3G3,0.22
7.70,F#3,0.22
7.92,C3G3,0.22
8.14,G#3,0.22
8.36,D3G3,0.44
8.80,C3,0.44
9.24,D3,0.44
9.68,C#3,0.22
9.90,G3,0.22
10.12,F3G3,0.22
10.34,G#3,0.22
10.56,D#3G#3,0.22
10.78,A3,0.22
11.00,A3F3,0.22
11.22,A#3,0.22
11.44,A#3D#3,0.22
11.66,G#3,0.22
11.88,F3G#3,0.22
12.10,F3,0.22
12.32,C#3F3,0.22
12.54,G3,0.22
12.76,A2G3,0.22
12.98,F#3,0.22
13.20,C#3F#3,0.22
13.42,F3,0.22
13.64,A2F#3,0.22
13.86,G3,0.22
14.08,B2D#3F#3,1.76
15.84,F#3,1.76
17.60,D3F#3,0.44
18.04,B2D3,0.22
18.26,E3,0.22
18.48,D3F#3,0.22
18.70,F3,0.22
18.92,B2F#3,0.44
19.36,D3,0.22
19.58,E3,0.22
19.80,B2F#3,0.22
20.02,F3,0.22
20.24,D3F#3,0.44
20.68,D3,0.22
20.90,E3,0.22
21.12,D3G3,0.22
21.34,F#3,0.22
21.56,A#2G3,0.44
22.00,D3,0.22
22.22,E3,0.22
22.44,A#2G3,0.22
22.66,F#3,0.22
22.88,D3G3,0.44
23.32,A#2G3,0.22
23.54,F#3,0.22
23.76,D3G3,0.22
23.98,G3,0.22
24.20,C#3G#3,0.44
24.64,A#2G#3,0.22
24.86,A3,0.22
25.08,D#3G#3,0.22
25.30,A3,0.22
25.52,A2F#3,0.44
25.96,E3,0.44
26.40,D#3,0.44
26.84,D3F#3,0.44
27.28,B2D3,0.22
27.50,E3,0.22
27.72,D3F#3,0.22
27.94,F3,0.22
28.16,B2F#3,0.44
28.60,D3,0.22
28.82,E3,0.22
29.04,B2F#3,0.22
29.26,F3,0.22
29.48,D3F#3,0.44
29.92,B2D3,0.22
30.14,E3,0.22
30.36,D3G3,0.22
30.58,F#3,0.22
30.80,A#2G3,0.44
31.24,D3,0.22
31.46,E3,0.22
31.68,A#2G3,0.22
31.90,F#3,0.22
32.12,D3G3,0.44
32.56,A#2G3,0.22
32.78,F#3,0.22
33.00,D3G3,0.22
33.22,G3,0.22
33.44,C#3G#3,0.44
33.88,A#2G#3,0.22
34.10,A3,0.22
34.32,D#3G#3,0.22
34.54,A3,0.22
34.76,A2F#3,0.44
35.20,E3,0.44
35.64,D#3,0.44
36.08,D3,0.44
36.52,B2,0.22
36.74,F#3,0.22
36.96,D3F#3,0.22
37.18,G3,0.22
37.40,A#2G3,0.44
37.84,D3,0.22
38.06,F3,0.22
38.28,A#2A#3,0.22
38.50,A3,0.22
38.72,A#3C#3,0.44
39.16,A#2,0.22
39.38,F3,0.22
39.60,C#3F3,0.22
39.82,F#3,0.22
40.04,A2F#3,0.44
40.48,C#3E3,0.22
40.70,E3,0.22
40.92,A2A3,0.22
41.14,G#3,0.22
41.36,A3C3,0.44
41.80,A2,0.22
42.02,E3,0.22
42.24,C3E3,0.22
42.46,F3,0.22
42.68,A#2F3,0.44
43.12,C3,0.22
43.34,D#3,0.22
43.56,A#2F#3,0.22
43.78,F3,0.22
44.00,B2F#3,0.44
44.44,A#2,0.44
44.88,B2,0.44
45.32,D3E3,0.44
45.76,B2,0.22
45.98,E3,0.22
46.20,D3E3,0.22
46.42,F3,0.22
46.64,A#2F3,0.44
47.08,D3,0.22
47.30,E3,0.22
47.52,A#2D#3,0.22
47.74,D3,0.22
47.96,C#3,0.44
48.40,A#2,0.22
48.62,C#3,0.22
48.84,D3,0.22
49.06,C#3,0.22
49.28,A2B2,0.44
49.72,E3,0.44
50.16,D#3,0.44
50.60,D3E3,0.44
51.04,B2E3,0.22
51.26,E3,0.22
51.48,D3E3,0.22
51.70,F3,0.22
51.92,A#2F3,0.44
52.36,D3,0.22
52.58,E3,0.22
52.80,A#2D#3,0.22
53.02,D3,0.22
53.24,C#3,0.44
53.68,A#2,0.22
53.90,C#3,0.22
54.12,D3,0.22
54.34,C#3,0.22
54.56,A2D3,0.44
55.00,B2,0.44
55.44,D3,0.44
55.88,D3E3,0.44
56.32,B2E3,0.22
56.54,E3,0.22
56.76,D3E3,0.22
56.98,F3,0.22
57.20,A#2F3,0.44
57.64,D3,0.22
