# 樱之雨【稿】
# Converted from SkyStudio format
# BPM: 370
# Total chords: 222

Time,Keys,Duration
0.00,C#3,0.16
0.16,E3,0.16
0.32,F#3,0.16
0.49,G3,0.32
0.81,F#3,0.32
1.13,E3,0.32
1.46,C#3,0.65
2.11,C#3,0.16
2.27,E3,0.16
2.43,F#3,0.16
2.59,G3,0.32
2.92,F#3,0.32
3.24,E3,0.32
3.56,F3,0.65
4.21,C#3,0.16
4.37,E3,0.16
4.54,F#3,0.16
4.70,G3,0.32
5.02,F#3,0.32
5.35,E3,0.32
5.67,C#3,0.65
6.32,C#3,0.16
6.48,E3,0.16
6.64,F#3,0.16
6.80,G3,0.32
7.13,F#3,0.32
7.45,E3,0.32
7.78,F3,0.49
8.26,E3,0.65
8.91,D#3,0.65
9.56,E3,0.81
10.37,B2,0.32
10.69,C3,0.32
11.02,C#3,0.32
11.34,C#3,0.16
11.50,C#3,0.32
11.83,D3,0.32
12.15,C#3,0.32
12.47,C3,0.32
12.80,B2,0.32
13.12,A#2,0.32
13.45,B2,0.32
13.77,A2,0.32
14.09,B2,0.32
14.42,F#3,0.32
14.74,G3,0.32
15.07,G#3,0.32
15.39,G#3,0.16
15.55,G#3,0.32
15.88,A3,0.32
16.20,G#3,0.32
16.52,G3,0.32
16.85,F#3,0.32
17.17,F3,0.32
17.50,F#3,0.49
17.98,E3,0.32
18.31,F#3,0.65
18.95,D3,0.32
19.28,D#3,0.32
19.60,E3,0.32
19.93,F#3,0.16
20.09,F#3,0.32
20.41,G3,0.32
20.74,F#3,0.32
21.06,F3,0.32
21.38,E3,0.32
21.71,F3,0.32
22.03,F#3,0.32
22.36,F3,0.16
22.52,F3,0.65
23.17,F#3,0.32
23.49,G3,0.32
23.81,G#3,0.32
24.14,G#3,0.16
24.30,G#3,0.32
24.62,A3,0.32
24.95,G#3,0.32
25.27,G3,0.32
25.60,F#3,0.32
25.92,G3,0.32
26.24,G#3,0.32
26.57,C4,0.32
26.89,A#3,0.32
27.22,G#3,0.65
27.86,D3,0.32
28.19,D#3,0.32
28.51,E3,0.32
28.84,F#3,0.16
29.00,F#3,0.32
29.32,G3,0.32
29.65,F#3,0.32
29.97,F3,0.32
30.29,E3,0.32
30.62,F3,0.32
30.94,F#3,0.32
31.27,F3,0.16
31.43,F3,0.65
32.08,F3,0.16
32.24,F#3,0.16
32.40,F3,0.32
32.72,E3,0.32
33.05,B2,0.16
33.21,D3,0.16
33.37,E3,0.32
33.70,F#3,0.32
34.02,G#3,0.65
34.67,F#3,0.32
34.99,G#3,0.32
35.32,G3,0.16
35.48,F#3,0.16
35.64,F3,0.32
35.96,E3,0.32
36.29,F3,0.65
36.94,F3,0.16
37.10,F#3,0.16
37.26,F3,0.32
37.58,E3,0.32
37.91,B2,0.16
38.07,D3,0.16
38.23,E3,0.32
38.56,F#3,0.32
38.88,G#3,0.81
39.69,F#3,0.32
40.01,G#3,0.32
40.34,A3,0.32
40.66,A3,0.16
40.82,A3,0.32
41.15,A3,0.16
41.31,A3,0.32
41.63,A3,0.32
41.96,A3,0.32
42.28,A#3,0.32
42.61,C4,0.32
42.93,A#3,0.65
43.58,B2,0.32
43.90,C3,0.32
44.23,C#3,0.32
44.55,D3,0.32
44.87,E3,0.16
45.04,D#3,0.32
45.36,D3,0.49
45.85,C#3,0.32
46.17,E3,0.16
46.33,D#3,0.32
46.66,D3,0.49
47.14,C#3,0.32
47.47,E3,0.32
47.79,F3,0.32
48.11,E3,0.49
48.60,F#3,0.65
49.25,F#3,0.16
49.41,G3,0.32
49.73,F#3,0.32
50.06,F3,0.49
50.54,E3,0.65
51.19,F#3,0.32
51.52,F3,0.81
52.33,D3,0.32
52.65,D#3,0.32
52.97,E3,0.32
53.30,E3,0.49
53.78,D#3,0.32
54.11,D3,0.32
54.43,C#3,0.65
55.08,B2,0.32
55.40,C3,0.32
55.73,C#3,0.32
56.05,D3,0.32
56.38,E3,0.16
56.54,D#3,0.32
56.86,D3,0.49
57.35,C#3,0.32
57.67,E3,0.16
57.83,D#3,0.32
58.16,D3,0.49
58.64,C#3,0.32
58.97,E3,0.32
59.29,F3,0.32
59.62,E3,0.49
60.10,F#3,0.65
60.75,F#3,0.32
61.07,G3,0.32
61.40,F#3,0.32
61.72,F3,0.49
62.21,E3,0.65
62.86,F#3,0.32
63.18,F3,0.81
63.99,D3,0.32
64.31,D#3,0.32
64.64,E3,0.32
64.96,E3,0.49
65.45,E3,0.32
65.77,F3,0.32
66.10,F#3,0.32
66.42,F3,0.81
67.23,D3,0.32
67.55,D#3,0.32
67.88,E3,0.49
68.36,D#3,0.16
68.53,D3,0.16
68.69,D#3,0.16
68.85,E3,0.49
69.34,D#3,0.16
69.50,D3,0.16
69.66,C#3,0.16
69.82,D3,0.16
69.98,D#3,0.32
70.31,D3,0.32
70.63,C#3,0.32
70.96,C3,0.32
71.28,C#3,0.49
71.77,D3,0.49
72.25,C#3,0.97
73.22,B2,0.32
73.55,C#3,0.32
73.87,D3,0.32
74.20,D#3,0.32
74.52,F3,0.32
74.84,E3,0.32
75.17,F3,0.32
75.49,E3,0.49
75.98,F3,0.50
