# 樱花樱花想见你
# Converted from SkyStudio format
# BPM: 240
# Total chords: 952

Time,Keys,Duration
3.50,k,0.25
3.75,l,0.25
4.00,;,0.25
4.25,;,0.25
4.50,;,0.25
4.75,;,0.25
5.00,;,0.50
5.50,,,0.50
6.00,m,0.50
6.50,l,0.25
6.75,;,0.25
7.00,l,0.25
7.25,l,0.25
7.50,l,0.25
7.75,l,0.25
8.00,l,0.25
8.25,k,0.25
8.50,k,0.25
8.75,k,0.25
9.00,k,0.50
9.50,n,0.50
10.00,;,1.25
11.25,h,0.25
11.50,h,0.25
11.75,j,0.25
12.00,k,0.25
12.25,k,0.50
12.75,k,0.25
13.00,k,0.25
13.25,;,0.50
13.75,;,0.25
14.00,l,0.50
14.50,j,0.25
14.75,j,0.25
15.00,j,0.25
15.25,j,0.25
15.50,k,0.25
15.75,l,0.50
16.25,p,0.25
16.50,p,0.25
16.75,p,0.25
17.00,m,0.50
17.50,n,0.50
18.00,;,0.50
18.50,;,0.25
18.75,n,0.25
19.00,;,0.50
19.50,k,0.25
19.75,l,0.25
20.00,;,0.25
20.25,;,0.25
20.50,;,0.25
20.75,;,0.25
21.00,;,0.50
21.50,,,0.50
22.00,m,0.50
22.50,l,0.25
22.75,;,0.25
23.00,;,0.25
23.25,l,0.25
23.50,l,0.25
23.75,l,0.25
24.00,l,0.25
24.25,k,0.25
24.50,k,0.25
24.75,k,0.25
25.00,k,0.50
25.50,n,0.50
26.00,;,1.25
27.25,h,0.25
27.50,h,0.25
27.75,j,0.25
28.00,k,0.50
28.50,k,0.50
29.00,;,0.25
29.25,;,0.25
29.50,;,0.25
29.75,;,0.25
30.00,l,0.50
30.50,j,0.25
30.75,j,0.25
31.00,j,0.25
31.25,j,0.25
31.50,k,0.25
31.75,l,0.50
32.25,p,0.25
32.50,p,0.25
32.75,p,0.25
33.00,m,0.25
33.25,m,0.25
33.50,n,0.25
33.75,n,0.25
34.00,;,1.25
35.25,k,0.25
35.50,k,0.25
35.75,l,0.25
36.00,;,0.50
36.50,;,0.25
36.75,;,0.25
37.00,;,0.25
37.25,;,0.25
37.50,;,0.25
37.75,;,0.25
38.00,l,0.25
38.25,l,0.75
39.00,k,0.25
39.25,j,0.50
39.75,k,3.50
43.25,k,0.50
43.75,l,0.25
44.00,;,0.25
44.25,;,1.00
45.25,;,0.50
45.75,;,0.25
46.00,l,0.25
46.25,l,0.75
47.00,k,0.25
47.25,j,0.50
47.75,k,4.00
51.75,k,0.25
52.00,;,0.25
52.25,;,0.50
52.75,;,0.25
53.00,;,0.25
53.25,;,0.25
53.50,;,0.25
53.75,;,0.25
54.00,l,0.50
54.50,l,0.50
55.00,l,0.25
55.25,;,0.50
55.75,m,0.25
56.00,k,0.25
56.25,k,0.25
56.50,k,0.25
56.75,;,0.25
57.00,k,0.50
57.50,k,0.25
57.75,k,0.25
58.00,l,0.50
58.50,;l,1.00
59.50,l,0.25
59.75,l,0.25
60.00,k,0.25
60.25,k,0.25
60.50,k,0.50
61.00,k,0.25
61.25,k,0.25
61.50,k,0.25
61.75,k,0.25
62.00,p,0.50
62.50,p,0.25
62.75,p,0.25
63.00,l,0.25
63.25,l,0.50
63.75,l,0.25
64.00,l,0.25
64.25,l,0.25
64.50,l,0.25
64.75,k,3.25
68.00,;,0.25
68.25,;,0.50
68.75,;,0.25
69.00,;,0.25
69.25,;,0.25
69.50,;,0.25
69.75,;,0.25
70.00,l,0.50
70.50,l,0.25
70.75,l,0.25
71.00,l,0.50
71.50,p,0.25
71.75,p,0.25
72.00,k,0.25
72.25,k,0.25
72.50,k,0.25
72.75,i,0.25
73.00,k,0.50
73.50,k,0.25
73.75,k,0.25
74.00,l,0.50
74.50,;l,1.00
75.50,p,0.25
75.75,p,0.25
76.00,k,0.25
76.25,k,0.25
76.50,k,0.50
77.00,k,0.25
77.25,k,0.25
77.50,k,0.25
77.75,k,0.25
78.00,p,0.25
78.25,p,0.25
78.50,p,0.50
79.00,l,0.25
79.25,l,0.25
79.50,l,0.25
79.75,l,0.25
80.00,l,0.50
80.50,l,0.25
80.75,k,3.25
84.00,h,0.25
84.25,h,0.25
84.50,h,0.25
84.75,h,0.25
85.00,k,0.50
85.50,k,0.25
85.75,k,0.25
86.00,j,0.75
86.75,j,0.25
87.00,k,0.25
87.25,j,0.25
87.50,h,0.25
87.75,p,0.25
88.00,h,0.75
88.75,p,0.25
89.00,k,0.25
89.25,j,0.25
89.50,h,0.25
89.75,p,0.25
90.00,i,1.00
91.00,i,1.00
92.00,h,0.25
92.25,h,0.50
92.75,h,0.25
93.00,k,0.25
93.25,k,0.25
93.50,k,0.25
93.75,k,0.25
94.00,j,0.75
94.75,j,0.25
95.00,k,0.25
95.25,j,0.25
95.50,h,0.25
95.75,p,0.25
96.00,h,0.50
96.50,h,0.25
96.75,h,0.25
97.00,k,0.25
97.25,j,0.25
97.50,h,0.25
97.75,p,0.25
98.00,i,1.75
99.75,i,0.25
100.00,k,0.25
100.25,k,0.25
100.50,k,0.25
100.75,k,0.25
101.00,;,0.25
101.25,;,0.25
101.50,;,0.25
101.75,;,0.25
102.00,l,0.75
102.75,l,0.25
103.00,;,0.25
103.25,l,0.25
103.50,k,0.25
103.75,j,0.25
104.00,k,1.00
105.00,;,0.25
105.25,;,0.25
105.50,;,0.25
105.75,;,0.25
106.00,l,0.75
106.75,j,0.25
107.00,j,0.25
107.25,j,0.25
107.50,k,0.25
107.75,l,0.25
108.00,;,0.50
108.50,l,0.50
109.00,j,0.50
109.50,k,0.25
109.75,l,0.25
110.00,;,0.50
110.50,l,0.25
110.75,j,0.25
111.00,j,0.25
111.25,j,0.25
111.50,k,0.25
111.75,l,0.25
112.00,;,0.50
112.50,l,0.25
112.75,l,0.25
113.00,m,0.50
113.50,;,2.00
115.50,k,0.25
115.75,l,0.25
116.00,;,0.25
116.25,;,0.25
116.50,;,0.25
116.75,;,0.25
117.00,;,0.50
117.50,,,0.50
118.00,m,0.50
118.50,l,0.25
118.75,;,0.25
119.00,;,0.25
119.25,l,0.25
119.50,l,0.25
119.75,l,0.25
120.00,l,0.25
120.25,k,0.25
120.50,k,0.25
120.75,k,0.25
121.00,k,0.50
121.50,n,0.50
122.00,;,1.25
123.25,h,0.25
123.50,h,0.25
123.75,j,0.25
124.00,k,0.25
124.25,k,0.50
124.75,k,0.25
125.00,;,0.25
125.25,;,0.50
125.75,;,0.25
126.00,l,0.50
126.50,j,0.25
126.75,j,0.25
127.00,j,0.25
127.25,j,0.25
127.50,k,0.25
127.75,l,0.50
128.25,p,0.25
128.50,p,0.25
128.75,p,0.25
129.00,m,0.50
129.50,n,0.50
130.00,;,0.50
130.50,;,0.25
130.75,n,0.25
131.00,;,0.50
131.50,k,0.25
131.75,l,0.25
132.00,;,0.25
132.25,;,0.25
132.50,;,0.25
