# 欢和弦
# Converted from SkyStudio format
# BPM: 240
# Total chords: 146

Time,Keys,Duration
0.00,C#3,0.50
0.50,E3,0.50
1.00,D#3,0.50
1.50,C3D#3,0.50
2.00,E3,0.25
2.25,E3,0.25
2.50,C3,0.75
3.25,C#3,0.25
3.50,C#3D#3,0.50
4.00,E3,0.25
4.25,E3,0.25
4.50,C#3,0.75
5.25,C#3,0.50
5.75,B2C#3,0.50
6.25,F3,0.50
6.75,B2D#3,0.50
7.25,E3,0.75
8.00,C#3,0.50
8.50,D3E3,0.50
9.00,D#3,0.50
9.50,C3D#3,0.50
10.00,E3,0.25
10.25,E3,0.25
10.50,C3,0.75
11.25,E3,0.25
11.50,C#3D#3,0.50
12.00,D3,0.25
12.25,C#3,0.50
12.75,C#3,0.25
13.00,D3,0.25
13.25,A2C#3,1.25
14.50,C#3,0.50
15.00,E3,0.50
15.50,D#3,0.50
16.00,C3D#3,0.50
16.50,E3,0.25
16.75,E3,0.25
17.00,C3,0.75
17.75,C#3,0.25
18.00,C#3D#3,0.50
18.50,E3,0.25
18.75,E3,0.25
19.00,C#3,0.75
19.75,C#3,0.25
20.00,C#3,0.50
20.50,C#3F3,0.50
21.00,E3,0.50
21.50,A2D#3,0.50
22.00,E3,0.75
22.75,F3,0.50
23.25,C#3F#3,0.50
23.75,A2D3,0.50
24.25,A2D3,0.25
24.50,A2D3,0.50
25.00,F#3,0.50
25.50,C#3F3,0.25
25.75,C#3,0.50
26.25,F3,0.50
26.75,C#3E3,1.25
28.00,C#3,0.50
28.50,E3,0.50
29.00,D#3,0.50
29.50,C3D#3,0.50
30.00,E3,0.25
30.25,E3,0.25
30.50,C3,0.75
31.25,C#3,0.25
31.50,C#3D#3,0.50
32.00,E3,0.25
32.25,E3,0.25
32.50,C#3,0.75
33.25,C#3,0.50
33.75,B2C#3,0.50
34.25,F3,0.50
34.75,B2D#3,0.50
35.25,E3,0.75
36.00,C#3,0.50
36.50,D3E3,0.50
37.00,D#3,0.50
37.50,C3D#3,0.50
38.00,E3,0.25
38.25,E3,0.25
38.50,C3,0.75
39.25,E3,0.25
39.50,C#3F3,0.50
40.00,E3,0.25
40.25,C#3F3,0.50
40.75,E3,0.50
41.25,F3,0.25
41.50,C#3F#3,1.00
42.50,C#3,0.50
43.00,E3,0.50
43.50,D#3,0.50
44.00,C3D#3,0.50
44.50,E3,0.25
44.75,E3,0.25
45.00,C3,0.75
45.75,C#3,0.25
46.00,C#3D#3,0.50
46.50,E3,0.25
46.75,E3,0.25
47.00,C#3,0.75
47.75,C#3,0.25
48.00,C#3,0.50
48.50,C#3F3,0.50
49.00,E3,0.50
49.50,A2D#3,0.50
50.00,E3,0.75
50.75,F3,0.50
51.25,C#3F#3,0.50
51.75,A2D3,0.50
52.25,A2D3,0.25
52.50,A2D3,0.50
53.00,F#3,0.50
53.50,C#3F3,0.25
53.75,C#3,0.50
54.25,F3,0.50
54.75,C#3E3,1.50
56.25,C#3,0.50
56.75,E3,0.50
57.25,D#3,0.50
57.75,C3D#3,0.50
58.25,E3,0.25
58.50,E3,0.25
58.75,C3,0.75
59.50,C#3,0.25
59.75,C#3D#3,0.50
60.25,E3,0.25
60.50,E3,0.25
60.75,C#3,0.75
61.50,C#3,0.25
61.75,C#3,0.50
62.25,C#3F3,0.50
62.75,E3,0.50
63.25,A2D#3,0.50
63.75,E3,0.75
64.50,F3,0.50
65.00,C#3F#3,0.50
65.50,A2D3,0.50
66.00,A2D3,0.25
66.25,A2D3,0.50
66.75,F#3,0.50
67.25,C#3F3,0.25
67.50,C#3,0.50
68.00,F3,0.75
68.75,A2B2C#3E3,0.50
