# 水星记
# Converted from SkyStudio format
# BPM: 368
# Total chords: 495

Time,Keys,Duration
0.00,A2G#3,0.65
0.65,B2C#3,0.65
1.30,B2C#3,0.65
1.96,B2C#3F#3,0.16
2.12,F3,0.16
2.28,E3,0.33
2.61,A2A3,0.65
3.26,C3D3,0.65
3.91,A#3C3D3,0.65
4.56,A3C3D3,0.65
5.22,A2G#3,0.65
5.87,B2C#3,0.65
6.52,B2C#3,0.65
7.17,B2C#3F#3,0.16
7.33,F3,0.16
7.50,E3,0.33
7.82,A2F3,0.65
8.48,C#3C3,0.65
9.13,C#3C3G3,0.65
9.78,F#3,0.65
10.43,A2C#3F#3,0.65
11.08,A2C#3F#3,0.33
11.41,C#3,0.33
11.74,A2B2C#3F#3,0.33
12.06,F3,0.16
12.22,F3,0.16
12.39,A2B2C#3,0.33
12.71,E3,0.16
12.88,E3,0.16
13.04,A2C3D3E3,0.65
13.69,A2C3D3,0.33
14.02,E3,0.16
14.18,C#3,0.16
14.34,A2C3D3F#3,0.33
14.67,F3,0.16
14.83,F3,0.16
15.00,A2C3D3,0.33
15.32,F3,0.16
15.48,F3,0.16
15.65,A2B2D3,0.65
16.30,A2B2D3,0.33
16.63,E3,0.16
16.79,C#3,0.16
16.95,A2B2D3F#3,0.33
17.28,F3,0.16
17.44,F3,0.16
17.60,A2B2D3,0.33
17.93,E3,0.33
18.26,A2B2D#3G3,0.33
18.58,F#3,0.33
18.91,A2B2D#3,0.33
19.23,E3,0.33
19.56,A2B2C#3D#3,0.33
19.89,F#3,0.16
20.05,F3,0.16
20.21,A2B2D#3,0.33
20.54,E3,0.33
20.86,A2C3D3,0.65
21.52,A2C3D3,0.65
22.17,A2C#3C3D3,0.16
22.33,F#3,0.16
22.49,F3,0.33
22.82,E3,0.33
23.15,A2C3D3F3,0.65
23.80,A2C3D3,0.65
24.45,A2C3D3,1.14
25.59,A2B2C#3,0.65
26.24,A2B2C#3,0.33
26.57,C#3,0.16
26.73,F#3,0.16
26.89,A2B2C#3,0.33
27.22,F3,0.33
27.55,A2B2C#3F3,0.33
27.87,E3,0.16
28.04,E3,0.16
28.20,A2B2D3,0.65
28.85,A2B2D3,0.33
29.18,E3,0.16
29.34,C#3,0.16
29.50,A2B2C#3F#3,0.33
29.83,F3,0.33
30.16,A2B2D3F3,0.33
30.48,E3,0.16
30.64,E3,0.16
30.81,A2B2D3E3,0.65
31.46,A2B2D3,0.33
31.79,E3,0.16
31.95,C#3,0.16
32.11,A2B2D3F#3,0.33
32.44,F3,0.16
32.60,F3,0.16
32.76,A2B2D3F3,0.33
33.09,E3,0.33
33.41,A2B2C3D#3,0.33
33.74,F#3,0.33
34.07,A2B2D#3F#3,0.33
34.39,E3,0.33
34.72,A2B2D#3G#3,0.33
35.05,F#3,0.16
35.21,F3,0.16
35.37,A2B2D#3,0.33
35.70,E3,0.33
36.02,A2C3D3,0.65
36.67,A2C3D3,0.65
37.33,A2C3D3G#3,0.33
37.65,F#3,0.16
37.82,F3,0.16
37.98,A2C3D3F3,0.33
38.30,E3,0.16
38.47,E3,0.16
38.63,A2C3D3E3,0.65
39.28,A2C3D3,0.65
39.94,A2C3D3G#3,0.33
40.26,F#3,0.16
40.42,F3,0.16
40.59,A2C3D3F3,0.33
40.91,E3,0.33
41.24,A2B2C#3G#3,0.65
41.89,A2B2C#3,0.65
42.54,A2B2C#3,0.65
43.20,A2B2C#3G#3,0.33
43.52,E3,0.16
43.68,F3,0.16
43.85,A2B2D#3F#3,0.33
44.17,F#3,0.16
44.34,F#3,0.16
44.50,A2B2D#3F#3,0.33
44.83,G3,0.33
45.15,A2B2D#3F#3,0.65
45.80,A2B2D#3,0.33
46.13,F3,0.16
46.29,F#3,0.16
46.45,A2C3D3G3,0.33
46.78,F#3,0.16
46.94,F3,0.16
47.11,A2C3D3F3,0.33
47.43,E3,0.33
47.76,A2C3D3E3,0.33
48.09,F#3,0.16
48.25,F3,0.16
48.41,A2C3D3F3,0.33
48.74,A#2C#3D#3F3,0.65
49.39,F3,0.33
49.72,E3,0.33
50.04,F3,0.33
50.37,E3,0.16
50.53,E3,0.33
50.86,A2E3,0.16
51.02,C#3,0.16
51.18,B2,0.16
51.34,C#3,0.16
51.51,A2,0.16
51.67,C#3,0.16
51.83,B2,0.16
52.00,C#3,0.16
52.16,A2,0.16
52.32,C#3,0.16
52.49,B2,0.16
52.65,C#3,0.16
52.81,A2,0.16
52.98,C#3,0.16
53.14,B2,0.16
53.30,C#3,0.16
53.46,A2,0.16
53.63,D3,0.16
53.79,B2,0.16
53.95,D3,0.16
54.12,A2,0.16
54.28,D3,0.16
54.44,B2,0.16
54.60,D3,0.16
54.77,A2E3,0.16
54.93,D#3,0.16
55.09,B2F3,0.16
55.26,D#3,0.16
55.42,A2F#3,0.16
55.58,D#3,0.16
55.75,B2G#3,0.16
55.91,D#3,0.16
56.07,A3C3,0.16
56.23,A2,0.16
56.40,C3G#3,0.16
56.56,A2,0.16
56.72,C3F#3,0.16
56.89,A2,0.16
57.05,A3C3,0.16
57.21,A2,0.16
57.38,C3,0.16
57.54,A2,0.16
57.70,C3G#3,0.16
57.87,A2,0.16
58.03,C3F#3,0.16
58.19,A2,0.16
58.35,A3C3,0.16
58.52,A2,0.16
58.68,C3,0.16
58.84,A2,0.16
59.01,C3,0.16
59.17,A2,0.16
59.33,C3,0.16
59.49,A2,0.16
59.66,A3C3,0.16
59.82,A2,0.16
59.98,C3G#3,0.16
60.15,A2,0.16
60.31,C3E3,0.16
60.47,A2,0.16
60.64,C3F#3,0.16
60.80,A2,0.16
60.96,A2F#3,0.16
61.12,C#3,0.16
61.29,A2F3,0.16
61.45,C#3,0.16
61.61,A2G#3,0.16
61.78,C#3,0.16
