# 水边的阿狄丽
# Converted from SkyStudio format
# BPM: 300
# Total chords: 298

Time,Keys,Duration
0.00,A2,0.20
0.20,C#3,0.20
0.40,E3,0.20
0.60,F3,0.20
0.80,A2,0.20
1.00,C#3,0.20
1.20,E3,0.20
1.40,F3,0.20
1.60,A2,0.20
1.80,C#3,0.20
2.00,E3,0.20
2.20,F3,0.20
2.40,A2,0.20
2.60,C#3,0.20
2.80,E3,0.20
3.00,F3,0.20
3.20,A2,0.20
3.40,C#3,0.20
3.60,F#3,0.20
3.80,C#3,0.20
4.00,A2,0.20
4.20,C#3,0.20
4.40,F#3,0.20
4.60,C#3,0.20
4.80,A2,0.20
5.00,C#3,0.20
5.20,F#3,0.20
5.40,C#3,0.20
5.60,A2,0.20
5.80,C#3,0.20
6.00,F#3,0.20
6.20,C#3,0.20
6.40,A2C#3F#3,0.40
6.80,B2,0.40
7.20,C#3E3F#3,0.40
7.60,B2,0.40
8.00,E3,0.40
8.40,B2,0.40
8.80,A2C#3F#3,0.40
9.20,B2,0.20
9.40,D3G3,0.20
9.60,A#2D3G3,0.40
10.00,C3,0.40
10.40,D3F3G3,0.40
10.80,C3,0.40
11.20,F3,0.20
11.40,D3G3,0.20
11.60,C3D3G3,0.20
11.80,D3G3,0.20
12.00,D3F3G3,0.20
12.20,D3G3,0.20
12.40,C3D3G3,0.20
12.60,D#3G#3,0.20
12.80,A#2D#3G#3,0.40
13.20,C#3,0.40
13.60,D#3F3G#3,0.40
14.00,C#3,0.40
14.40,F3,0.40
14.80,C#3,0.40
15.20,A#2D#3G#3,0.60
15.80,A3E3,0.20
16.00,A2C#3F#3,0.40
16.40,B2,0.40
16.80,E3,0.40
17.20,B2,0.40
17.60,E3,0.40
18.00,B2,0.40
18.40,E3,0.40
18.80,B2,0.40
19.20,A2C#3F#3,0.40
19.60,B2,0.40
20.00,C#3E3F#3,0.40
20.40,B2,0.40
20.80,E3,0.20
21.00,C#3F#3,0.20
21.20,B2C#3F#3,0.20
21.40,C#3F#3,0.20
21.60,C#3E3F#3,0.20
21.80,C#3F#3,0.20
22.00,B2C#3F#3,0.20
22.20,D3G3,0.20
22.40,A#2D3G3,0.40
22.80,C3,0.40
23.20,D3F3G3,0.40
23.60,C3,0.40
24.00,F3,0.20
24.20,D3G3,0.20
24.40,C3D3G3,0.20
24.60,D3G3,0.20
24.80,D3F3G3,0.20
25.00,D3G3,0.20
25.20,C3D3G3,0.20
25.40,D#3G#3,0.20
25.60,A#2D#3G#3,0.40
26.00,C#3,0.40
26.40,D#3F3G#3,0.40
26.80,C#3,0.40
27.20,F3,0.40
27.60,C#3,0.40
28.00,D#3F3G#3,0.60
28.60,A3E3,0.20
28.80,A2C#3F#3,0.40
29.20,B2,0.40
29.60,E3,0.40
30.00,B2,0.40
30.40,F3,0.40
30.80,B2,0.40
31.20,E3,0.40
31.60,B2,0.40
32.00,D3,0.20
32.20,F#3,0.20
32.40,A3C4,0.20
32.60,E3,0.20
32.80,A#3G#3,0.20
33.00,E3,0.20
33.20,A3F#3,0.20
33.40,B2,0.20
33.60,D#3,0.20
33.80,F#3,0.20
34.00,A#3G#3,0.20
34.20,D#3,0.20
34.40,A3F#3,0.20
34.60,D#3,0.20
34.80,F3G#3,0.20
35.00,D#3,0.20
35.20,A3C3E3,0.40
35.60,D3,0.40
36.00,D#3G#3,0.40
36.40,C#3,0.20
36.60,D3G3,0.20
36.80,A2C#3F#3,0.20
37.00,B2,0.20
37.20,F3,0.20
37.40,B2,0.20
37.60,E3,0.20
37.80,B2,0.20
38.00,C#3,0.20
38.20,A2,0.20
38.40,B2,0.20
38.60,D3,0.20
38.80,E3F#3,0.20
39.00,B2,0.20
39.20,D#3F3,0.20
39.40,B2,0.20
39.60,D3E3,0.20
39.80,A2,0.20
40.00,B2,0.20
40.20,C#3,0.20
40.40,C#3D#3,0.20
40.60,B2,0.20
40.80,B2C#3D3,0.20
41.00,B2,0.20
41.20,C#3,0.20
41.40,A2,0.20
41.60,A2C3D3,0.40
42.00,A2,0.40
42.40,A#2C#3,0.40
42.80,A#2C3,0.20
43.00,C#3,0.20
43.20,A2,0.20
43.40,A#2,0.20
43.60,C3,0.20
43.80,C#3,0.20
44.00,E3,0.20
44.20,F3,0.20
44.40,A2,0.20
44.60,A#2,0.20
44.80,C3,0.20
45.00,C#3,0.20
45.20,E3,0.20
45.40,F3,0.20
45.60,G3,0.20
45.80,G#3,0.20
46.00,C4,0.20
46.20,A2,0.20
46.40,A#2,0.20
46.60,C3,0.20
46.80,C#3,0.20
47.00,D#3,0.20
47.20,F3,0.20
47.40,G3,0.20
47.60,G#3,0.20
47.80,A#3,0.20
48.00,A2,0.20
48.20,A#2,0.20
48.40,C3,0.20
48.60,C#3,0.20
48.80,D#3,0.20
49.00,F3,0.20
49.20,G3,0.20
49.40,G#3,0.20
49.60,A#3,0.20
49.80,A2C#3F#3,0.40
50.20,B2,0.40
50.60,C#3E3F#3,0.40
51.00,B2,0.40
51.40,E3,0.20
51.60,C#3F#3,0.20
51.80,B2C#3F#3,0.20
52.00,C#3F#3,0.20
52.20,C#3E3F#3,0.20
52.40,C#3F#3,0.20
52.60,B2C#3F#3,0.20
52.80,D3G3,0.20
53.00,A#2D3G3,0.40
53.40,C3,0.40
53.80,D3F3G3,0.40
54.20,C3,0.40
54.60,F3,0.20
54.80,D3G3,0.20
55.00,C3D3G3,0.20
55.20,D3G3,0.20
55.40,D3F3G3,0.20
55.60,D3G3,0.20
55.80,C3D3G3,0.20
56.00,D#3G#3,0.20
56.20,A#2D#3G#3,0.40
56.60,C#3,0.40
57.00,D#3F3G#3,0.40
57.40,C#3,0.40
57.80,F3,0.40
58.20,C#3,0.40
58.60,A#2D#3G#3,0.60
59.20,A3E3,0.20
