# 永不失联的爱
# Converted from SkyStudio format
# BPM: 340
# Total chords: 251

Time,Keys,Duration
0.35,p,0.35
0.70,k,0.35
1.06,l,0.35
1.41,;,0.35
1.76,l,0.35
2.11,k,0.35
2.46,j,0.35
2.82,ho,0.35
3.17,ly,0.35
3.52,lp,0.35
3.87,y,0.35
4.22,o,1.41
5.63,ijp,0.70
6.34,j,0.35
6.69,k,0.35
7.04,l,0.35
7.39,k,0.35
7.74,j,0.35
8.10,p,0.35
8.45,i,0.35
8.80,ky,0.35
9.15,ku,0.35
9.50,y,0.35
9.86,i,1.76
11.62,p,0.35
11.97,k,0.35
12.32,l,0.35
12.67,;,0.35
13.02,l,0.35
13.38,k,0.35
13.73,j,0.35
14.08,ho,0.35
14.43,ly,0.35
14.78,lp,0.35
15.14,y,0.35
15.49,o,1.06
16.54,k,0.35
16.90,k,1.41
18.30,l,1.06
19.36,k,0.35
19.71,l,0.88
20.59,;,0.18
20.77,l,0.18
20.94,k,1.94
22.88,p,0.35
23.23,k,0.35
23.58,l,0.35
23.94,;,0.35
24.29,l,0.35
24.64,k,0.35
24.99,j,0.35
25.34,ho,0.35
25.70,ly,0.35
26.05,lp,0.35
26.40,y,0.35
26.75,o,1.41
28.16,ijp,0.35
28.51,u,0.35
28.86,j,0.35
29.22,k,0.35
29.57,l,0.35
29.92,k,0.35
30.27,j,0.35
30.62,p,0.35
30.98,i,0.35
31.33,ky,0.35
31.68,ku,0.35
32.03,y,0.35
32.38,i,1.76
34.14,p,0.35
34.50,k,0.35
34.85,l,0.35
35.20,;,0.35
35.55,l,0.35
35.90,k,0.35
36.26,j,0.35
36.61,ho,0.35
36.96,ly,0.35
37.31,lp,0.35
37.66,y,0.35
38.02,o,1.41
39.42,iy,0.35
39.78,ku,0.35
40.13,lp,0.35
40.48,hk,0.35
40.83,jl,0.35
41.18,k,0.35
41.54,l,0.35
41.89,k,0.35
42.24,ly,0.35
42.59,mp,0.35
42.94,my,0.35
43.30,u,0.35
43.65,i,1.06
44.70,p,0.35
45.06,y,0.35
45.41,;p,0.35
45.76,;j,0.35
46.11,in,0.35
46.46,mp,0.35
46.82,n,0.35
47.17,;,0.35
47.52,k,0.35
47.87,ho,0.35
48.22,ny,0.35
48.58,no,0.35
48.93,p,0.35
49.28,h,1.41
50.69,p,0.35
51.04,lu,0.35
51.39,lp,0.35
51.74,;h,0.35
52.10,jn,0.35
52.45,;,0.35
52.80,k,0.35
53.15,h,0.35
53.50,p,0.35
53.86,;y,0.35
54.21,;i,1.06
55.26,il,0.35
55.62,u,0.35
55.97,ky,0.70
56.67,ik,0.35
57.02,hk,0.35
57.38,jl,0.35
57.73,;y,0.35
58.08,l,0.35
58.43,k,0.35
58.78,j,0.35
59.14,hu,0.35
59.49,l,0.35
59.84,l,2.46
62.30,p,0.35
62.66,j,0.35
63.01,k,0.35
63.36,l,0.35
63.71,k,0.35
64.06,l,0.35
64.42,;,0.35
64.77,y,0.35
65.12,kp,0.35
65.47,y,0.35
65.82,u,0.35
66.18,o,0.35
66.53,h,0.35
66.88,k,0.35
67.23,l,0.35
67.58,;hky,1.06
68.64,k,0.35
68.99,jlp,0.70
69.70,ky,0.35
70.05,i,0.35
70.40,;iy,0.35
70.75,,,0.35
71.10,,,0.35
71.46,;,0.35
71.81,;iy,0.35
72.16,,,0.35
72.51,,,0.35
72.86,;,0.35
73.22,;ip,0.35
73.57,.,0.35
73.92,.i,0.35
74.27,p,0.35
74.62,j,0.70
75.33,/,0.35
75.68,.,0.35
76.03,.i,0.35
76.38,,,0.35
76.74,,,0.35
77.09,m,0.35
77.44,mp,0.35
77.79,l,0.35
78.14,;,0.35
78.50,,,0.35
78.85,jlp,0.35
79.20,k,1.06
80.26,h,0.35
80.61,h,0.35
80.96,m,0.35
81.31,jln,0.70
82.02,o,0.35
82.37,h,0.70
83.07,p,0.35
83.42,p,0.35
83.78,;,0.35
84.13,jlp,0.70
84.83,i,0.35
85.18,p,0.35
85.54,k,0.35
85.89,lu,0.35
86.24,p,0.35
86.59,k,0.35
86.94,jlp,1.06
88.00,n,0.35
88.35,;,0.70
89.06,i,0.35
89.41,p,0.35
89.76,k,0.35
90.11,jlp,0.70
90.82,ky,0.35
91.17,i,0.35
91.52,;iy,0.35
91.87,,,0.35
92.22,,,0.35
92.58,;,0.35
92.93,;iy,0.35
93.28,,,0.35
93.63,,,0.35
93.98,;,0.35
94.34,;i,0.35
94.69,.,0.35
95.04,.i,0.35
95.39,p,0.35
95.74,j,0.70
96.45,/,0.35
96.80,.,0.35
97.15,.p,0.35
97.50,,,0.35
97.86,,,0.35
98.21,m,0.35
98.56,mp,0.35
98.91,l,0.35
99.26,;,0.35
99.62,,,0.35
99.97,jlp,0.35
100.32,k,1.06
101.38,h,0.35
101.73,h,0.35
102.08,m,0.35
102.43,jln,0.70
103.14,o,0.35
103.49,h,0.70
104.19,p,0.35
104.54,p,0.35
104.90,;,0.35
105.25,jlp,0.70
105.95,i,0.35
106.30,p,0.70
107.01,;,0.35
107.36,ky,0.35
107.71,j,0.35
108.06,hko,0.35
108.42,ly,0.70
109.12,kp,0.35
109.47,p,0.35
109.82,k,0.35
110.18,p,0.35
110.53,k,0.35
110.88,l,0.35
111.23,im,0.50
