# 波西米亚狂想曲 Bohemian Rhapsody 烛子ikina
# Converted from SkyStudio format
# BPM: 300
# Total chords: 148

Time,Keys,Duration
0.00,y,0.40
0.40,p,0.40
0.80,k,0.40
1.20,;,0.40
1.60,,h,0.40
2.00,p,0.40
2.40,mp,0.40
2.80,p,0.40
3.20,iy,0.40
3.60,p,0.40
4.00,k,0.40
4.40,;,0.40
4.80,,h,0.40
5.20,p,0.40
5.60,mp,0.40
6.00,p,0.40
6.40,;y,0.20
6.60,;,0.20
6.80,p,0.40
7.20,k,0.40
7.60,;,0.40
8.00,,h,0.40
8.40,p,0.40
8.80,mp,0.40
9.20,kp,0.40
9.60,hl,0.40
10.00,;i,0.20
10.20,;,0.20
10.40,k,0.40
10.80,;,0.40
11.20,.j,0.40
11.60,h,0.40
12.00,,h,0.40
12.40,;h,0.20
12.60,;,0.20
12.80,ln,0.20
13.00,m,0.20
13.20,o,0.20
13.40,n,0.20
13.60,h,0.20
13.80,;,0.20
14.00,o,0.40
14.40,l,0.40
14.80,u,0.40
15.20,l,0.40
15.60,;u,0.40
16.00,ln,0.20
16.20,m,0.20
16.40,o,0.20
16.60,n,0.20
16.80,h,0.20
17.00,;,0.20
17.20,o,0.20
17.40,l,0.20
17.60,j,0.40
18.00,o,0.40
18.40,p,0.40
18.80,j,0.40
19.20,;y,0.20
19.40,;,0.20
19.60,p,0.40
20.00,k,0.40
20.40,;,0.40
20.80,,h,0.40
21.20,p,0.40
21.60,;p,0.40
22.00,mp,0.40
22.40,.h,0.40
22.80,i,0.20
23.00,,,0.20
23.20,,h,0.40
23.60,k,0.40
24.00,.j,0.40
24.40,h,0.40
24.80,,h,0.40
25.20,,h,0.40
25.60,/l,0.40
26.00,/o,0.40
26.40,/h,0.40
26.80,/l,0.40
27.20,/lu,0.40
27.60,,,0.40
28.00,kny,0.40
28.40,;,0.40
28.80,jl,0.40
29.20,u,0.40
29.60,o,0.40
30.00,h,0.40
30.40,ju,0.80
31.20,hy,0.80
32.00,;y,0.20
32.20,;,0.20
32.40,y,0.40
32.80,i,0.40
33.20,y,0.40
33.60,p,0.40
34.00,y,0.40
34.40,jl,0.40
34.80,;y,0.20
35.00,n,0.20
35.20,;h,0.40
35.60,h,0.40
36.00,k,0.40
36.40,;,0.40
36.80,.j,0.40
37.20,h,0.40
37.60,,h,0.40
38.00,;h,0.40
38.40,lnu,0.60
39.00,;,0.20
39.20,;lu,0.40
39.60,l,0.20
39.80,l,0.20
40.00,ky,0.80
40.80,ky,0.60
41.40,p,0.20
41.60,p,0.40
42.00,lp,0.40
42.40,lp,0.40
42.80,;p,0.20
43.00,;,0.20
43.20,p,0.40
43.60,np,0.40
44.00,np,0.40
44.40,mp,0.20
44.60,n,0.20
44.80,y,0.20
45.00,;,0.20
45.20,y,0.40
45.60,i,0.40
46.00,ly,0.20
46.20,;,0.20
46.40,jm,0.40
46.80,p,0.40
47.20,j,0.40
47.60,lp,0.20
47.80,;,0.20
48.00,hk,0.40
48.40,i,0.40
48.80,h,0.40
49.20,i,0.20
49.40,p,0.20
49.60,ho,0.40
50.00,j,0.20
50.20,h,0.40
50.60,j,0.20
50.80,h,0.40
51.20,py,0.50
