# 卡农—超酷炫技版
# Converted from SkyStudio format
# BPM: 720
# Total chords: 1682

Time,Keys,Duration
1.33,A2,0.33
1.66,C#3,0.33
1.99,E3,0.33
2.32,F#3,0.33
2.66,C#3,0.33
2.99,F3,0.33
3.32,G#3,0.33
3.65,A#3,0.33
3.98,D3,0.33
4.32,F#3,0.33
4.65,A3,0.33
4.98,C4,0.33
5.31,B2,0.33
5.64,D#3,0.33
5.98,F#3,0.33
6.31,G#3,0.33
6.64,C3,0.33
6.97,E3,0.33
7.30,G3,0.33
7.64,A3,0.33
7.97,A2,0.33
8.30,C#3,0.33
8.63,E3,0.33
8.96,F#3,0.33
9.30,C3,0.33
9.63,F3,0.33
9.96,A3,0.33
10.29,C4,0.33
10.62,C#3,0.33
10.96,F3,0.33
11.29,G#3,0.33
11.62,A#3,0.33
11.95,A2G3,0.33
12.28,C#3,0.33
12.62,E3,0.33
12.95,F#3,0.33
13.28,C#3F3,0.33
13.61,F3,0.33
13.94,G#3,0.33
14.28,A#3,0.33
14.61,D3E3,0.33
14.94,F#3,0.33
15.27,A3,0.33
15.60,C4,0.33
15.94,B2D#3,0.33
16.27,D#3,0.33
16.60,F#3,0.33
16.93,G#3,0.33
17.26,C3D3,0.33
17.60,E3,0.33
17.93,G3,0.33
18.26,A3,0.33
18.59,A2C#3,0.33
18.92,C#3,0.33
19.26,E3,0.33
19.59,F#3,0.33
19.92,C3D3,0.33
20.25,F3,0.33
20.58,A3,0.33
20.92,C4,0.33
21.25,C#3D#3,0.33
21.58,F3,0.33
21.91,G#3,0.33
22.24,A#3,0.33
22.58,A2E3F#3,0.33
22.91,C#3,0.33
23.24,E3,0.33
23.57,F#3,0.33
23.90,C#3D#3F3,0.33
24.24,F3,0.33
24.57,G#3,0.33
24.90,A#3,0.33
25.23,D#3D3E3,0.33
25.56,F#3,0.33
25.90,A3,0.33
26.23,C4,0.33
26.56,B2C#3D#3,0.33
26.89,D#3,0.33
27.22,F#3,0.33
27.56,G#3,0.33
27.89,C#3C3D3,0.33
28.22,E3,0.33
28.55,G3,0.33
28.88,A3,0.33
29.22,A2B2C#3,0.33
29.55,C#3,0.33
29.88,E3,0.33
30.21,F#3,0.33
30.54,C#3C3D3,0.33
30.88,F3,0.33
31.21,A3,0.33
31.54,C4,0.33
31.87,C#3D#3D3,0.33
32.20,F3,0.33
32.54,C3G#3,0.33
32.87,A#3,0.33
33.20,A2B2E3,0.33
33.53,C#3D#3,0.33
33.86,B2D#3E3,0.33
34.20,B2F#3,0.33
34.53,C#3D3,0.33
34.86,F3,0.33
35.19,A#2D#3G#3,0.33
35.52,A#3B2,0.33
35.86,A2D3,0.33
36.19,E3F#3,0.33
36.52,A3D#3D3,0.33
36.85,C4D3,0.33
37.18,B2C#3D#3,0.33
37.52,D#3F#3,0.33
37.85,F#3F3G#3,0.33
38.18,A3G#3,0.33
38.51,C3E3G3,0.33
38.84,E3F#3,0.33
39.18,D3F3G3,0.33
39.51,A3D#3G3,0.33
39.84,A2E3F#3,0.33
40.17,C#3F3,0.33
40.50,C#3D3E3,0.33
40.84,D#3F#3,0.33
41.17,C#3C3D3,0.33
41.50,C#3F3,0.33
41.83,A2A3C3,0.33
42.16,B2C4,0.33
42.50,A#2A2C#3,0.33
