# 浪流连
# Converted from SkyStudio format
# BPM: 500
# Total chords: 184

Time,Keys,Duration
0.00,C3,0.48
0.48,A2F#3,0.24
0.72,F#3,0.24
0.96,C3F#3,0.24
1.20,F#3,0.24
1.44,F#3,0.24
1.68,G3,0.24
1.92,C#3F#3,0.48
2.40,A#2F3,0.24
2.64,F3,0.24
2.88,C#3,0.24
3.12,E3,0.24
3.36,F3,0.24
3.60,E3,0.24
3.84,A2C#3F3,0.48
4.32,A2,0.24
4.56,F#3,0.24
4.80,C#3,0.24
5.04,F3,0.24
5.28,F#3,0.24
5.52,F3,0.24
5.76,D3F#3,0.48
6.24,B2F3,0.24
6.48,D3,0.48
6.96,E3,0.72
7.68,C3,0.48
8.16,A2G3,0.24
8.40,G3,0.24
8.64,C3G3,0.24
8.88,G3,0.48
9.36,A3,0.24
9.60,A3C#3,0.24
9.84,G#3,0.24
10.08,A#2,0.24
10.32,G#3,0.24
10.56,C#3,0.48
11.04,F#3,0.24
11.28,F#3,0.24
11.52,A2,0.48
12.00,C#3,0.48
12.48,E3,0.48
12.96,F#3,0.48
13.44,B2D#3F#3,0.48
13.92,B2,0.24
14.16,D#3,0.24
14.40,G#3,0.24
14.64,G3,0.24
14.88,F#3,0.24
15.12,E3,0.24
15.36,C3,0.48
15.84,A2G3,0.48
16.32,C3F#3,0.48
16.80,D3E3,0.24
17.04,F#3,0.24
17.28,C#3,0.24
17.52,F3,0.24
17.76,A#2,0.48
18.24,C#3,0.24
18.48,E3,0.24
18.72,E3,0.24
18.96,F3,0.24
19.20,A2F#3,0.48
19.68,B2C#3,0.24
19.92,C#3,0.24
20.16,A2C#3,0.24
20.40,F3,0.24
20.64,C#3,0.24
20.88,E3,0.24
21.12,B2D3,0.48
21.60,B2,0.48
22.08,D3,0.48
22.56,E3,0.48
23.04,C3,0.48
23.52,A2G3,0.48
24.00,C3G3,0.48
24.48,D3F#3,0.24
24.72,F3,0.24
24.96,C#3,0.48
25.44,A#2F3,0.24
25.68,E3,0.24
25.92,C#3,0.48
26.40,E3,0.24
26.64,E3,0.24
26.88,A2,0.48
27.36,C#3,0.48
27.84,E3,0.48
28.32,C#3,0.48
28.80,A2,0.48
29.28,C#3,0.48
29.76,E3F#3G#3,0.24
30.00,F#3,0.24
30.24,B2C#3,0.48
30.72,A2C3G3,0.24
30.96,F#3,0.24
31.20,A2E3,0.24
31.44,G3,0.24
31.68,C3D3F#3,0.24
31.92,E3,0.24
32.16,C3G3,0.24
32.40,A2F#3,0.24
32.64,A#2C#3D#3,0.24
32.88,G3,0.24
33.12,A#2F#3,0.24
33.36,E3,0.24
33.60,C#3D#3F3,0.24
33.84,E3,0.24
34.08,C#3G#3,0.24
34.32,A#2F3,0.24
34.56,B2D3F3,0.24
34.80,F#3,0.24
35.04,B2,0.48
35.52,D3E3,0.48
36.00,D3,0.24
36.24,B2,0.24
36.48,B2D3,0.24
36.72,B2,0.24
36.96,D3,0.24
37.20,D#3,0.24
37.44,D3E3,0.24
37.68,D#3,0.24
37.92,D3,0.24
38.16,C#3,0.24
38.40,A2C3G3,0.24
38.64,F#3,0.24
38.88,A2E3,0.24
39.12,G3,0.24
39.36,C3D3F#3,0.24
39.60,E3,0.24
39.84,C3G3,0.24
40.08,A2F#3,0.24
40.32,A#2C#3G3,0.24
40.56,F#3,0.24
40.80,A#2E3,0.24
41.04,G3,0.24
41.28,C#3D#3F#3,0.24
41.52,E3,0.24
41.76,C#3F3,0.24
42.00,A#2E3,0.24
42.24,A2B2C#3G#3,0.48
42.72,C#3F#3,0.24
42.96,F#3,0.24
43.20,C#3E3,0.48
43.68,C#3,0.24
43.92,B2,0.24
44.16,A2,0.24
44.40,C#3,0.24
44.64,E3,0.24
44.88,F3,0.24
45.12,E3F#3,0.24
45.36,G3,0.24
45.60,F#3G#3,0.24
45.84,C#3,0.24
46.08,A2C3E3,0.48
46.56,A2,0.24
46.80,G#3,0.24
47.04,C3D3,0.24
47.28,F#3,0.24
47.52,C3E3,0.24
47.76,A2F3,0.24
48.00,A#2C#3,0.48
48.48,A#2E3,0.24
48.72,F3,0.24
48.96,C#3D#3E3,0.24
49.20,F3,0.24
49.44,C#3E3,0.24
49.68,A#2F3,0.24
49.92,B2C#3F#3,0.48
50.40,B2,0.24
50.64,G#3,0.24
50.88,C#3D#3,0.48
51.36,C#3G#3,0.24
51.60,A3B2,0.24
51.84,B2,0.12
51.96,D3,0.12
52.08,E3,0.12
52.20,F#3,3.48
55.68,C3,0.48
56.16,G3,0.48
56.64,C4,0.72
57.36,G3,2.16
59.52,D3,0.48
60.00,B2,0.48
60.48,C4,0.72
61.20,A3,0.50
