# 海底
# Converted from SkyStudio format
# BPM: 430
# Total chords: 314

Time,Keys,Duration
0.00,A3B2D3,0.28
0.28,B2,0.28
0.56,E3,0.28
0.83,D#3,0.28
1.11,D3G#3,0.56
1.67,A3E3,0.28
1.95,D#3,0.28
2.22,A2C3F#3,0.28
2.50,C3,0.28
2.78,D3,0.28
3.06,D#3,0.28
3.34,A3E3G3,0.56
3.89,F3,0.28
4.17,E3,0.28
4.45,A#2A#3C#3,0.28
4.73,A#2,0.28
5.00,C#3,0.28
5.28,D#3,0.28
5.56,F3G#3,0.56
6.12,D#3F3,0.28
6.39,C#3,0.28
6.67,A2F#3,1.11
7.78,B2G#3,1.11
8.90,A#2C3G3,0.83
9.73,D3F3,0.56
10.29,B2D#3F#3,0.56
10.84,B2,0.56
11.40,E3,0.56
11.95,D#3,0.56
12.51,B2D3,0.28
12.79,B2,0.28
13.07,D3,0.28
13.34,E3,0.28
13.62,F#3,0.56
14.18,F3,0.56
14.73,A2B2D3,2.22
16.96,C4D3,0.56
17.51,B2,0.28
17.79,A#3,0.28
18.07,A3D3,0.14
18.21,A#3,0.14
18.35,A3,0.28
18.63,B2G#3,0.56
19.18,C3F#3,0.56
19.74,A2F3,0.56
20.29,C3F#3,0.42
20.71,D3,0.56
21.27,C#3F3,0.56
21.82,A#2F#3,0.56
22.38,C#3G#3,0.56
22.93,D#3F3,0.56
23.49,A2F#3,0.56
24.05,C#3,0.56
24.60,E3,0.56
25.16,G#3,0.28
25.44,F#3,0.28
25.71,B2D3,0.56
26.27,B2G#3,0.56
26.83,D#3,0.56
27.38,B2F#3,0.14
27.52,G#3,0.14
27.66,F#3,0.28
27.94,C3D3,0.56
28.50,A2E3,0.56
29.05,C3,0.56
29.61,D3,0.56
30.16,C#3D#3,0.56
30.72,A#2E3,0.56
31.27,C#3F3,0.28
31.55,C#3,0.28
31.83,A#2,0.28
32.11,D3,0.28
32.39,B2D3,0.28
32.66,B2,0.28
32.94,D3,0.28
33.22,E3,0.28
33.50,F#3,0.56
34.05,D3F3,0.28
34.33,E3,0.28
34.61,C3F3,0.56
35.17,A2F#3,0.28
35.45,F3,0.28
35.72,C3,0.56
36.28,D3F#3,0.56
36.84,C#3F3,0.56
37.39,A#2F#3,0.28
37.67,G#3,0.28
37.95,C#3,0.56
38.50,D#3F#3,0.56
39.06,C#3F#3,0.28
39.34,D3F3,0.28
39.62,F#3,0.28
39.89,F3,0.28
40.17,F#3,0.56
40.73,F3,0.56
41.28,B2D3,0.97
42.26,E3F#3,0.56
42.81,D3,0.28
43.09,E3,0.28
43.37,C3F3,0.56
43.92,A2F#3,0.28
44.20,F3,0.28
44.48,C3,0.56
45.04,D3F#3,0.56
45.59,C#3G#3,0.56
46.15,A#2F#3,0.56
46.70,C#3F3,0.56
47.26,D#3F#3,0.56
47.82,A2F#3,0.28
48.09,F3,0.28
48.37,B2F#3,0.28
48.65,F3,0.28
48.93,C#3F#3,0.56
49.48,G#3,0.56
50.04,A#3D#3F#3,1.11
51.15,C4,0.28
51.43,A#3,0.28
51.71,G#3,0.56
52.26,C3F#3,0.56
52.82,A2G#3,0.56
53.38,C3,0.56
53.93,D3E3,0.56
54.49,C#3F3,0.56
55.04,A#2,0.56
55.60,C#3C4,0.28
55.88,A#3,0.28
56.16,D#3G#3,0.56
56.71,B2F#3,0.56
57.27,C#3G#3,0.56
57.82,B2,0.56
58.38,D#3F3,0.56
58.94,B2D3F#3,0.56
59.49,B2,0.56
60.05,C4,0.28
60.33,A#3,0.28
60.60,D3G#3,0.28
60.88,E3,0.28
61.16,C3F3,0.56
61.72,A2F#3,0.28
61.99,F3,0.28
62.27,C3,0.56
62.83,A2F#3,0.56
63.38,C#3F3,0.56
63.94,A#2F#3,0.28
64.22,G#3,0.28
64.50,C#3,0.56
65.05,A#2D#3,0.56
65.61,B2C#3,0.28
65.89,B2D3,1.95
67.83,A3E3F#3,1.25
69.08,D3,0.28
69.36,D3,0.28
69.64,C#3,0.28
69.92,A2C3D3,0.28
70.19,D3,0.28
70.47,D3,0.28
70.75,D3,0.14
70.89,C#3,0.14
71.03,A2C3D3,0.56
71.58,E3,0.56
72.14,A#2C#3D3,0.28
72.42,D3,0.28
72.70,D3,0.28
72.97,D3,0.14
73.11,C#3,0.14
73.25,A#2C#3D3,0.56
73.81,E3,0.56
74.36,B2D3,0.28
74.64,D3,0.28
74.92,D3,0.28
75.20,D3,0.14
75.34,D3,0.14
75.48,B2D3,0.28
75.75,D3,0.28
76.03,D3,0.28
76.31,D3,0.28
76.59,B2D3F3,0.28
76.87,F#3,0.28
77.14,F3,0.28
77.42,D3,0.28
77.70,B2,0.28
77.98,D3,0.28
78.26,D3,0.28
78.53,C#3,0.28
78.81,A2C3D3,0.28
