# 海底潭
# Converted from SkyStudio format
# BPM: 480
# Total chords: 413

Time,Keys,Duration
0.00,C3G3,1.00
1.00,C3,0.25
1.25,C3,0.25
1.50,C3,0.25
1.75,C3,0.25
2.00,C3E3,0.25
2.25,A2C#3C3,0.12
2.38,C#3,0.12
2.50,C#3F3,0.25
2.75,A#2C#3E3,0.12
2.88,E3,0.12
3.00,D3F#3,0.25
3.25,B2D3G#3,0.12
3.38,G#3,0.12
3.50,A3D3,0.25
3.75,B2D3F#3,0.12
3.88,F3,0.12
4.00,C3E3,0.25
4.25,A2C3F#3,0.12
4.38,F#3,0.12
4.50,C#3F3,0.12
4.62,E3,0.12
4.75,A#2C#3E3,0.12
4.88,F3,0.12
5.00,D3F#3,0.25
5.25,B2D3G#3,0.25
5.50,D3F#3,0.25
5.75,B2D3,0.25
6.00,C3E3,0.25
6.25,A2C#3C3,0.25
6.50,C#3F3,0.25
6.75,A#2C#3E3,0.12
6.88,E3,0.12
7.00,D3F#3,0.12
7.12,F#3,0.12
7.25,B2D3G#3,0.25
7.50,D3F#3,0.25
7.75,B2D3F3,0.25
8.00,C3E3,0.25
8.25,A2C3F#3,0.25
8.50,C#3F3,0.25
8.75,A#2C#3F#3,0.25
9.00,A2C#3E3,0.25
9.25,A2C#3,0.25
9.50,A2C#3,0.25
9.75,F#3,0.12
9.88,G#3,0.12
10.00,A3C3,0.25
10.25,A2A3C3,0.25
10.50,A3C#3,0.25
10.75,A#2C#3G#3,0.12
10.88,F#3,0.12
11.00,D3F3,0.25
11.25,B2D3F#3,0.25
11.50,D3E3,0.25
11.75,B2D3,0.25
12.00,C3F3,0.25
12.25,A2C3F#3,0.25
12.50,C#3F3,0.25
12.75,A#2C#3G#3,0.25
13.00,D3F#3,0.25
13.25,B2D3,0.25
13.50,D3F#3,0.25
13.75,B2D3F3,0.12
13.88,E3,0.12
14.00,A3C3,0.25
14.25,A2A3C3,0.25
14.50,A3C#3,0.25
14.75,A#2C#3G#3,0.12
14.88,F#3,0.12
15.00,D3F3,0.25
15.25,B2D3F#3,0.25
15.50,D3E3,0.25
15.75,B2D3F#3,0.25
16.00,C3F3,0.25
16.25,A2C3F#3,0.25
16.50,C#3F3,0.25
16.75,A#2C#3G#3,0.25
17.00,D3E3,0.25
17.25,B2D3,0.25
17.50,D3F3,0.25
17.75,B2D3F#3,0.12
17.88,G#3,0.12
18.00,A3C3,0.25
18.25,A2A3C3,0.25
18.50,A3C#3,0.25
18.75,A#2C#3G#3,0.12
18.88,F#3,0.12
19.00,D3F3,0.25
19.25,B2D3F#3,0.25
19.50,D3E3,0.25
19.75,B2D3F#3,0.25
20.00,C3F3,0.25
20.25,A2C3F#3,0.25
20.50,C#3F3,0.25
20.75,A#2C#3G#3,0.25
21.00,D3F#3,0.25
21.25,B2D3,0.25
21.50,D3F#3,0.25
21.75,B2D3F3,0.12
21.88,E3,0.12
22.00,A3C3,0.25
22.25,A2A3C3,0.25
22.50,A3C#3,0.25
22.75,A#2C#3G#3,0.12
22.88,F#3,0.12
23.00,D3F3,0.25
23.25,A#3B2D3,0.25
23.50,C4D3,0.25
23.75,B2D3F#3,0.12
23.88,F3,0.12
24.00,C3D3,0.25
24.25,A2C3F3,0.25
24.50,C#3G#3,0.25
24.75,A#2C#3F#3,0.12
24.88,F3,0.12
25.00,A2C#3E3,0.25
25.25,A2C#3,0.25
25.50,A2C#3D3,0.25
25.75,C#3,0.25
26.00,C3,0.25
26.25,C3F#3,0.25
26.50,C3,0.25
26.75,C3F#3,0.25
27.00,C3F3,0.25
27.25,C3E3,0.25
27.50,C3D#3,0.25
27.75,C3F3,0.25
28.00,C#3E3,0.25
28.25,C#3,0.25
28.50,C#3,0.25
28.75,C#3,0.25
29.00,B2C#3,0.25
29.25,B2C3,0.25
29.50,B2,0.25
29.75,B2,0.25
30.00,C3,0.25
30.25,C3F#3,0.25
30.50,C3F#3,0.25
30.75,C3F#3,0.25
31.00,C3F3,0.25
31.25,C3E3,0.25
31.50,C3D#3,0.25
31.75,C#3C3,0.25
32.00,C#3,0.25
32.25,C#3F#3,0.25
32.50,C#3F3,0.25
32.75,C#3E3,0.25
33.00,A2F#3,0.25
33.25,A2,0.25
33.50,A2F3,0.25
33.75,A2E3,0.25
34.00,C3,0.25
34.25,B2C#3C3,0.25
34.50,C3E3F#3,0.25
34.75,C3F#3G#3,0.25
35.00,C3,0.25
35.25,C3E3F#3,0.25
35.50,C#3C3D#3,0.25
35.75,C3D3E3,0.25
36.00,C#3,0.25
36.25,B2C#3,0.25
36.50,C#3E3F#3,0.25
36.75,C#3F#3G#3,0.25
37.00,B2,0.25
37.25,B2D#3F#3,0.25
37.50,B2C#3D#3,0.25
37.75,B2D#3F3,0.25
38.00,C3D3E3,0.25
38.25,C3,0.25
38.50,C3,0.25
38.75,B2C#3C3,0.25
39.00,C3E3,0.25
39.25,C3,0.25
39.50,C3,0.25
39.75,C3E3,0.25
40.00,C#3F3,0.25
40.25,A#2C#3E3,0.25
40.50,C#3G3,0.25
40.75,D#3,0.25
41.00,C#3F#3,0.50
41.50,C#3D#3,0.25
41.75,D#3,0.25
42.00,B2D3E3,0.25
42.25,B2D3E3,0.25
42.50,A2E3,0.25
42.75,B2C#3,0.25
43.00,A2C3F3,0.50
43.50,E3,0.25
43.75,C3E3,0.25
44.00,A#2C#3F3,0.25
44.25,E3,0.25
44.50,E3,0.25
44.75,G3,0.25
45.00,A2B2C#3F#3,0.25
45.25,A2B2C#3,0.25
45.50,F#3,0.12
45.62,F3,0.12
45.75,E3,0.12
45.88,D#3,0.12
46.00,B2D3E3,0.50
46.50,B2D3E3,0.25
46.75,F#3,0.25
47.00,A2C3G#3,0.25
47.25,A2C3E3,0.25
47.50,A2C3E3,0.25
47.75,E3,0.25
48.00,A#2C#3F3,0.25
48.25,A#2C#3F#3,0.25
48.50,C#3F3,0.25
48.75,C#3E3,0.25
49.00,A2C#3E3,0.25
49.25,A2C#3,0.25
49.50,A2E3,0.25
49.75,A2D#3,0.25
50.00,B2D3E3,0.25
50.25,B2D3E3,0.25
50.50,B2D3E3,0.25
50.75,A2B2C#3D3,0.25
51.00,A2C#3C3F3,0.25
51.25,A2C3,0.25
51.50,A2C#3C3E3,0.25
51.75,C#3C3E3,0.25
52.00,C#3D3F3,0.25
52.25,A#2C#3E3,0.25
52.50,C#3E3,0.25
52.75,A#2C#3F3G3,0.25
53.00,A2C#3E3F#3,0.25
53.25,A2C#3,0.25
53.50,A2C#3F#3,0.12
53.62,F3,0.12
53.75,A2E3,0.12
53.88,D#3,0.12
54.00,B2D3E3,0.25
54.25,B2D3,0.25
54.50,B2D3E3,0.25
54.75,B2C#3D3F#3,0.25
55.00,B2D#3D3G3,0.25
55.25,B2C#3D#3F#3,0.25
55.50,A#2B2D#3F3,0.25
55.75,A2B2E3,0.25
56.00,B2C3F3,0.25
56.25,A2C3,0.25
56.50,C3,0.25
56.75,A2C#3C3,0.25
57.00,A2C#3C3,0.25
57.25,A2C#3C3,0.25
57.50,C3D3F#3,0.12
57.62,C3,0.12
57.75,A2C#3C3F3,0.25
58.00,A#2C#3D#3F3,0.25
58.25,A#2D#3,0.25
58.50,A#2C3D#3E3,0.25
58.75,A#2B2D#3,0.25
59.00,A#2B2D#3,0.50
59.50,F#3,0.25
59.75,E3,0.25
60.00,C3E3,0.25
60.25,A2C#3C3,0.12
60.38,C#3,0.12
60.50,C#3F3,0.25
60.75,A#2C#3E3,0.12
