# 海阔天空
# Converted from SkyStudio format
# BPM: 262
# Total chords: 175

Time,Keys,Duration
0.00,F#3,0.46
0.46,F3,0.46
0.92,A2E3,0.46
1.37,C#3,0.46
1.83,E3,0.46
2.29,F#3,0.69
2.98,F3,0.23
3.21,F#3,0.23
3.44,A#2G#3,0.46
3.89,C#3G#3,0.23
4.12,G#3,0.23
4.35,D3,0.23
4.58,D3,0.23
4.81,C#3,0.46
5.27,A3,0.23
5.50,A#3,0.23
5.72,C4D3,0.46
6.18,B2C4,0.23
6.41,C4,0.23
6.64,E3,0.23
6.87,C4,0.46
7.33,C4,0.46
7.79,A#3,0.46
8.24,A3,0.46
8.70,G#3,0.46
9.16,A3C3,0.46
9.62,A2,0.46
10.08,C3,0.46
10.53,D3,0.46
10.99,A3,0.46
11.45,G#3,0.46
11.91,F#3G#3,0.46
12.37,C#3,0.46
12.82,E3,0.46
13.28,F#3G#3,0.46
13.74,F#3,0.23
13.97,F3,0.23
14.20,E3,0.46
14.66,F#3,0.46
15.11,G3,0.46
15.57,A#2F#3,0.46
16.03,C#3F3,0.46
16.49,D#3F3,0.46
16.95,F#3,0.23
17.18,F3,0.46
17.63,F#3,0.46
18.09,F3,0.46
18.55,C3F3,0.46
19.01,A2E3,0.46
19.46,D3E3,0.46
19.92,E3,0.23
20.15,E3,0.69
20.84,F3,0.46
21.30,E3,0.46
21.75,A2B2E3,0.46
22.21,C#3,0.46
22.67,D3,0.46
23.13,D#3,0.46
23.59,E3,0.69
24.27,F#3,0.46
24.73,F3,0.46
25.19,A2E3,0.46
25.65,C#3,0.46
26.11,E3,0.46
26.56,C#3,0.46
27.02,E3,0.46
27.48,C#3,0.46
27.94,E3,0.46
28.40,C#3F3,0.23
28.62,F#3,0.23
28.85,C#3G#3,0.46
29.31,A#2G#3,0.23
29.54,G#3,0.23
29.77,C#3,0.23
30.00,A#2A3,0.23
30.23,C#3G#3,0.23
30.46,A#2,0.23
30.69,C#3,0.23
30.91,A#2A3,0.23
31.14,A#3,0.23
31.37,C4D3,0.46
31.83,B2C4,0.23
32.06,C4,0.23
32.29,D3,0.46
32.75,B2C4,0.46
33.20,C4D3,0.46
33.66,A#3B2,0.46
34.12,A3D3,0.46
34.58,G#3,0.23
34.81,B2,0.23
35.04,A3,0.46
35.49,C3,0.46
35.95,A2,0.46
36.41,C3,0.46
36.87,A2,0.46
37.33,C3,0.46
37.78,A2,0.46
38.24,A3C3,0.46
38.70,A2G#3,0.46
39.16,B2G#3,0.46
39.62,A2,0.46
40.08,B2,0.46
40.53,F3,0.46
40.99,A2G#3,0.46
41.45,B2F#3,0.23
41.68,F3,0.23
41.91,A2E3,0.46
42.37,B2F#3,0.46
42.82,A2G3,0.46
43.28,C#3F#3,0.46
43.74,A#2F3,0.46
44.20,C#3F3,0.46
44.66,A#2F#3,0.23
44.88,F3,0.46
45.34,C#3,0.46
45.80,A#2,0.46
46.26,C#3F#3,0.46
46.72,A#2E3,0.46
47.17,C3F3,0.46
47.63,A2E3,0.46
48.09,C3E3,0.46
48.55,A2E3,0.23
48.78,E3,0.46
49.23,C3,0.46
49.69,A2,0.46
50.15,A#2C#3F3,0.46
50.61,E3,0.46
51.07,A2E3,0.46
51.52,C#3,0.46
51.98,D3,0.46
52.44,D#3,0.46
52.90,E3,0.69
53.59,A3,0.23
53.81,A#3,0.23
54.04,A2C3C4,0.46
54.50,C4,0.23
54.73,C4,0.23
54.96,A2C3,0.46
55.42,C4,0.46
55.88,A#2A#3C#3,0.46
56.33,A3,0.46
56.79,A#2C#3G#3,0.23
57.02,G#3,0.46
57.48,A2B2G#3,0.69
58.17,A2B2F#3,0.46
58.62,F3,0.23
58.85,E3,0.46
59.31,B2C#3,0.46
59.77,B2C#3,0.46
60.23,A2C3,0.46
60.69,E3,0.23
60.91,E3,0.23
61.14,A2C3E3,0.46
61.60,E3,0.23
61.83,F3,0.23
62.06,A#2C#3,0.46
62.52,A#2C#3,0.69
63.20,C#3,0.23
63.43,C#3,0.23
63.66,A2B2F#3,0.46
64.12,A2B2F3,0.46
64.58,B2C#3E3,0.46
65.04,B2C#3,0.46
65.49,A2C3,0.46
65.95,E3,0.23
66.18,E3,0.23
66.41,A2C3E3,0.46
66.87,E3,0.23
67.10,F3,0.23
67.33,A#2C#3,0.46
67.78,F3,0.23
68.01,F3,0.23
68.24,A#2C#3E3,0.46
68.70,D#3,0.46
69.16,A2B2C#3E3,0.50
