# 深海少女
# Converted from SkyStudio format
# BPM: 520
# Total chords: 213

Time,Keys,Duration
0.00,E3,0.23
0.23,F3,0.23
0.46,A2C3F#3,0.23
0.69,F3,0.23
0.92,F#3,0.23
1.15,G#3,0.23
1.38,A#2C#3F3,0.46
1.84,D#3,0.23
2.07,D#3,0.23
2.30,A2B2E3,0.46
2.76,D#3,0.23
2.99,D3,0.23
3.22,D#3,0.23
3.45,B2C#3,0.46
3.91,C#3,0.23
4.14,A2C3D3,0.46
4.60,E3,0.46
5.06,A#2C#3F3,0.23
5.29,E3,0.23
5.52,F3,0.23
5.75,F3,0.23
5.98,A#2F3,0.46
6.44,B2F#3,0.92
7.36,E3,0.23
7.59,F3,0.23
7.82,A2C3F#3,0.23
8.05,F3,0.23
8.28,F#3,0.23
8.51,G#3,0.23
8.74,A#2A#3C#3,0.46
9.20,G#3,0.23
9.43,G#3,0.23
9.66,A2A3C3,0.23
9.89,G#3,0.23
10.12,F#3,0.23
10.35,G#3,0.23
10.58,A2C3G#3,0.69
11.27,E3,0.12
11.38,F3,0.12
11.50,A2C3F#3,0.23
11.73,E3,0.46
12.19,E3,0.12
12.30,E3,0.12
12.42,A#2C#3F3,0.23
12.65,D#3,0.23
12.88,C#3,0.23
13.11,D#3,0.23
13.34,C#3D#3,0.46
13.80,C#3D#3,0.23
14.03,D3,0.12
14.14,A2D3,0.46
14.61,E3,0.23
14.84,F3,0.23
15.06,A2C3F#3,0.23
15.29,F3,0.23
15.53,F#3,0.23
15.76,G#3,0.23
15.98,C#3F3,0.46
16.45,C#3D#3,0.46
16.91,B2E3,0.23
17.14,B2E3,0.23
17.36,D#3,0.23
17.59,D3,0.23
17.82,D#3,0.23
18.05,B2C#3,0.46
18.52,C#3,0.23
18.75,A2C3D3,0.46
19.20,E3,0.23
19.43,E3,0.23
19.66,C#3F3,0.23
19.89,E3,0.23
20.12,F3,0.23
20.36,F3,0.23
20.59,A#2C#3F3,0.23
20.82,E3,0.23
21.05,F3,0.23
21.27,G#3,0.23
21.50,A2C3F#3,0.46
21.96,E3,0.23
22.20,F3,0.23
22.43,A2C3F#3,0.23
22.66,F3,0.23
22.89,F#3,0.23
23.11,G#3,0.23
23.34,A#2A#3C#3,0.46
23.80,C4,0.23
24.04,A#3,0.23
24.27,A2A3C3,0.23
24.50,G#3,0.23
24.73,F#3,0.23
24.95,G#3,0.23
25.18,A2B2G#3,0.69
25.88,E3,0.12
25.99,F3,0.12
26.11,A2B2F#3,0.23
26.34,F3,0.23
26.57,E3,0.23
26.80,D#3,0.23
27.02,A#2C#3F3,0.23
27.25,D#3,0.23
27.48,C#3,0.23
27.71,D#3,0.23
27.95,C#3D#3,0.46
28.41,D#3,0.23
28.64,D3,0.12
28.75,A2D3,0.81
29.55,E3,0.23
29.79,A2B2G#3,0.23
30.02,G#3,0.12
30.13,G#3,0.34
30.48,G#3,0.23
30.70,A2B2G#3,0.23
30.93,G3,0.23
31.16,F#3,0.23
31.39,F3,0.23
31.62,B2F3,0.46
32.09,B2E3,0.23
32.31,D#3,0.12
32.43,B2E3,0.69
33.12,C#3,0.23
33.35,A#2C#3F3,0.23
33.58,E3,0.23
33.81,F3,0.23
34.04,E3,0.23
34.27,A#2C#3F3,0.46
34.73,F3,0.23
34.96,E3,0.23
35.19,A2B2F3,0.23
35.42,G#3,0.23
35.65,F#3,0.23
35.88,F3,0.12
35.99,C#3F#3,0.69
36.69,E3,0.23
36.91,A2B2G#3,0.23
37.15,G#3,0.12
37.26,G#3,0.23
37.49,G#3,0.23
37.72,A2B2C4,0.23
37.95,A#3,0.23
38.18,A3,0.23
38.41,G#3,0.23
38.64,A2A3C3,0.23
38.87,G#3,0.23
39.10,F#3,0.23
39.33,F3,0.12
39.45,C#3F#3,0.69
40.13,E3,0.23
40.37,A#2F3,0.46
40.83,E3,0.23
41.05,A#2F3,0.46
41.52,E3,0.23
41.74,G#3,0.23
41.98,C#3F#3,1.26
43.24,F#3,0.23
43.47,G#3,0.23
43.70,A#3C#3D#3,0.23
43.93,C4,0.23
44.16,A#3,0.23
44.39,G#3,0.23
44.62,A2C3F#3,0.46
45.08,F3,0.23
45.31,E3,0.23
45.54,A2B2F3,0.23
45.77,E3,0.23
46.00,F3,0.23
46.23,G#3,0.23
46.46,C#3F#3,0.46
46.92,F3,0.23
47.15,E3,0.23
47.38,A2C3E3,0.46
47.84,D3,0.23
48.07,E3,0.23
48.30,A2C3G3,0.23
48.53,F#3,0.23
48.76,F3,0.23
48.99,E3,0.23
49.22,A2B2F3,0.23
49.45,E3,0.23
49.68,F3,0.23
49.91,G#3,0.23
50.14,A2C3F#3,0.46
50.60,F#3,0.23
50.83,G#3,0.23
51.06,A#3C#3D#3,0.23
51.29,C4,0.23
51.52,A#3,0.23
51.75,G#3,0.23
51.98,A2C3F#3,0.46
52.44,F3,0.23
52.67,E3,0.23
52.90,A2B2F3,0.23
53.13,E3,0.23
53.36,F3,0.23
53.59,G#3,0.23
53.82,A2C3F#3,0.46
54.28,F3,0.23
54.51,E3,0.23
54.74,C3E3,0.46
55.20,A3D3,0.46
55.66,C#3G#3,0.46
56.12,F#3,0.23
56.35,G#3,0.23
56.58,A#3C#3D#3,0.23
56.81,A#3,0.23
57.04,A#3,0.23
57.27,C4,0.23
57.50,C4F3,0.23
57.73,A#3,0.23
57.96,G#3,0.23
58.19,A#3,0.23
58.42,A#3,1.26
59.69,A3,0.23
59.91,A3,0.50
