# 溯reverse
# Converted from SkyStudio format
# BPM: 240
# Total chords: 461

Time,Keys,Duration
0.00,hkoy,0.50
0.50,m,0.50
1.00,;,0.25
1.25,l,0.50
1.75,k,0.25
2.00,pu,0.25
2.25,k,0.25
2.50,m,0.50
3.00,;,1.00
4.00,hik,0.50
4.50,m,0.50
5.00,;,0.25
5.25,l,0.50
5.75,j,0.25
6.00,ip,0.25
6.25,j,0.25
6.50,m,0.50
7.00,;,1.00
8.00,y,0.25
8.25,o,0.25
8.50,k,0.25
8.75,j,0.25
9.00,ko,0.25
9.25,h,0.25
9.50,k,0.25
9.75,j,0.25
10.00,kpu,0.25
10.25,l,0.50
10.75,l,0.25
11.00,u,0.25
11.25,p,0.25
11.50,j,0.25
11.75,l,0.25
12.00,hil,0.25
12.25,;,0.50
12.75,;,0.25
13.00,i,0.25
13.25,h,0.25
13.50,k,0.25
13.75,;,0.25
14.00,;ip,0.50
14.50,j,0.25
14.75,j,0.50
15.25,i,0.25
15.50,p,0.50
16.00,hkoy,0.25
16.25,y,0.25
16.50,ko,0.25
16.75,j,0.25
17.00,ko,0.25
17.25,h,0.25
17.50,ko,0.25
17.75,j,0.25
18.00,kpu,0.25
18.25,l,0.50
18.75,l,0.25
19.00,u,0.25
19.25,p,0.25
19.50,j,0.25
19.75,l,0.25
20.00,hil,0.25
20.25,;,0.50
20.75,;,0.25
21.00,i,0.25
21.25,h,0.25
21.50,k,0.25
21.75,;,0.25
22.00,ilp,0.25
22.25,;,0.25
22.50,i,0.25
22.75,;,0.25
23.00,p,0.25
23.25,n,0.25
23.50,;,0.25
23.75,j,0.25
24.00,hkoy,0.50
24.50,;y,0.25
24.75,l,0.25
25.00,;o,0.50
25.50,;h,0.25
25.75,l,0.25
26.00,;pu,0.25
26.25,jp,0.25
26.50,/pu,0.25
26.75,.,0.25
27.00,p,0.25
27.25,j,0.25
27.50,l,0.25
27.75,m,0.25
28.00,;hi,0.25
28.25,i,0.25
28.50,h,0.25
28.75,k,0.25
29.00,;,0.25
29.25,i,0.25
29.50,h,0.25
29.75,k,0.25
30.00,ijmp,0.25
30.25,i,0.25
30.50,j,0.25
30.75,j,0.25
31.00,i,0.25
31.25,p,0.25
31.50,j,0.25
31.75,p,0.25
32.00,hkoy,0.25
32.25,y,0.25
32.50,o,0.25
32.75,h,0.25
33.00,k,0.25
33.25,h,0.25
33.50,o,0.25
33.75,hkoy,0.25
34.00,mpu,0.25
34.25,u,0.25
34.50,n,0.25
34.75,;,0.25
35.00,u,0.25
35.25,p,0.25
35.50,j,0.25
35.75,l,0.25
36.00,;hi,0.25
36.25,i,0.25
36.50,h,0.25
36.75,k,0.50
37.25,k,0.25
37.50,l,0.25
37.75,;,0.25
38.00,ijp,0.25
38.25,/,0.25
38.50,.i,0.25
38.75,/,0.25
39.00,.p,0.25
39.25,m,0.25
39.50,j,0.25
39.75,;,0.25
40.00,hkoy,0.50
40.50,m,0.50
41.00,;,0.25
41.25,l,0.25
41.50,oy,0.25
41.75,k,0.25
42.00,pu,0.25
42.25,k,0.25
42.50,m,0.50
43.00,;,0.50
43.50,pu,0.50
44.00,hik,0.50
44.50,m,0.50
45.00,;,0.25
45.25,l,0.25
45.50,hi,0.25
45.75,j,0.25
46.00,ip,0.25
46.25,/,0.25
46.50,.,0.25
46.75,/,0.25
47.00,.,0.25
47.25,m,0.25
47.50,ip,0.25
47.75,;,0.25
48.00,hkoy,0.50
48.50,m,0.50
49.00,;,0.25
49.25,l,0.25
49.50,oy,0.25
49.75,k,0.25
50.00,pu,0.25
50.25,k,0.25
50.50,m,0.50
51.00,;,0.50
51.50,pu,0.50
52.00,hik,0.50
52.50,m,0.50
53.00,;,0.25
53.25,l,0.25
53.50,hi,0.25
53.75,j,0.25
54.00,ip,0.25
54.25,/,0.25
54.50,.,0.25
54.75,/,0.25
55.00,.,0.25
55.25,m,0.50
55.75,;,0.25
56.00,hkoy,0.50
56.50,hkoy,0.50
57.00,o,0.25
57.25,h,0.25
57.50,k,0.25
57.75,;,0.25
58.00,jpu,0.25
58.25,l,0.25
58.50,u,0.25
58.75,k,0.25
59.00,p,0.25
59.25,j,0.25
59.50,u,0.25
59.75,p,0.25
60.00,hik,0.50
60.50,hik,0.50
61.00,i,0.25
61.25,h,0.25
61.50,k,0.25
61.75,;,0.25
62.00,ijp,0.25
62.25,l,0.25
62.50,i,0.25
62.75,k,0.25
63.00,p,0.25
63.25,j,0.25
63.50,i,0.25
63.75,p,0.25
64.00,hoy,0.50
64.50,hoy,0.50
65.00,y,0.25
65.25,o,0.50
65.75,k,0.25
66.00,jpu,0.50
66.50,pu,0.50
67.00,u,0.25
67.25,p,0.25
67.50,j,0.25
67.75,p,0.25
68.00,hik,0.50
68.50,m,0.50
69.00,;,0.25
69.25,l,0.25
69.50,hi,0.25
69.75,j,0.25
70.00,ip,0.25
70.25,j,0.25
70.50,m,0.50
71.00,;,0.50
71.50,ijp,0.50
72.00,hkoy,0.50
72.50,hkoy,0.50
73.00,o,0.25
73.25,h,0.25
73.50,k,0.25
73.75,;,0.25
74.00,jpu,0.25
74.25,l,0.25
74.50,u,0.25
74.75,k,0.25
75.00,p,0.25
75.25,j,0.25
75.50,u,0.25
75.75,p,0.25
76.00,hik,0.50
76.50,hik,0.50
77.00,i,0.25
77.25,h,0.25
77.50,k,0.25
77.75,;,0.25
78.00,ijp,0.25
78.25,l,0.25
78.50,i,0.25
78.75,k,0.25
79.00,p,0.25
79.25,j,0.25
79.50,i,0.25
79.75,p,0.25
80.00,hoy,0.50
80.50,hoy,0.50
81.00,y,0.25
81.25,o,0.50
81.75,k,0.25
82.00,jpu,0.50
82.50,pu,0.50
83.00,u,0.25
83.25,p,0.25
83.50,j,0.25
83.75,p,0.25
84.00,hik,0.50
84.50,m,0.50
85.00,;,0.25
85.25,l,0.25
85.50,hi,0.25
85.75,j,0.25
