# 演员
# Converted from SkyStudio format
# BPM: 240
# Total chords: 132

Time,Keys,Duration
0.00,G#3,0.25
0.25,G#3,0.25
0.50,G#3,0.25
0.75,G3,0.25
1.00,F#3,0.25
1.25,G3,0.25
1.50,D3G#3,0.25
1.75,C3,0.25
2.00,D3,0.25
2.25,A2C3D3,0.25
2.50,D3,0.25
2.75,C3D3,0.25
3.00,A2,0.25
3.25,D#3,0.25
3.50,C3,0.25
3.75,A2,0.25
4.00,E3,0.25
4.25,A#2C#3D#3,0.50
4.75,A#2C#3,0.25
5.00,G#3,0.25
5.25,G#3,0.25
5.50,C#3G#3,0.25
5.75,A#2G3,0.25
6.00,A#2C#3F#3,0.25
6.25,G3,0.25
6.50,B2C#3G#3,0.25
6.75,D#3,0.25
7.00,D#3,0.25
7.25,B2C#3,0.25
7.50,D#3,0.25
7.75,B2C#3D#3,0.25
8.00,C#3,0.50
8.50,B2,0.25
8.75,F3,0.50
9.25,B2D3E3,0.75
10.00,B2D3,0.50
10.50,G3,0.25
10.75,G3,0.25
11.00,D3G3,0.25
11.25,B2,0.25
11.50,F#3,0.25
11.75,D3G3,0.25
12.00,B2,0.25
12.25,F#3,0.25
12.50,A2C3G3,0.25
12.75,D3,0.25
13.00,C3D3,0.25
13.25,A2,0.25
13.50,D3,0.50
14.00,A2C3D3,0.25
14.25,D#3,0.25
14.50,A2C3,0.25
14.75,E3,0.25
15.00,A#2C#3D#3,0.75
15.75,A#2C#3,0.25
16.00,D#3,0.25
16.25,D#3,0.25
16.50,E3,0.25
16.75,F3,0.25
17.00,A2C#3F3,0.25
17.25,E3,0.25
17.50,C#3F3,0.25
17.75,A2,0.25
18.00,E3,0.25
18.25,A2C#3F3,0.25
18.50,E3,0.25
18.75,A2C#3F3,0.25
19.00,G3,0.25
19.25,A2C#3,0.25
19.50,G3,0.25
19.75,A2C#3,0.25
20.00,F#3,0.25
20.25,A2C#3,0.75
21.00,G#3,0.25
21.25,G#3,0.25
21.50,A2C#3G#3,0.25
21.75,G3,0.25
22.00,A2C#3F#3,0.25
22.25,G3,0.25
22.50,D3G#3,0.25
22.75,C3,0.25
23.00,D3,0.25
23.25,D3,0.25
23.50,A2C3,0.25
23.75,D3,0.25
24.00,A2C3D3,0.25
24.25,D#3,0.25
24.50,A2C3,0.25
24.75,E3,0.25
25.00,A#2C#3D#3,0.50
25.50,C#3,0.25
25.75,A#2,0.25
26.00,G#3,0.25
26.25,G#3,0.25
26.50,A#2C#3G#3,0.25
26.75,G3,0.25
27.00,A#2C#3F#3,0.25
27.25,G3,0.25
27.50,B2C#3G#3,0.25
27.75,D#3,0.25
28.00,B2C#3D#3,0.25
28.25,D#3,0.25
28.50,D#3,0.25
28.75,B2C#3,0.25
29.00,B2C#3,0.25
29.25,F3,0.25
29.50,B2D3,0.25
29.75,E3,0.50
30.25,B2D3,0.50
30.75,G3,0.25
31.00,G3,0.25
31.25,D3G3,0.25
31.50,B2,0.25
31.75,F#3,0.25
32.00,D3G3,0.25
32.25,B2,0.25
32.50,F#3,0.25
32.75,A2C3G3,0.25
33.00,D3,0.25
33.25,A2C3D3,0.25
33.50,D3,0.25
33.75,C3D3,0.25
34.00,A2,0.25
34.25,D#3,0.25
34.50,A2C3,0.25
34.75,E3,0.25
35.00,A#2C#3D#3,0.75
35.75,A#2C#3,0.50
36.25,D#3,0.75
37.00,C#3,0.50
37.50,F3,0.50
38.00,C#3E3,0.50
