# 烟花易冷
# Converted from SkyStudio format
# BPM: 277
# Total chords: 652

Time,Keys,Duration
0.86,B2,0.43
1.30,B2,0.43
1.73,C#3,0.43
2.16,A2C3D3,0.43
2.59,C#3,0.22
2.81,D3,0.22
3.02,A2C3,0.43
3.46,E3,0.43
3.89,A#2C#3D#3,0.43
4.32,D3,0.22
4.54,C#3,0.22
4.75,A#2C#3,0.43
5.18,D3,0.43
5.62,A2B2,0.86
6.48,A2B2,0.86
7.34,A2B2,0.43
7.78,B2,0.43
8.21,A2B2,0.43
8.64,C#3,0.43
9.07,A2C3D3,0.43
9.50,C#3,0.22
9.72,D3,0.22
9.94,A2C3,0.43
10.37,E3,0.43
10.80,A#2C#3D#3,0.43
11.23,D3,0.22
11.45,C#3,0.22
11.66,A#2C#3,0.43
12.10,B2,0.43
12.53,A#2,0.86
13.39,A#2C#3,0.86
14.26,A#2C#3,0.43
14.69,D3,0.43
15.12,A#2C#3F3,0.43
15.55,D3,0.43
15.98,A2C3F3,0.86
16.85,A2C3,0.86
17.71,A2C3,0.43
18.14,D3,0.43
18.58,A2C3F3,0.43
19.01,D3,0.43
19.44,B2C#3D#3,0.65
20.09,B2,0.22
20.30,A2B2,0.86
21.17,A2B2,0.43
21.60,B2,0.43
22.03,A2B2,0.43
22.46,A#2,0.43
22.90,A#2C#3,0.86
23.76,A#2C#3,0.43
24.19,C#3,0.43
24.62,B2C#3,0.43
25.06,D3,0.43
25.49,B2C#3D#3,0.43
25.92,E3,0.43
26.35,B2D#3D3,0.22
26.57,D3,0.22
26.78,D#3,0.43
27.22,B2D#3,0.43
27.65,B2D#3,0.43
28.08,B2D#3,0.43
28.51,B2,0.43
28.94,B2,0.43
29.38,C#3,0.43
29.81,A2D3,0.43
30.24,C#3C3,0.22
30.46,D3,0.22
30.67,A2C3,0.43
31.10,C3E3,0.43
31.54,A#2D#3,0.43
31.97,C#3D3,0.22
32.18,C#3,0.22
32.40,A#2C#3,0.43
32.83,C#3D3,0.43
33.26,A2B2,0.43
33.70,B2,0.43
34.13,A2B2,0.43
34.56,B2,0.43
34.99,A2,0.43
35.42,B2,0.43
35.86,A2B2,0.43
36.29,B2C#3,0.43
36.72,A2D3,0.43
37.15,C#3C3,0.22
37.37,D3,0.22
37.58,A2C3,0.43
38.02,C3E3,0.43
38.45,A#2D#3,0.43
38.88,C#3D3,0.22
39.10,D3,0.22
39.31,A#2C#3,0.43
39.74,C#3,0.43
40.18,B2F#3,0.43
40.61,C#3,0.43
41.04,C#3E3,0.43
41.47,C#3,0.43
41.90,A#2C#3,0.43
42.34,D3,0.43
42.77,A#2C#3F3,0.43
43.20,D3,0.43
43.63,A2F3,0.43
44.06,C3,0.43
44.50,A2C3,0.43
44.93,C3,0.43
45.36,A2,0.43
45.79,C3D3,0.43
46.22,A2C3F3,0.43
46.66,C3D3,0.43
47.09,B2C#3D#3,0.65
47.74,B2,0.22
47.95,A2,0.43
48.38,B2,0.43
48.82,A2B2,0.43
49.25,B2,0.43
49.68,A2B2,0.43
50.11,F3,0.43
50.54,A#2D#3,0.43
50.98,B2C#3,0.43
51.41,A#2C#3D3,0.43
51.84,C#3F3,0.43
52.27,B2D#3,0.43
52.70,B2C#3,0.43
53.14,B2C#3D3,0.43
53.57,C#3,0.43
54.00,A2D3,0.43
54.43,B2,0.43
54.86,B2D3,0.43
55.30,B2,0.43
55.73,A2,0.43
56.16,B2E3F#3G#3,0.43
56.59,B2D3E3F#3G#3,0.43
57.02,B2E3F#3,0.43
57.46,A#2D#3F3,0.43
57.89,C3,0.43
58.32,C3D3,0.43
58.75,C3D#3F3,0.43
59.18,A#2D#3F3,0.43
59.62,C#3E3F#3,0.22
59.83,E3,0.22
60.05,C#3D#3,0.43
60.48,C#3D#3F3,0.43
60.91,B2E3F#3,0.43
61.34,C#3,0.43
61.78,C#3E3,0.43
62.21,C#3,0.43
62.64,A2,0.43
63.07,B2E3F#3G#3,0.43
63.50,B2D3E3F#3G#3,0.43
63.94,B2E3F#3,0.43
64.37,A#2D#3F3,0.43
64.80,C3,0.43
65.23,C3D3,0.43
65.66,C3D#3F3,0.43
66.10,A#2D#3F3,0.43
66.53,C#3,0.43
66.96,C#3D#3F#3,0.43
67.39,C#3E3G3,0.43
67.82,B2E3F#3,0.22
68.04,F3,0.22
68.26,C#3E3F#3,0.43
68.69,C#3E3,0.43
69.12,C#3,0.43
69.55,A2,0.43
69.98,B2,0.43
70.42,B2D3E3F#3,0.43
70.85,B2E3F#3,0.43
71.28,A#2A#3F3,0.43
71.71,C3,0.43
72.14,C3D3,0.43
72.58,C3E3F#3,0.43
73.01,A#2D#3F3,0.43
73.44,C#3,0.43
73.87,C#3D#3E3,0.43
74.30,C#3D#3,0.43
74.74,B2E3,0.43
75.17,C#3F3,0.43
75.60,C#3E3F#3,0.43
76.03,A3C#3E3,0.43
76.46,A2A3E3,0.43
76.90,B2,0.43
77.33,B2D3,0.43
77.76,B2E3,0.43
78.19,A#2D#3F3,0.43
78.62,C3E3F#3,0.43
79.06,C3D3,0.43
79.49,C3E3,0.43
79.92,A#2D#3,0.43
80.35,C#3,0.43
80.78,A#2C#3,0.43
81.22,C#3,0.43
81.65,A2D3,0.43
82.08,B2,0.43
82.51,B2D3,0.43
82.94,B2,0.43
83.38,A2,0.43
83.81,B2E3F#3G#3,0.43
84.24,B2D3E3F#3G#3,0.43
84.67,B2E3F#3,0.43
