# 烟袋斜街
# Converted from SkyStudio format
# BPM: 240
# Total chords: 120

Time,Keys,Duration
0.00,C4,0.25
0.25,A#3,0.25
0.50,A3,0.25
0.75,G#3,0.25
1.00,F#3,0.50
1.50,G#3,0.50
2.00,C3E3G#3,0.50
2.50,F#3,0.75
3.25,F3,0.50
3.75,C#3D#3F3,0.50
4.25,F#3,0.75
5.00,G#3,0.50
5.50,A2C#3G#3,0.50
6.00,F#3,0.75
6.75,C4,0.25
7.00,A#3,0.25
7.25,A3,0.25
7.50,G#3,0.25
7.75,F#3,0.50
8.25,G#3,0.50
8.75,C3E3G#3,0.50
9.25,F#3,0.75
10.00,F3,0.50
10.50,C#3D#3F3,0.50
11.00,F#3,0.75
11.75,G#3,0.50
12.25,A2C#3G#3,0.50
12.75,F#3,0.75
13.50,D3,0.25
13.75,D#3,0.25
14.00,E3,0.25
14.25,F3,0.25
14.50,E3,0.25
14.75,F3,0.25
15.00,F#3,0.25
15.25,G#3,0.50
15.75,C3E3G#3,0.50
16.25,A3,0.75
17.00,A3,0.50
17.50,A3C#3F3,0.50
18.00,A#3,0.75
18.75,A#3,0.50
19.25,A#3D3F#3,0.50
19.75,C4,0.75
20.50,C4,0.25
20.75,A#3,0.25
21.00,A3,0.25
21.25,G#3,0.25
21.50,A3,0.25
21.75,G#3,0.25
22.00,F#3,0.25
22.25,F3,0.50
22.75,C3D3F3,0.50
23.25,F#3,0.75
24.00,F3,0.50
24.50,C#3D#3F3,0.50
25.00,E3,0.75
25.75,D#3,0.50
26.25,B2D#3D3,0.50
26.75,E3,0.75
27.50,C4,0.25
27.75,A#3,0.25
28.00,A3,0.25
28.25,G#3,0.25
28.50,F#3,0.50
29.00,G#3,0.50
29.50,C3E3G#3,0.50
30.00,F#3,0.75
30.75,F3,0.50
31.25,C#3D#3F3,0.50
31.75,F#3,0.75
32.50,G#3,0.50
33.00,A2C#3G#3,0.50
33.50,F#3,0.75
34.25,C4,0.25
34.50,A#3,0.25
34.75,A3,0.25
35.00,G#3,0.25
35.25,F#3,0.50
35.75,G#3,0.50
36.25,C3E3G#3,0.50
36.75,F#3,0.75
37.50,F3,0.50
38.00,C#3D#3F3,0.50
38.50,F#3,0.75
39.25,G#3,0.50
39.75,A2C#3G#3,0.50
40.25,F#3,0.75
41.00,D3,0.25
41.25,D#3,0.25
41.50,E3,0.25
41.75,F3,0.25
42.00,E3,0.25
42.25,F3,0.25
42.50,F#3,0.25
42.75,G#3,0.50
43.25,C3E3G#3,0.50
43.75,A3,0.75
44.50,A3,0.50
45.00,A3C#3F3,0.50
45.50,A#3,0.75
46.25,A#3,0.50
46.75,A#3D3F#3,0.50
47.25,C4,0.75
48.00,C4,0.25
48.25,A#3,0.25
48.50,A3,0.25
48.75,G#3,0.25
49.00,A3,0.25
49.25,G#3,0.25
49.50,F#3,0.25
49.75,F3,0.50
50.25,C3D3F3,0.50
50.75,F#3,0.75
51.50,F3,0.50
52.00,C#3D#3F3,0.50
52.50,E3,0.75
53.25,D#3,0.50
53.75,B2D#3D3,0.50
54.25,E3,0.50
