# 烟雨行舟
# Converted from SkyStudio format
# BPM: 720
# Total chords: 367

Time,Keys,Duration
0.00,C#3,1.33
1.33,D3,0.66
1.99,E3,0.66
2.66,F3,0.50
3.15,F#3,0.50
3.65,E3,0.33
3.98,F3,0.33
4.32,F#3,0.33
4.65,G#3,0.33
4.98,F3,0.25
5.23,F#3,0.25
5.48,G#3,0.25
5.73,A3,0.25
5.98,F#3,0.17
6.14,G#3,0.17
6.31,A3,0.17
6.47,C4,0.17
6.64,C#3,0.17
6.81,D3,0.17
6.97,E3,0.17
7.14,F3,0.17
7.30,D3,0.17
7.47,E3,0.17
7.64,F3,0.33
7.97,F#3,0.66
8.63,A3,1.00
9.63,G#3,0.08
9.71,A3,0.08
9.79,G#3,2.16
11.95,A3,1.33
13.28,G#3,0.66
13.94,F#3,0.58
14.53,F3,0.50
15.02,G#3,0.41
15.44,F#3,0.41
15.85,F3,0.41
16.27,E3,0.33
16.60,F#3,0.33
16.93,F3,0.33
17.26,E3,0.33
17.60,D3,0.33
17.93,F3,0.17
18.09,E3,0.17
18.26,D3,0.17
18.43,C#3,0.17
18.59,F3,0.17
18.76,E3,0.17
18.92,D3,0.17
19.09,C#3,0.17
19.26,F3,0.17
19.42,E3,0.17
19.59,D3,0.17
19.75,C#3,0.17
19.92,F3,0.17
20.09,E3,0.33
20.42,D3,0.41
20.83,C#3,0.41
21.25,D3,0.66
21.91,E3,0.66
22.58,C#3,2.66
25.23,G#3,2.66
27.89,A2,0.33
28.22,C#3,0.33
28.55,E3,0.33
28.88,G#3,0.17
29.05,A3,0.17
29.22,C4,0.66
29.88,A3,0.66
30.54,A2,0.33
30.88,C#3,0.33
31.21,E3,0.33
31.54,G#3,0.17
31.71,A3,0.17
31.87,C4,0.66
32.54,A3,0.66
33.20,C#3,0.33
33.53,F3,0.33
33.86,G#3,0.33
34.20,C#3,0.17
34.36,D3,0.17
34.53,E3,0.33
34.86,F3,0.33
35.19,F#3,0.33
35.52,A3,0.25
35.77,G#3,0.08
35.86,A3,0.08
35.94,G#3,1.25
37.18,G#3,0.33
37.52,F#3,0.33
37.85,F3,0.33
38.18,E3,0.33
38.51,C3F3,0.33
38.84,A2,0.33
39.18,C3,0.33
39.51,C#3,0.17
39.67,D3,0.17
39.84,E3G#3,0.33
40.17,F#3,0.33
40.50,D3F3,0.33
40.84,E3,0.33
41.17,C#3F3,0.33
41.50,A#2,0.33
41.83,C#3,0.33
42.16,C#3,0.17
42.33,D3,0.17
42.50,F3G#3,0.33
42.83,F#3,0.33
43.16,D#3F3,0.33
43.49,E3,0.33
43.82,B2F3,0.33
44.16,E3,0.33
44.49,B2,0.33
44.82,C#3,0.33
45.15,D#3F3,0.33
