# 热爱105℃的你(暴躁)
# Converted from SkyStudio format
# BPM: 240
# Total chords: 733

Time,Keys,Duration
0.00,;,0.25
0.25,;,0.25
0.50,n,0.25
0.75,;,0.25
1.00,l,0.25
1.25,;,0.25
1.50,ho,0.25
1.75,y,0.25
2.00,lo,0.25
2.25,kp,0.25
2.50,h,0.50
3.00,k,0.50
3.50,lp,0.25
3.75,j,0.25
4.00,lu,0.25
4.25,;p,0.25
4.50,;j,0.25
4.75,l,0.25
5.00,k,0.25
5.25,k,0.25
5.50,;i,0.25
5.75,j,0.25
6.00,ik,0.25
6.25,hj,0.25
6.50,hi,0.25
6.75,k,0.25
7.00,h,0.25
7.25,i,0.25
7.50,;h,0.25
7.75,;i,0.25
8.00,hn,0.25
8.25,;,0.25
8.50,l,0.25
8.75,k,0.25
9.00,;o,0.25
9.25,ly,0.25
9.50,o,0.25
9.75,;p,0.25
10.00,,h,0.25
10.25,h,0.25
10.50,k,0.25
10.75,kp,0.25
11.00,j,0.25
11.25,ju,0.25
11.50,jp,0.25
11.75,;j,0.50
12.25,l,0.50
12.75,ky,0.25
13.00,p,0.25
13.25,y,0.25
13.50,u,0.25
13.75,i,0.50
14.25,py,0.25
14.50,y,0.25
14.75,u,0.25
15.00,i,0.25
15.25,u,0.25
15.50,y,0.25
15.75,mp,0.25
16.00,mo,0.25
16.25,y,0.25
16.50,;o,0.25
16.75,lp,0.25
17.00,hk,0.25
17.25,l,0.25
17.50,;,0.25
17.75,k,0.25
18.00,lp,0.25
18.25,j,0.25
18.50,u,0.25
18.75,p,0.25
19.00,hj,0.25
19.25,p,0.25
19.50,o,0.25
19.75,p,0.25
20.00,;i,0.25
20.25,j,0.25
20.50,;i,0.25
20.75,jl,0.25
21.00,;i,0.25
21.25,p,0.25
21.50,p,0.25
21.75,h,0.25
22.00,hp,0.25
22.25,i,0.25
22.50,h,0.25
22.75,i,0.25
23.00,h,0.50
23.50,p,0.50
24.00,mo,0.25
24.25,y,0.25
24.50,lo,0.25
24.75,lp,0.25
25.00,hk,0.25
25.25,l,0.25
25.50,;,0.25
25.75,k,0.25
26.00,lp,0.25
26.25,j,0.25
26.50,u,0.25
26.75,p,0.25
27.00,hj,0.25
27.25,p,0.25
27.50,o,0.25
27.75,p,0.25
28.00,;y,0.25
28.25,p,0.25
28.50,;y,0.25
28.75,;u,0.25
29.00,;i,0.50
29.50,/,0.25
29.75,.y,0.25
30.00,p,0.25
30.25,my,0.25
30.50,u,0.25
30.75,hi,0.25
31.00,u,0.25
31.25,jy,0.25
31.50,p,0.25
31.75,ko,0.25
32.00,y,0.25
