# 爱人错过
# Converted from SkyStudio format
# BPM: 270
# Total chords: 436

Time,Keys,Duration
0.89,;ik,0.44
1.33,;ik,0.44
1.78,;ik,0.44
2.22,;ik,0.22
2.44,;ik,0.67
3.11,;ik,0.22
3.33,;ik,0.44
3.77,;ik,0.67
4.44,jlu,0.44
4.88,jlu,0.44
5.33,jlu,0.44
5.77,jlu,0.22
5.99,jlu,0.67
6.66,jlu,0.22
6.88,jlu,0.44
7.33,jlu,0.67
7.99,ijp,0.44
8.44,ijp,0.44
8.88,ijp,0.44
9.32,ijp,0.22
9.55,ijp,0.67
10.21,ijp,0.22
10.43,ijp,0.44
10.88,ijp,0.67
11.54,hik,0.44
11.99,hik,0.44
12.43,hik,0.44
12.88,hik,0.22
13.10,hik,0.67
13.76,hik,0.22
13.99,hik,0.44
14.43,hik,0.89
15.32,;hi,0.44
15.76,hi,0.22
15.98,k,0.44
16.43,hi,0.22
16.65,hi,0.22
16.87,i,0.22
17.09,iy,0.44
17.54,;iy,0.22
17.76,l,0.44
18.20,;iy,0.22
18.43,iy,0.44
18.87,mpu,0.44
19.31,jpu,0.44
19.76,j,0.22
19.98,pu,0.22
20.20,kpu,0.22
20.42,j,0.22
20.65,jp,0.44
21.09,jp,0.67
21.76,jp,0.22
21.98,i,0.22
22.20,i,0.22
22.42,jpu,0.44
22.87,kpu,0.22
23.09,j,0.44
23.53,pu,0.22
23.75,pu,0.44
24.20,ip,0.44
24.64,ip,0.67
25.31,i,0.22
25.53,i,0.44
25.97,hik,0.44
26.42,hi,0.67
27.08,iy,0.22
27.31,ijy,0.22
27.53,h,0.22
27.75,iy,0.44
28.19,iy,0.67
28.86,iy,0.22
29.08,iy,0.44
29.53,;hik,0.44
29.97,hi,0.22
30.19,ik,0.44
30.64,hi,0.22
30.86,hi,0.22
31.08,i,0.22
31.30,iy,0.44
31.75,;iky,0.22
31.97,kl,0.44
32.41,;iky,0.22
32.63,iy,0.44
33.08,kmpu,0.44
33.52,jpu,0.44
33.97,j,0.22
34.19,pu,0.22
34.41,kpu,0.22
34.63,j,0.22
34.85,jp,0.44
35.30,jp,0.67
35.96,jp,0.22
36.19,iy,0.22
36.41,iy,0.22
36.63,jpu,0.44
37.07,kpu,0.22
37.30,jp,0.44
37.74,pu,0.22
37.96,pu,0.44
38.41,ip,0.44
38.85,ip,0.67
39.52,iy,0.22
39.74,iy,0.44
40.18,hik,0.44
40.63,hi,0.67
41.29,iy,0.22
41.51,ijpy,0.22
41.74,hi,0.22
41.96,iy,0.44
42.40,iy,0.67
43.07,iy,0.22
43.29,iy,0.44
43.73,;h,0.22
43.96,h,0.44
44.40,i,0.22
44.62,k,0.22
44.84,hl,0.22
45.07,hi,0.44
45.51,il,0.22
45.73,;,0.44
46.18,;y,0.44
46.62,i,0.22
46.84,iy,0.44
47.29,;p,0.22
47.51,p,0.44
47.95,u,0.22
48.17,k,0.22
48.40,lp,0.22
48.62,pu,0.44
49.06,jl,0.22
49.28,;,0.44
49.73,;p,0.44
50.17,j,0.22
50.39,jp,0.44
50.84,;p,0.22
51.06,p,0.44
51.50,u,0.22
51.73,k,0.22
51.95,lp,0.22
52.17,pu,0.44
52.61,lp,0.22
52.84,;,0.44
53.28,;i,0.44
53.72,p,0.22
53.95,ilp,0.22
54.17,;,0.22
54.39,hl,0.22
54.61,k,0.44
55.06,hi,0.44
55.50,h,0.22
55.72,hil,0.22
55.94,;,0.22
56.17,ily,0.22
56.39,k,0.22
56.61,iy,0.22
56.83,hiy,0.44
57.28,iy,0.22
57.50,iy,0.44
57.94,;hik,0.44
58.39,hi,0.44
58.83,hk,0.22
59.05,hi,0.22
59.27,hil,0.44
59.72,hily,0.22
59.94,;k,0.22
60.16,iy,0.22
60.38,;k,0.44
60.83,iy,0.22
61.05,iy,0.44
61.49,;jpu,0.44
61.94,pu,0.44
62.38,kp,0.22
62.60,pu,0.22
62.83,jlpu,0.44
63.27,jlp,0.22
63.49,;k,0.22
63.71,jp,0.22
63.94,;k,0.44
64.38,jp,0.22
64.60,jp,0.44
65.05,;jpu,0.44
65.49,pu,0.44
65.93,kp,0.22
66.16,pu,0.22
66.38,jlpu,0.44
66.82,ijlp,0.22
67.04,;k,0.22
67.27,ip,0.22
67.49,;k,0.44
67.93,ip,0.22
68.15,ijlp,0.22
68.38,;k,0.22
68.60,hil,0.22
68.82,hk,0.22
69.04,hi,0.22
69.26,hi,0.44
69.71,iy,0.22
69.93,ijly,0.22
70.15,;k,0.22
70.37,hily,0.22
70.60,hk,0.22
70.82,iy,0.22
71.04,hi,0.44
71.48,iy,0.22
71.71,iy,0.44
72.15,ipy,0.22
72.37,h,0.22
72.59,iy,0.22
72.82,;iy,0.44
73.26,hiy,0.22
73.48,iy,0.22
73.70,p,0.22
73.93,iy,0.22
74.15,h,0.22
74.37,iy,0.22
74.59,;iy,0.44
75.04,iy,0.22
75.26,iy,0.44
75.70,ip,0.22
75.92,h,0.22
76.15,ip,0.22
76.37,;ip,0.44
76.81,hip,0.22
77.03,ip,0.22
77.26,p,0.22
77.48,ip,0.22
77.70,h,0.22
77.92,ip,0.22
78.14,;ip,0.44
78.59,ip,0.22
78.81,ip,0.44
79.25,pu,0.22
79.48,h,0.22
79.70,pu,0.22
79.92,;pu,0.44
80.36,hpu,0.22
80.59,pu,0.22
80.81,p,0.22
81.03,pu,0.22
81.25,h,0.22
81.47,pu,0.22
81.70,;pu,0.44
82.14,pu,0.22
82.36,pu,0.44
82.81,ipy,0.22
83.03,h,0.22
83.25,ipy,0.22
83.47,;ipy,0.44
