# 猪八戒背媳妇
# Converted from SkyStudio format
# BPM: 440
# Total chords: 249

Time,Keys,Duration
0.00,B2D3,0.54
0.54,D3F#3,0.41
0.95,G#3,0.14
1.09,B2F#3,0.14
1.22,G#3,0.14
1.36,D3,0.27
1.63,D3E3,0.54
2.18,B2D3,0.14
2.31,E3,0.14
2.45,D3,0.14
2.58,E3,0.14
2.72,D3F#3,0.27
2.99,D3F#3,0.27
3.26,B2F#3,0.14
3.40,F3,0.14
3.54,D3E3F#3,0.14
3.67,E3,0.14
3.81,D3,0.27
4.08,B2D3,0.27
4.35,B2F#3,0.41
4.76,G#3,0.14
4.90,A3D3,0.27
5.17,A3D3F#3,0.27
5.44,A3D3,0.14
5.58,C4,0.14
5.71,D3E3F#3,0.27
5.98,G#3,0.27
6.26,B2D#3,0.27
6.53,B2F#3,0.14
6.66,G#3,0.14
6.80,B2D#3F#3,0.14
6.94,G#3,0.14
7.07,A3D3,0.27
7.34,A3D3F#3,0.27
7.62,A3,0.27
7.89,B2D3F#3,0.27
8.16,B2G#3,0.27
8.43,B2D#3,0.27
8.70,B2G#3,0.27
8.98,A2B2D3,0.27
9.25,D3G#3,0.27
9.52,A2D3,0.27
9.79,D3F#3,0.27
10.06,A2B2F#3,0.27
10.34,A2E3,0.27
10.61,B2D3,0.27
10.88,F3,0.27
11.15,A#2D3,0.27
11.42,D3F3,0.27
11.70,A#2D3,0.27
11.97,A#2F3,0.27
12.24,A2D3E3,0.14
12.38,F3,0.14
12.51,C#3F#3,0.27
12.78,A2C#3G#3,0.27
13.06,D3,0.27
13.33,A2D3,0.27
13.60,B2F#3,0.27
13.87,B2D3,0.27
14.14,B2,0.27
14.42,C#3D#3,0.27
14.69,F#3,0.27
14.96,B2D#3,0.27
15.23,B2,0.27
15.50,B2D#3F#3,0.27
15.78,B2,0.27
16.05,A2B2F#3,0.27
16.32,B2D3,0.27
16.59,A2B2F#3,0.27
16.86,C#3,0.27
17.14,B2C#3D#3,0.14
17.27,D3,0.14
17.41,A3D3,0.27
17.68,B2D3,0.14
17.82,B2D3,0.14
17.95,B2F#3,0.27
