# 猪猪侠
# Converted from SkyStudio format
# BPM: 280
# Total chords: 109

Time,Keys,Duration
0.00,A2C#3F#3,0.43
0.43,F#3,0.43
0.86,A2C#3F#3,0.43
1.28,E3,0.43
1.71,A2C#3F#3,0.21
1.93,G3,0.43
2.35,F#3,0.21
2.57,A2C#3,0.21
2.78,F#3,0.21
3.00,G3,0.21
3.21,F#3,0.21
3.42,C3D3F3,0.21
3.64,F3,0.64
4.28,A3C3D3,0.43
4.71,F3,0.21
4.92,F3,0.43
5.35,C3D3,0.86
6.21,A#2D#3G#3,0.43
6.63,G#3,0.43
7.06,A#2D#3G#3,0.43
7.49,F3,0.43
7.92,A#2D#3G#3,0.21
8.13,A3,0.43
8.56,G#3,0.21
8.77,A#2D#3,0.43
9.20,G#3,0.21
9.42,A3,0.21
9.63,G#3,0.21
9.84,A2D3G3,0.21
10.06,G3,0.43
10.49,G3,0.21
10.70,A2D3G#3,0.43
11.13,G3,0.21
11.34,F#3,0.21
11.56,A2B2,0.86
12.41,A2B2,0.86
13.27,A2C#3F#3,0.43
13.70,F#3,0.43
14.12,A2C#3F#3,0.43
14.55,E3,0.43
14.98,A2C#3F#3,0.21
15.19,G3,0.43
15.62,F#3,0.21
15.84,A2C#3,0.43
16.26,F#3,0.21
16.48,G3,0.21
16.69,F#3,0.21
16.91,C3D3F3,0.21
17.12,F3,0.43
17.55,F3,0.21
17.76,A3C3D3,0.43
18.19,F3,0.21
18.40,F3,0.21
18.62,C3D3,0.86
19.47,C3D3,0.86
20.33,A#2D#3G#3,0.43
20.76,G#3,0.43
21.19,A#2D#3G#3,0.43
21.61,F3,0.43
22.04,A#2D#3G#3,0.21
22.26,A3,0.43
22.68,G#3,0.21
22.90,A#2D#3,0.43
23.33,G#3,0.21
23.54,A3,0.21
23.75,G#3,0.21
23.97,A2D3G3,0.21
24.18,G3,0.43
24.61,G3,0.21
24.82,A2D3G#3,0.43
25.25,G3,0.21
25.47,F#3,0.21
25.68,A2B2,0.86
26.54,A2B2,0.86
27.39,A2C#3F#3,0.43
27.82,F#3,0.43
28.25,A2C#3F#3,0.43
28.68,E3,0.43
29.10,A2C#3F#3,0.21
29.32,G3,0.43
29.75,F#3,0.21
29.96,A2C#3,0.43
30.39,F#3,0.21
30.60,G3,0.21
30.82,F#3,0.21
31.03,C3D3F3,0.43
31.46,F3,0.43
31.89,F3,0.21
32.10,A3C3D3,0.43
32.53,F3,0.21
32.74,F3,0.21
32.96,C3D3,0.86
33.81,C3D3,0.86
34.67,A#2D#3G#3,0.43
35.10,G#3,0.43
35.52,A#2D#3G#3,0.43
35.95,F3,0.43
36.38,A#2D#3G#3,0.21
36.59,A3,0.43
37.02,G#3,0.21
37.24,A#2D#3,0.43
37.66,G#3,0.21
37.88,A3,0.21
38.09,A#3,0.21
38.31,A2C3C4,0.21
38.52,C4,0.64
39.16,A#3A2C#3,0.21
39.38,A#3,1.07
40.45,C4,0.50
