# 王者战歌(2)
# Converted from SkyStudio format
# BPM: 720
# Total chords: 222

Time,Keys,Duration
0.00,D3,0.08
0.08,D#3,0.08
0.17,E3,0.08
0.25,F3,0.08
0.33,F#3,0.08
0.41,G3,0.08
0.50,G#3,0.08
0.58,A3,0.08
0.66,A3,0.08
0.75,A3,0.08
0.83,A3,0.08
0.91,A3,0.08
1.00,A3,0.08
1.08,A3,0.08
1.16,A3,0.08
1.25,A3,0.08
1.33,A3,0.08
1.41,A3,0.08
1.49,G#3,0.08
1.58,G#3,0.08
1.66,G#3,0.08
1.74,G#3,0.08
1.83,G#3,0.08
1.91,F#3,0.08
1.99,F#3,0.08
2.08,F#3,0.08
2.16,F#3,0.08
2.24,F#3,0.08
2.32,F#3,0.08
2.41,F#3,0.08
2.49,F#3,0.08
2.57,F#3,0.08
2.66,F#3,0.08
2.74,F#3,0.17
2.90,F3,0.17
3.07,E3,0.17
3.24,F3,0.17
3.40,F#3,0.08
3.49,F#3,0.08
3.57,F#3,0.08
3.65,F#3,0.08
3.73,F#3,0.08
3.82,F#3,0.08
3.90,F#3,0.08
3.98,F#3,0.08
4.07,F#3,0.08
4.15,F#3,0.08
4.23,F#3,0.17
4.40,F3,0.17
4.57,E3,0.17
4.73,D3,0.08
4.81,D3,0.08
4.90,D3,0.08
4.98,D3,0.08
5.06,D3,0.08
5.15,D3,0.08
5.23,D3,0.08
5.31,D3,0.08
5.39,D3,0.08
5.48,D3,0.08
5.56,D3,0.17
5.73,E3,0.17
5.89,F3,0.17
6.06,F#3,0.17
6.22,A3,0.33
6.56,A3,0.17
6.72,G#3,0.17
6.89,F#3,0.17
7.05,F3,0.17
7.22,F#3,0.33
7.55,F#3,0.17
7.72,F3,0.17
7.88,E3,0.17
8.05,F3,0.17
8.22,F#3,0.33
8.55,A3,0.17
8.71,C4,0.17
8.88,A#3,0.17
9.05,G#3,0.17
9.21,A3,0.17
9.38,G#3,0.17
9.54,F#3,0.17
9.71,F3,0.17
9.88,F#3,0.17
10.04,E3,0.17
10.21,A3,0.33
10.54,A3,0.17
10.71,G#3,0.17
10.87,F#3,0.17
11.04,F3,0.17
11.21,F#3,0.33
11.54,F#3,0.17
11.70,F3,0.17
11.87,E3,0.17
12.04,F3,0.17
12.20,F#3,0.08
12.28,F#3,0.08
12.37,F#3,0.08
12.45,F#3,0.08
12.53,F#3,0.33
12.87,F3,0.17
13.03,E3,0.17
13.20,D3,0.08
13.28,D3,0.08
13.36,D3,0.08
13.45,D3,0.08
13.53,D3,0.75
14.28,D3,0.08
14.36,D3,0.08
14.44,D3,0.08
14.53,D3,0.08
14.61,D3,0.08
14.69,D3,0.08
14.77,D3,0.08
14.86,D3,0.08
14.94,D3,0.08
15.02,D3,0.08
15.11,D3,0.33
15.44,F#3,0.08
15.52,F#3,0.08
15.60,F#3,0.08
15.69,F#3,0.08
15.77,F#3,0.08
15.85,F#3,0.08
15.94,F#3,0.08
16.02,F#3,0.08
16.10,F#3,0.08
16.18,F#3,0.08
16.27,F#3,0.33
16.60,F3,0.08
16.68,F3,0.08
16.77,F3,0.08
16.85,F3,0.08
16.93,F3,0.08
17.02,F3,0.08
17.10,F3,0.08
17.18,F3,0.08
17.26,F3,0.08
17.35,F3,0.08
17.43,F3,0.41
17.84,E3,0.08
17.93,E3,0.08
18.01,E3,0.25
18.26,D#3,0.08
18.34,D#3,0.08
18.43,D#3,0.25
18.68,D3,0.08
18.76,D3,0.08
18.84,D3,0.08
18.92,D3,0.08
19.01,D3,0.08
19.09,D3,0.08
19.17,D3,0.08
19.26,D3,0.08
19.34,D3,0.08
19.42,D3,0.08
19.50,D3,0.33
19.84,F#3,0.08
19.92,F#3,0.08
20.00,F#3,0.08
20.09,F#3,0.08
20.17,F#3,0.08
20.25,F#3,0.08
20.34,F#3,0.08
20.42,F#3,0.08
20.50,F#3,0.08
20.58,F#3,0.08
20.67,F#3,0.33
21.00,A3,0.08
21.08,A3,0.08
21.16,A3,0.08
21.25,A3,0.08
21.33,A3,0.08
21.41,A3,0.08
21.50,A3,0.08
21.58,A3,0.08
21.66,A3,0.08
21.75,A3,0.08
21.83,A3,0.41
22.24,A3,0.08
22.33,A3,0.08
22.41,A3,0.25
22.66,A#3,0.08
22.74,A#3,0.08
22.82,A#3,0.25
23.07,C4,0.08
23.16,C4,0.08
23.24,C4,0.08
23.32,C4,0.08
23.41,C4,0.08
23.49,C4,0.08
23.57,C4,0.08
23.66,C4,0.08
23.74,C4,0.08
23.82,C4,0.08
23.90,C4,0.33
24.24,A#3,0.08
24.32,A#3,0.08
24.40,A#3,0.08
24.48,A#3,0.08
24.57,A#3,0.08
24.65,A#3,0.08
24.73,A#3,0.08
24.82,A#3,0.08
24.90,A#3,0.08
24.98,A#3,0.08
25.07,A#3,0.33
25.40,A3,0.08
25.48,A3,0.08
25.56,A3,0.08
25.65,A3,0.08
25.73,A3,0.08
25.81,A3,0.08
25.90,A3,0.08
25.98,A3,0.08
26.06,A3,0.08
26.14,A3,0.08
26.23,A3,0.08
26.31,A3,0.33
26.64,D3E3,0.08
26.73,F#3,0.08
26.81,A3,0.50
