# 病变
# Converted from SkyStudio format
# BPM: 240
# Total chords: 496

Time,Keys,Duration
0.00,G#3,0.25
0.25,G#3,0.25
0.50,G#3,0.25
0.75,A#3D3,0.25
1.00,C4,0.25
1.25,B2C4,0.25
1.50,C4,0.25
1.75,C4D3,0.25
2.00,G#3,0.25
2.25,B2G#3,0.25
2.50,F#3,0.25
2.75,C3G#3,0.25
3.00,A3,0.25
3.25,A2A3,0.25
3.50,C3,0.50
4.00,G#3,0.25
4.25,A2G3,0.25
4.50,F#3,0.25
4.75,A2F#3,0.25
5.00,F#3,0.25
5.25,C#3F#3,0.25
5.50,F#3,0.25
5.75,E3F#3,0.25
6.00,F#3,0.25
6.25,C#3F#3,0.25
6.50,G3,0.25
6.75,C#3F#3,0.25
7.00,F3,0.25
7.25,A#2F3,0.25
7.50,C#3,0.50
8.00,G#3,0.25
8.25,A#2G#3,0.25
8.50,G#3,0.25
8.75,A#3D3,0.25
9.00,C4,0.25
9.25,B2C4,0.25
9.50,C4,0.25
9.75,C4D3,0.25
10.00,G#3,0.25
10.25,B2G#3,0.25
10.50,F#3,0.25
10.75,C3G#3,0.25
11.00,A3,0.25
11.25,A2A3,0.25
11.50,C3,0.50
12.00,G#3,0.25
12.25,G3,0.25
12.50,F#3,0.25
12.75,A2F#3,0.25
13.00,F#3,0.25
13.25,C#3F#3,0.25
13.50,F#3,0.25
13.75,E3F#3,0.25
14.00,F#3,0.25
14.25,C#3F#3,0.25
14.50,G3,0.25
14.75,C#3F#3,0.25
15.00,F3,0.25
15.25,A#2,0.25
15.50,C#3,0.50
16.00,A#2F#3,0.25
16.25,F3,0.25
16.50,D3E3,0.25
16.75,D3,0.25
17.00,B2E3,0.25
17.25,D3,0.25
17.50,D3E3,0.25
17.75,D3,0.25
18.00,B2E3,0.25
18.25,D3,0.25
18.50,C3F3,0.25
18.75,F#3,0.25
19.00,A2F#3,0.25
19.25,C3,0.50
19.75,F#3,0.25
20.00,A2F3,0.25
20.25,E3,0.25
20.50,A2F3,0.25
20.75,E3,0.25
21.00,C#3E3,0.25
21.25,D3,0.25
21.50,A2E3,0.25
21.75,D3,0.25
22.00,C#3E3,0.25
22.25,D3,0.25
22.50,C#3E3,0.25
22.75,F3,0.25
23.00,A#2F3,0.25
23.25,C#3,0.50
23.75,F#3,0.25
24.00,A#2F3,0.25
24.25,E3,0.25
24.50,D3F3,0.25
24.75,E3,0.25
25.00,B2E3,0.25
25.25,D3,0.25
25.50,D3E3,0.25
25.75,D3,0.25
26.00,B2E3,0.25
26.25,D3,0.25
26.50,C3F3,0.25
26.75,F#3,0.25
27.00,A2F#3,0.25
27.25,C3,0.50
27.75,F#3,0.25
28.00,A2F3,0.25
28.25,E3,0.25
28.50,A2F3,0.25
28.75,E3,0.25
29.00,C#3E3,0.25
29.25,D3,0.25
29.50,A2E3,0.25
29.75,D3,0.25
30.00,C#3E3,0.25
30.25,D3,0.25
30.50,A2E3,0.25
30.75,F3,0.25
31.00,A#2F3,0.25
31.25,D3,0.25
31.50,D#3,0.50
32.00,E3,0.25
32.25,B2F#3,0.25
32.50,D3F#3,0.25
32.75,B2F#3,0.25
33.00,D3,0.25
33.25,D3,0.25
33.50,D3,0.25
33.75,D3,0.25
34.00,F3,0.25
34.25,F3,0.25
34.50,C3,0.50
35.00,A2F#3,0.25
35.25,C3F#3,0.25
35.50,A2F#3,0.25
35.75,D3,0.25
36.00,D3,0.25
36.25,D3,0.25
36.50,D3,0.25
36.75,F#3,0.25
37.00,F#3,0.25
37.25,A2,0.50
37.75,C#3F3,0.25
38.00,A2F3,0.25
38.25,C#3E3,0.25
38.50,B2F3,0.25
38.75,F3,0.25
39.00,F3,0.25
39.25,E3,0.25
39.50,F3,0.25
39.75,F3,0.25
40.00,C#3,0.50
40.50,A#2F#3,0.25
40.75,C#3F3,0.25
41.00,A#2E3,0.25
41.25,D#3F3,0.25
41.50,F3,0.25
41.75,F3,0.25
42.00,E3,0.25
42.25,F#3,0.25
42.50,E3,0.25
42.75,A2,0.50
43.25,B2F#3,0.25
43.50,D3F#3,0.25
43.75,B2E3,0.25
44.00,D3,0.25
44.25,D3,0.25
44.50,D3,0.25
44.75,D3,0.25
45.00,F#3,0.25
45.25,F#3,0.25
45.50,C3,0.50
46.00,A2F#3,0.25
46.25,C3F#3,0.25
46.50,A2E3,0.25
46.75,D3,0.25
47.00,D3,0.25
47.25,D3,0.25
47.50,D3,0.25
47.75,F#3,0.25
48.00,F#3,0.25
48.25,A2,0.50
48.75,C#3F3,0.25
49.00,A2F3,0.25
49.25,C#3E3,0.25
49.50,B2F3,0.25
49.75,F3,0.25
50.00,F3,0.25
50.25,E3,0.25
