# 盲（原曲《诺》）
# Converted from SkyStudio format
# BPM: 360
# Total chords: 518

Time,Keys,Duration
0.00,A2C#3,0.33
0.33,B2,0.33
0.66,A2,0.33
1.00,A#2,0.66
1.66,A2,1.00
2.66,A2C#3,0.33
2.99,B2,0.33
3.32,A2,0.33
3.65,A#2,0.66
4.32,A2,1.00
5.31,A2B2C#3,0.33
5.64,B2,0.33
5.98,A2,0.33
6.31,B2,0.66
6.97,A2,1.00
7.97,B2F#3,0.66
8.63,D#3F3,0.66
9.30,B2,0.66
9.96,A#2,0.66
10.62,D#3F#3,1.33
11.95,F#3,0.33
12.28,F3,0.33
12.62,D#3,0.33
12.95,C#3,0.33
13.28,A#2C3D3,0.33
13.61,C3,0.33
13.94,D3,0.33
14.28,A#2,0.33
14.61,C3F#3,0.33
14.94,A#2F3,0.33
15.27,D3E3,0.33
15.60,C3D3,0.33
15.94,B2D3E3,0.33
16.27,B2,0.33
16.60,D#3,0.33
16.93,E3,0.33
17.26,D3F#3,0.33
17.60,B2F3,0.33
17.93,A2E3,0.33
18.26,C#3D#3,0.33
18.59,A2C3D3,0.33
18.92,C3,0.33
19.26,A#2,0.33
19.59,A2D3,0.33
19.92,D3F#3,0.33
20.25,C3F3,0.33
20.58,C#3,0.33
20.92,A2E3,0.33
21.25,A#2C#3D#3,0.33
21.58,B2,0.33
21.91,C#3,0.33
22.24,D#3,0.33
22.58,F#3,0.33
22.91,D#3,0.33
23.24,G#3,0.33
23.57,F#3,0.33
23.90,B2F#3,3.32
27.22,A2B2,0.33
27.56,A2,0.33
27.89,B2D3,1.00
28.88,E3,0.33
29.22,C#3D#3,0.33
29.55,A#2,0.33
29.88,C#3E3,0.33
30.21,C3D#3,0.33
30.54,A2,0.33
30.88,C#3,1.00
31.87,C3,0.33
32.20,A2,0.33
32.54,C3D3,0.66
33.20,B2C#3,0.33
33.53,A#2,0.33
33.86,A2,0.33
34.20,C3,0.33
34.53,A2C3,0.66
35.19,A2B2,0.33
35.52,A#2,0.66
36.19,B2,1.66
37.85,A2B2,0.33
38.18,A2,0.33
38.51,A2D3,0.33
38.84,B2,0.66
39.51,F#3,0.33
39.84,C#3F3,0.33
40.17,A#2,0.33
40.50,C#3E3,0.33
40.84,C3D#3,0.33
41.17,A#2,0.66
41.83,C#3,0.33
42.16,C3D3,0.33
42.50,C3,0.33
42.83,A2,0.33
43.16,C3,0.33
43.49,C#3,0.33
43.82,D3,0.33
44.16,E3,1.00
45.15,B2,0.33
45.48,D#3,0.33
45.82,B2E3,0.33
46.15,C3D#3,0.33
46.48,A#2,0.33
46.81,C#3,0.33
47.14,A2,1.33
48.47,A2B2,0.33
48.80,A2,0.33
49.14,A2D3,0.33
49.47,B2,0.66
50.13,E3,0.33
50.46,C#3D#3,0.33
50.80,A#2,0.33
51.13,C#3E3,0.33
51.46,C3D#3,0.33
51.79,B2,0.66
52.46,C#3,0.66
53.12,C3,0.33
53.45,A2,0.33
53.78,C3D3,0.33
54.12,A2,0.33
54.45,B2C#3,0.33
54.78,A#2,0.33
55.11,B2,0.33
55.44,C3,0.33
55.78,A2C3,0.33
56.11,A2,0.33
56.44,A2B2,0.33
56.77,A#2,0.66
57.44,B2,1.66
59.10,A2B2,0.33
59.43,A2,0.33
59.76,A2D3,0.33
60.09,B2,0.66
60.76,F#3,0.33
61.09,C#3F3,0.33
61.42,A#2,0.33
61.75,C#3E3,0.33
62.08,C3D#3,0.33
62.42,B2,0.33
62.75,A#2,0.33
63.08,C#3,0.33
63.41,C3D3,0.33
63.74,C3,0.33
64.08,A2E3,0.33
64.41,C3,0.33
64.74,C#3,0.33
65.07,D3,0.33
65.40,E3,1.00
66.40,B2,0.33
66.73,D#3,0.33
67.06,B2C#3F#3,0.33
67.40,C3,0.33
67.73,A#2C#3F3,0.66
68.39,C#3D#3F#3,0.66
69.06,A#2,0.33
69.39,D3,0.33
69.72,A#2C#3G3,0.33
70.05,B2,0.33
70.38,B2C#3F#3,0.33
70.72,D3,0.66
71.38,A#2F3,0.33
71.71,B2D3F#3,0.33
72.04,B2,0.33
72.38,A2D3E3,0.33
72.71,C#3D#3,0.33
73.04,A2,0.66
73.70,C3D3,0.66
74.37,C3,0.33
74.70,A2,0.33
75.03,C3E3,0.33
75.36,A2,0.33
75.70,C#3D#3,0.33
76.03,A#2,0.33
76.36,B2,0.33
76.69,C#3,0.33
77.02,A2C#3,0.66
77.69,A2B2,0.33
78.02,A#2,0.66
78.68,B2,1.00
79.68,A#2,0.66
80.34,A#2C3,0.66
81.01,A2B2,1.00
82.00,A#2,0.33
82.34,A2B2,0.66
83.00,C3D3,0.33
83.33,C#3D#3,0.33
83.66,A2,0.33
84.00,D3,0.33
84.33,D3,0.33
84.66,D#3,0.33
84.99,C3E3,0.33
85.32,A2,0.33
85.66,C3,0.33
85.99,D3E3,0.33
86.32,A2E3,0.33
86.65,F3,0.66
87.32,E3,0.33
87.65,B2,0.33
87.98,C#3D#3,0.33
88.31,B2,0.33
88.64,C3,0.33
88.98,C#3,0.33
89.31,D#3,0.33
89.64,C#3,0.33
89.97,B2,0.33
90.30,B2C#3D#3F#3,2.66
92.96,A2B2,0.66
93.62,C3D3,0.33
93.96,B2C#3,0.33
94.29,A2D3,0.33
94.62,B2,0.33
94.95,D#3,0.33
95.28,E3,0.33
95.62,C#3D#3,0.33
95.95,A#2E3,0.33
96.28,C#3D#3,0.33
96.61,C3D3,0.33
96.94,B2C#3,0.33
97.28,A#2,0.33
97.61,B2,0.33
97.94,C#3,0.33
98.27,C3D3,0.33
98.60,A2,0.33
98.94,C3D3,0.33
99.27,A2C#3,0.33
99.60,C3D3,0.33
99.93,A2,0.33
100.26,A2,0.33
100.60,A#2,0.33
100.93,A2B2,0.33
101.26,B2C#3,0.33
101.59,A2B2,0.33
101.92,G#3,0.33
102.26,E3,0.33
102.59,G#3,0.33
102.92,C4,0.66
103.58,A#2,0.66
104.25,A#2,0.33
104.58,A2B2,0.33
104.91,A#2C3,0.66
105.58,B2,0.33
105.91,A#2,0.33
106.24,A2B2,0.33
106.57,C3D3,0.33
106.90,C3D3,0.33
107.24,C#3D#3,0.33
107.57,A2E3,0.33
107.90,B2D3,0.33
108.23,D3,0.33
108.56,D#3,0.33
108.90,C3E3,0.33
109.23,A2,0.33
109.56,C3D3,0.33
109.89,C#3D#3,0.33
110.22,D3E3,0.33
110.56,A2D3,0.33
110.89,E3,0.33
111.22,F3,0.33
111.55,B2E3,0.33
111.88,C#3D#3,0.33
112.22,B2D#3,0.33
112.55,C3,0.33
112.88,C#3,0.33
113.21,D#3,0.33
113.54,C#3,0.33
113.88,B2,0.33
114.21,A2B2,0.66
114.87,C3D3,0.33
115.20,B2C#3,0.33
115.54,A2D3,0.33
115.87,B2,0.33
116.20,D#3,0.33
116.53,E3,0.33
116.86,C#3D#3,0.33
117.20,A#2E3,0.33
117.53,C#3D#3,0.33
117.86,C3D3,0.33
118.19,B2C#3,0.33
118.52,A#2,0.33
118.86,B2,0.33
119.19,C#3,0.33
119.52,C3D3,0.33
119.85,A2,0.33
120.18,C3D3,0.33
120.52,A2C#3,0.33
120.85,C3D3,0.33
121.18,A2,0.33
121.51,A2,0.33
121.84,A#2,0.33
122.18,A2B2,0.33
122.51,B2C#3,0.33
122.84,A2B2,0.33
123.17,G#3,0.33
123.50,E3,0.33
123.84,G#3,0.33
124.17,C4,0.33
124.50,G#3,0.33
124.83,A#2,0.66
125.50,A#2,0.33
125.83,A2B2,0.33
126.16,A#2C3,0.66
126.82,A2B2,0.33
127.16,A#2,0.33
127.49,A2B2,0.33
127.82,B2D3,0.33
128.15,C3D3,0.33
128.48,C#3D#3,0.33
128.82,A2E3,0.33
129.15,B2D3,0.33
129.48,D3,0.33
129.81,D#3,0.33
130.14,C3E3,0.33
130.48,A2,0.33
130.81,C3,0.33
131.14,C#3,0.33
131.47,B2,0.33
131.80,D3,0.33
132.14,E3,0.33
132.47,F3,0.33
132.80,C#3D#3F#3,1.00
133.80,D#3,0.33
134.13,D#3,0.66
134.79,E3,0.66
135.46,C#3D#3,0.33
135.79,B2D3,0.33
136.12,A3,0.33
136.45,A#3,0.33
136.78,E3,0.33
137.12,D3E3F#3,0.33
137.45,E3,0.33
137.78,D#3,0.33
138.11,A2B2C#3,0.66
138.78,A#2,0.33
139.11,A2,0.33
139.44,A2,1.33
140.77,A2B2C#3,0.66
141.43,A#2,0.66
142.10,A2,1.33
143.42,A2B2C#3,0.66
144.09,A2,0.33
144.42,B2,0.66
145.08,A2,0.66
145.75,A#2,0.33
146.08,B2F#3,0.66
146.74,D#3G3,0.33
147.08,D3F3,0.66
147.74,C#3D#3F#3,0.66
148.40,D3F3,0.17
148.57,E3,0.17
148.74,A#2D3,0.33
149.07,D3,0.33
149.40,A#2,0.66
150.06,B2,0.66
150.73,D3,0.33
151.06,E3,0.33
151.39,C#3D#3,0.33
151.72,B2,0.33
152.06,D3E3,0.33
152.39,D3,1.66
154.05,A3C3,0.33
154.38,A2,0.33
154.71,C3,0.33
155.04,D3G#3,0.33
155.38,E3,1.33
156.70,B2G#3,0.33
157.04,D#3,0.33
157.37,B2,0.33
157.70,C3,0.33
158.03,C#3D#3F#3,1.33
159.36,A2B2,0.66
160.02,D3,0.33
160.36,C#3,0.33
160.69,D3,0.66
161.35,B2D#3,0.33
161.68,E3,0.33
162.02,C#3D#3,0.33
162.35,E3,0.33
162.68,D#3,0.33
163.01,D3,0.33
163.34,C#3,0.66
164.01,B2,0.33
164.34,C#3,0.33
164.67,C3D3,0.66
165.34,D3,0.33
165.67,C#3,0.33
166.00,B2D3,0.33
166.33,A2,0.33
166.66,A2,0.33
167.00,A#2,0.33
167.33,A2B2,0.33
167.66,C#3,0.33
167.99,A2B2,0.33
168.32,A2,1.66
169.98,A#2,0.66
170.65,A#2,0.33
170.98,B2,0.33
171.31,C3,0.66
171.98,B2,0.33
172.31,A#2,0.33
172.64,A2B2,0.33
172.97,B2D3,0.33
173.30,C3D3,0.33
173.64,D#3,0.33
173.97,E3,0.66
174.63,C3D3,0.33
174.96,C#3D#3,0.33
175.30,A2C3E3,0.33
175.63,C3,0.33
175.96,C3D3,0.33
176.29,C#3D#3,0.33
176.62,A2E3,0.33
176.96,C3D3,0.33
177.29,A2E3,0.33
177.62,A#2F3,0.33
177.95,A2B2E3,0.33
178.28,C#3D#3,0.33
178.62,B2C#3D#3,0.33
178.95,C3,0.33
179.28,C#3,0.33
179.61,D#3,0.33
179.94,C#3,0.33
180.28,B2,0.33
180.61,A2B2,0.33
180.94,A2,0.33
181.27,C3D3,0.33
181.60,B2C#3,0.33
181.94,A2D3,0.33
182.27,B2,0.33
182.60,C#3D#3,0.33
182.93,A2E3,0.33
183.26,A#2C#3F3,0.33
183.60,A#2C#3D#3,0.33
183.93,C#3D#3,0.33
184.26,C3D3,0.33
184.59,B2C#3,0.33
184.92,A#2,0.33
185.26,A2,0.33
185.59,A#2,0.33
185.92,C3,0.33
186.25,A#2C3G3,0.33
186.58,C3E3G3,0.33
186.92,B2F#3,0.33
187.25,A#2F3,0.33
187.58,A2E3,0.66
188.24,A#2F3,0.33
188.58,B2,0.33
188.91,B2D#3F#3,0.33
189.24,B2,0.33
189.57,C3,0.33
189.90,C#3,0.33
190.24,D#3F3,0.33
190.57,C#3,0.33
190.90,B2E3,1.00
191.90,A#2,0.66
192.56,C3D3,0.66
193.22,C#3D#3,0.66
193.89,A2D3E3,0.33
194.22,B2,0.33
194.55,D3,0.33
194.88,D#3,0.66
195.55,C3D3,0.33
195.88,C#3D#3,0.33
196.21,A2D3E3,0.33
196.54,C3,0.33
196.88,A2,0.33
197.21,C#3,0.33
197.54,D3,0.66
198.20,D3,0.33
198.54,E3,0.33
198.87,D3F3,0.33
199.20,D3E3F#3,1.00
200.20,D#3,2.32
202.52,E3,0.66
203.18,D#3,1.33
204.51,C3D3,0.33
204.84,B2,0.33
205.18,A#2,0.33
205.51,A2,0.33
205.84,D3,0.33
206.17,A2,0.33
206.50,D#3,0.33
206.84,E3,0.33
207.17,D3,1.33
208.50,F#3,0.33
208.83,F3,0.33
209.16,D#3,0.33
209.49,C#3,0.33
209.82,A#2D3,0.33
210.16,C3,0.33
210.49,D3,0.33
210.82,F3,0.33
211.15,F#3,0.33
211.48,D3F3,0.33
211.82,E3,0.33
212.15,D3,0.33
212.48,D3E3,0.66
213.14,B2,0.33
213.48,D3,0.33
213.81,E3F#3,0.33
214.14,F3,0.33
214.47,B2E3,0.33
214.80,D#3,0.33
215.14,C3D3,0.66
215.80,A2,0.33
216.13,C3D3,0.33
216.46,F#3,0.50
216.96,C#3D#3F3,0.50
217.46,E3,0.33
217.79,A#2C#3D#3,0.66
218.46,B2,0.33
218.79,C#3,0.33
219.12,D#3,0.33
219.45,F3,0.50
219.95,F#3,0.50
220.45,B2,1.33
221.78,F#3,0.33
222.11,F3,0.33
222.44,E3,0.33
222.77,D#3,0.33
223.10,A2B2D3,0.50
