# 砂之惑星
# Converted from SkyStudio format
# BPM: 240
# Total chords: 159

Time,Keys,Duration
0.00,hi,0.50
0.50,h,0.50
1.00,h,0.25
1.25,h,0.50
1.75,h,0.50
2.25,pu,0.25
2.50,p,0.25
2.75,p,0.25
3.00,hi,0.25
3.25,p,0.75
4.00,hi,0.50
4.50,h,0.25
4.75,h,0.50
5.25,h,0.50
5.75,hi,0.50
6.25,k,0.25
6.50,j,0.25
6.75,p,0.25
7.00,h,0.25
7.25,pu,0.75
8.00,hi,0.50
8.50,k,0.25
8.75,j,0.50
9.25,l,0.50
9.75,k,0.25
10.00,;k,0.25
10.25,;,0.25
10.50,l,0.25
10.75,k,0.50
11.25,j,0.75
12.00,hi,0.50
12.50,p,0.25
12.75,iy,0.50
13.25,p,0.75
14.00,hiy,1.00
15.00,iy,0.50
15.50,pu,0.50
16.00,h,0.25
16.25,hi,0.25
16.50,k,0.25
16.75,ij,0.75
17.50,pu,0.50
18.00,j,0.25
18.25,ij,0.25
18.50,l,0.25
18.75,ik,0.75
19.50,k,0.25
19.75,l,0.25
20.00,;,0.25
20.25,;k,0.50
20.75,l,0.25
21.00,k,0.25
21.25,ij,0.50
21.75,h,0.25
22.00,p,0.25
22.25,hi,1.00
23.25,iy,0.50
23.75,pu,0.50
24.25,h,0.25
24.50,hi,0.25
24.75,k,0.25
25.00,ij,0.75
25.75,pu,0.50
26.25,j,0.25
26.50,ij,0.25
26.75,l,0.25
27.00,ik,0.75
27.75,k,0.25
28.00,l,0.25
28.25,;k,0.50
28.75,;,0.25
29.00,;,0.25
29.25,;k,0.25
29.50,l,0.25
29.75,k,0.25
30.00,ij,1.50
31.50,;kp,0.75
32.25,hiy,0.50
32.75,hi,0.25
33.00,;,0.25
33.25,;k,0.25
33.50,l,0.50
34.00,k,0.25
34.25,j,0.75
35.00,h,0.25
35.25,j,0.25
35.50,kp,0.50
36.00,j,0.25
36.25,k,0.25
36.50,;k,0.25
36.75,l,0.25
37.00,k,0.25
37.25,hl,0.50
37.75,l,0.25
38.00,k,0.25
38.25,;kp,1.00
39.25,;ip,0.75
40.00,hky,0.50
40.50,hi,0.25
40.75,;,0.25
41.00,;k,0.25
41.25,l,0.50
41.75,k,0.25
42.00,j,0.75
42.75,h,0.25
43.00,j,0.25
43.25,k,0.50
43.75,j,0.25
44.00,p,0.25
44.25,i,0.50
44.75,p,0.25
45.00,;,0.50
45.50,l,0.50
46.00,k,0.25
46.25,ik,1.00
47.25,hiy,0.50
47.75,h,0.25
48.00,;,0.25
48.25,hl,0.25
48.50,l,0.25
48.75,k,0.25
49.00,l,0.50
49.50,kp,0.25
49.75,;,0.50
50.25,ik,0.50
50.75,j,0.50
51.25,ik,0.50
51.75,j,0.25
52.00,h,0.25
52.25,ij,0.50
52.75,h,0.25
53.00,p,0.25
53.25,hi,0.25
53.50,h,0.25
53.75,p,0.25
54.00,iy,0.50
54.50,p,0.75
55.25,hiy,0.50
55.75,h,0.25
56.00,;,0.25
56.25,hl,0.25
56.50,l,0.25
56.75,k,0.25
57.00,lo,0.50
57.50,k,0.25
57.75,;p,0.50
58.25,k,0.50
58.75,ij,0.50
59.25,kp,0.50
59.75,j,0.25
60.00,k,0.25
60.25,;k,0.50
60.75,l,0.25
61.00,k,0.25
61.25,lo,0.50
61.75,l,0.25
62.00,k,0.25
62.25,hl,0.50
62.75,ikp,0.50
