# 碎月
# Converted from SkyStudio format
# BPM: 506
# Total chords: 213

Time,Keys,Duration
0.94,B2,0.24
1.18,C#3,0.24
1.42,D3,0.24
1.65,E3,0.24
1.89,A2C3F3,0.35
2.24,A2,0.12
2.36,C3E3,0.24
2.60,A2F3,0.24
2.83,A#2C#3F#3,0.35
3.19,A#2,0.12
3.30,C#3E3,0.24
3.54,A#2D3,0.24
3.78,A2B2C#3,0.24
4.01,B2,0.12
4.13,A2,0.12
4.25,B2E3,0.24
4.48,A2F3,0.24
4.72,A2B2D3,0.35
5.07,A2,0.12
5.19,B2D3,0.24
5.43,A2E3,0.24
5.66,A2C3F3,0.35
6.02,A2,0.12
6.14,C3E3,0.24
6.37,A2F3,0.24
6.61,A#2C#3F#3,0.35
6.96,A#2,0.12
7.08,C#3G#3,0.24
7.32,A#2A3,0.24
7.55,B2C4D3,0.24
7.79,A#3,0.12
7.91,B2,0.12
8.02,A3D3,0.12
8.14,A#3A3,0.12
8.26,B2G#3,0.24
8.50,A3B2D3,0.35
8.85,B2,0.12
8.97,D3G#3,0.24
9.20,B2F#3,0.24
9.44,A2C3F3,0.35
9.79,A2,0.12
9.91,C3F#3,0.24
10.15,A2E3,0.24
10.38,A#2C#3F3,0.35
10.74,A#2,0.12
10.86,C#3E3,0.24
11.09,A#2F3,0.24
11.33,B2D3F#3,0.35
11.68,B2D3,0.12
11.80,D3E3,0.12
11.92,F3,0.12
12.04,B2E3,0.24
12.27,A2B2D3,0.35
12.63,A2,0.12
12.74,B2D3,0.24
12.98,A2C#3,0.24
13.22,A2C3D3,0.35
13.57,A2C3D3,0.12
13.69,C3E3,0.24
13.92,A2F3,0.24
14.16,A#2C#3F#3,0.24
14.40,F3,0.12
14.51,A#2,0.12
14.63,C#3,0.24
14.87,A#2,0.24
15.10,A2B2D3,0.35
15.46,A2,0.12
15.58,B2,0.24
15.81,A2,0.24
16.05,A2B2,0.24
16.28,C#3,0.12
16.40,A2,0.12
16.52,B2D3,0.24
16.76,A2E3,0.24
16.99,A2C3F3,0.35
17.35,A2,0.12
17.46,C3E3,0.24
17.70,A2F3,0.24
17.94,A#2C#3F#3,0.35
18.29,A#2,0.12
18.41,C#3E3,0.24
18.64,A#2D3,0.24
18.88,A2B2C#3,0.24
19.12,B2,0.12
19.23,A2,0.12
19.35,B2E3,0.24
19.59,A2F3,0.24
19.82,A2B2D3,0.35
20.18,A2,0.12
20.30,B2D3,0.24
20.53,A2E3,0.24
20.77,A2C3F3,0.35
21.12,A2,0.12
21.24,C3E3,0.24
21.48,A2F3,0.24
21.71,A#2C#3F#3,0.35
22.07,A#2,0.12
22.18,C#3G#3,0.24
22.42,A#2A3,0.24
22.66,B2C4D3,0.24
22.89,A#3,0.12
23.01,B2,0.12
23.13,A3D3,0.12
23.25,A#3A3,0.12
23.36,B2G#3,0.24
23.60,A3B2D3,0.35
23.95,B2,0.12
24.07,D3G#3,0.24
24.31,B2F#3,0.24
24.54,A2C3F3,0.35
24.90,A2,0.12
25.02,C3F#3,0.24
25.25,A2E3,0.24
25.49,A#2C#3F3,0.35
25.84,A#2,0.12
25.96,C#3E3,0.24
26.20,A#2F3,0.24
26.43,B2D3F#3,0.35
26.79,B2D3,0.12
26.90,D3E3,0.12
27.02,F3,0.12
27.14,B2E3,0.24
27.38,A2B2D3,0.35
27.73,A2,0.12
27.85,B2D3,0.24
28.08,A2C#3,0.24
28.32,A2C3D3,0.35
28.67,A2C#3D3,0.12
28.79,C3E3,0.24
29.03,A2F3,0.24
29.26,A#2C#3F#3,0.24
29.50,F3,0.12
29.62,A#2,0.12
29.74,C#3G#3,0.24
29.97,A#2,0.24
30.21,A3B2D3,0.35
30.56,B2,0.12
30.68,D3,0.24
30.92,B2,0.24
31.15,A2B2,0.24
31.39,C#3,0.12
31.51,A2,0.12
31.62,B2D3,0.24
31.86,A2F3,0.24
32.10,A2C3G#3,0.24
32.33,A3,0.12
32.45,A2,0.12
32.57,C3F#3,0.24
32.80,A2F3,0.24
33.04,A#2C#3F#3,0.35
33.39,A#2D3,0.12
33.51,C#3E3,0.24
33.75,A#2F3,0.24
33.98,B2D#3D3,0.24
34.22,E3,0.12
34.34,B2,0.12
34.46,D#3D3,0.24
34.69,B2C#3,0.24
34.93,A2B2D3,0.35
35.28,A2,0.12
35.40,B2,0.24
35.64,A2C#3,0.24
35.87,A2C3D3,0.24
36.11,E3,0.12
36.23,A2,0.12
36.34,C3F3,0.24
36.58,A2E3,0.24
36.82,A#2C#3F3,0.35
37.17,A#2D3,0.12
37.29,C#3F3,0.12
37.41,F#3,0.12
37.52,A#2E3,0.24
37.76,B2D3F3,0.35
38.11,B2E3,0.12
38.23,D3F3,0.24
38.47,B2G#3G3,0.24
38.70,B2D3F#3,0.35
39.06,B2,0.12
39.18,D3F#3,0.24
39.41,B2G#3,0.24
39.65,A2A3C3,0.35
40.00,A2,0.12
40.12,C3G#3,0.24
40.36,A2A3,0.24
40.59,A#2C#3F#3,0.35
40.95,A#2,0.12
41.06,C#3,0.24
41.30,A#2E3,0.24
41.54,B2D3F3,0.24
41.77,F#3,0.12
41.89,B2,0.12
42.01,D3F3,0.12
42.13,F#3F3,0.12
42.24,B2E3,0.24
42.48,A2B2D3,0.35
42.83,A2,0.12
42.95,B2D3,0.24
43.19,A2C#3,0.24
43.42,A2C3D3,0.35
43.78,A2C#3D3,0.12
43.90,C3E3,0.24
44.13,A2F3,0.24
44.37,A#2C#3F#3,0.24
44.60,F3,0.12
44.72,A#2,0.12
44.84,C#3F#3,0.12
44.96,F#3G3,0.12
