# 祝福のメシアとアイの塔
# Converted from SkyStudio format
# BPM: 423
# Total chords: 501

Time,Keys,Duration
0.00,l,0.14
0.14,;,0.14
0.28,;hkn,0.28
0.56,;,0.28
0.85,k,0.14
0.99,,h,0.14
1.13,,h,0.28
1.41,mp,0.14
1.55,mp,0.14
1.69,,h,0.14
1.83,,h,0.28
2.12,l,0.28
2.40,hip,0.14
2.54,l,0.14
2.68,;,0.28
2.96,knp,0.28
3.24,;,0.14
3.38,hku,0.14
3.52,hlu,0.14
3.67,;hu,0.14
3.81,hnu,0.28
4.09,;,0.28
4.37,kop,0.14
4.51,,h,0.14
4.65,,h,0.28
4.93,p,0.14
5.08,p,0.14
5.22,/kl,0.14
5.36,/kl,0.56
5.92,hkl,0.14
6.06,mou,0.14
6.20,m,0.14
6.34,nou,0.14
6.49,nou,0.28
6.77,p,0.14
6.91,h,0.14
7.05,kn,0.28
7.33,lu,0.14
7.47,lu,0.14
7.61,k,0.28
7.90,hop,0.14
8.04,u,0.14
8.18,u,0.28
8.46,p,0.28
8.74,h,0.28
9.02,;kmp,0.28
9.31,n,0.28
9.59,;,0.28
9.87,,ln,0.56
10.43,l,0.14
10.57,;,0.14
10.72,knp,0.28
11.00,;,0.28
11.28,l,0.28
11.56,k,0.28
11.84,h,0.28
12.13,k,0.28
12.41,;kp,0.56
12.97,lou,0.28
13.25,lou,0.28
13.54,h,0.14
13.68,iky,0.14
13.82,ily,0.14
13.96,;iy,0.14
14.10,iny,0.28
14.38,;,0.28
14.66,k,0.28
14.95,h,0.14
15.09,h,0.14
15.23,lmp,0.14
15.37,lmp,0.14
15.51,,;h,0.14
15.65,,;h,0.28
15.93,l,0.28
16.21,h,0.14
16.36,l,0.14
16.50,;hk,0.28
16.78,,kln,0.28
17.06,;,0.14
17.20,kop,0.14
17.34,,lop,0.14
17.48,;op,0.14
17.62,nop,0.28
17.91,;,0.28
18.19,k,0.14
18.33,,h,0.14
18.47,,h,0.28
18.75,mp,0.14
18.89,mp,0.14
19.04,k,0.14
19.18,/k,0.56
19.74,;k,0.14
19.88,mp,0.14
20.02,mp,0.14
20.16,no,0.14
20.30,no,0.28
20.59,p,0.14
20.73,h,0.14
20.87,;ko,0.28
21.15,jlp,0.14
21.29,l,0.14
21.43,k,0.28
21.71,h,0.14
21.86,u,0.14
22.00,lu,0.28
22.28,p,0.28
22.56,;jkp,0.28
22.84,;i,0.28
23.12,no,0.28
23.41,;i,0.28
23.69,no,0.56
24.25,l,0.14
24.39,;,0.14
24.53,n,0.28
24.82,;hi,0.28
25.10,hil,0.28
25.38,hik,0.28
25.66,hlnp,0.28
25.94,/k,0.28
26.23,/k,0.56
26.79,lu,0.28
27.07,lu,0.70
27.78,lu,0.14
27.92,;i,0.14
28.06,no,0.14
28.20,mp,0.14
28.34,,h,0.14
28.48,k,0.14
28.62,j,0.28
28.91,h,0.56
29.47,lu,0.14
29.61,i,0.14
29.75,no,0.14
29.89,p,0.14
30.03,h,0.28
30.32,p,0.28
30.60,h,0.14
30.74,p,0.14
30.88,h,0.14
31.02,o,0.14
31.16,i,0.42
31.58,no,0.14
31.73,;i,0.28
32.01,o,0.28
32.29,ky,0.14
32.43,u,0.14
32.57,;i,0.14
32.71,h,0.14
32.85,p,0.42
33.28,o,0.14
33.42,ipy,0.28
33.70,,;ko,0.28
33.98,o,0.28
34.26,i,0.28
34.55,lu,0.14
34.69,;i,0.14
34.83,no,0.14
34.97,mp,0.14
35.11,,h,0.14
35.25,k,0.14
35.39,j,0.28
35.67,hi,0.56
36.24,u,0.14
36.38,;i,0.14
36.52,o,0.14
36.66,mp,0.14
36.80,h,0.28
37.08,mp,0.28
37.37,o,0.14
37.51,p,0.14
37.65,h,0.14
37.79,o,0.14
37.93,ij,0.42
38.35,o,0.14
38.49,k,0.28
38.77,k,0.28
39.06,k,0.14
39.20,l,0.14
39.34,k,0.14
39.48,h,0.14
39.62,p,0.42
40.04,h,0.14
40.19,i,0.28
40.47,kp,0.28
40.75,i,0.28
41.03,o,0.28
41.31,lu,0.56
41.88,iky,0.28
42.16,iky,0.28
42.44,iky,0.56
43.01,u,0.56
43.57,kpu,0.14
43.71,pu,0.14
43.85,kpu,0.14
43.99,pu,0.14
44.13,kpu,0.56
44.70,lu,0.14
44.84,;i,0.14
44.98,no,0.14
45.12,mp,0.14
45.26,,h,0.14
45.40,k,0.14
45.54,j,0.28
45.83,hip,0.56
46.39,u,0.14
46.53,i,0.14
46.67,o,0.14
46.81,p,0.14
46.95,h,0.28
47.23,ip,0.28
47.52,o,0.14
47.66,p,0.14
47.80,h,0.14
47.94,o,0.14
48.08,pu,0.56
48.65,,h,0.28
48.93,,h,0.28
49.21,u,0.28
49.49,kp,0.56
50.05,h,0.28
50.34,/k,0.14
50.48,k,0.14
50.62,/k,0.28
50.90,u,0.14
51.04,i,0.14
51.18,o,0.14
51.32,p,0.14
51.47,h,0.14
51.61,k,0.14
51.75,j,0.28
52.03,ho,0.56
52.59,lu,0.14
52.73,;i,0.14
52.88,no,0.14
53.02,mp,0.14
53.16,,h,0.28
53.44,p,0.28
53.72,p,0.14
53.86,ho,0.14
54.00,k,0.14
54.14,ho,0.14
54.28,ikp,0.56
54.85,l,0.28
55.13,l,0.28
55.41,pu,0.28
55.70,lu,0.28
55.98,/k,0.42
56.40,l,0.14
56.54,ikp,0.28
56.82,h,0.28
57.10,o,0.28
57.39,hik,0.28
57.67,u,0.28
57.95,ku,0.14
58.09,ik,0.14
58.23,ko,0.28
58.52,k,0.28
58.80,k,0.14
58.94,j,0.14
59.08,j,0.14
59.22,k,0.14
59.36,;,0.28
59.64,;i,0.14
59.78,no,0.14
59.92,mp,0.28
60.21,kln,0.28
60.49,o,0.14
60.63,p,0.14
60.77,h,0.14
60.91,;kp,0.14
61.05,l,0.14
61.19,klp,0.14
61.34,p,0.14
61.48,o,0.14
61.62,i,0.28
61.90,i,0.14
62.04,y,0.14
62.18,i,0.14
62.32,o,0.14
62.46,p,0.28
62.74,jp,0.56
63.31,h,0.14
63.45,p,0.14
63.59,hko,0.42
64.01,n,0.14
64.16,;,0.14
64.30,iky,0.14
64.44,iky,0.14
64.58,ily,0.14
64.72,ily,0.14
64.86,;iy,0.14
65.00,n,0.14
65.14,;ou,0.56
65.71,k,0.14
65.85,l,0.14
65.99,;,0.28
66.27,;knp,0.28
66.55,m,0.28
66.83,hknp,0.28
67.12,;i,0.14
67.26,mp,0.14
67.40,,h,0.14
67.54,.j,0.14
67.68,/k,0.28
67.96,i,0.14
68.10,p,0.14
68.24,h,0.14
68.39,j,0.14
68.53,l,0.28
68.81,;i,0.14
68.95,mp,0.14
69.09,,h,0.14
69.23,.j,0.14
69.37,n,0.42
69.80,;,0.14
