# 神々が恋した幻想郷(修改版)
# Converted from SkyStudio format
# BPM: 512
# Total chords: 453

Time,Keys,Duration
1.87,;k,0.23
2.11,;k,0.23
2.34,;km,0.23
2.57,,knoy,0.23
2.81,k,0.23
3.04,n,0.23
3.28,m,0.12
3.39,,,0.12
3.51,mpu,0.23
3.74,;,0.23
3.98,l,0.23
4.21,m,0.23
4.45,;hik,0.23
4.68,y,0.23
4.91,i,0.23
5.15,y,0.23
5.38,i,0.23
5.62,;k,0.23
5.85,;k,0.23
6.08,;km,0.23
6.32,,knoy,0.23
6.55,y,0.23
6.79,o,0.23
7.02,m,0.12
7.14,,,0.12
7.25,/pu,0.23
7.49,./,0.23
7.72,,,0.23
7.96,m,0.23
8.19,,h,0.23
8.42,i,0.23
8.66,h,0.23
8.89,l,0.23
9.13,;,0.23
9.36,m,0.12
9.48,,,0.12
9.59,m,0.23
9.83,;,0.23
10.06,lo,0.23
10.30,y,0.23
10.53,o,0.23
10.76,y,0.23
11.00,l,0.23
11.23,mp,0.12
11.35,,u,0.12
11.47,jmp,0.23
11.70,lu,0.23
11.93,hik,0.23
12.17,i,0.23
12.40,h,0.23
12.64,j,0.23
12.87,hy,0.23
13.10,h,0.23
13.34,h,0.23
13.57,j,0.23
13.81,k,0.23
14.04,kno,0.23
14.27,y,0.23
14.51,hlo,0.23
14.74,jp,0.23
14.98,u,0.23
15.21,jp,0.23
15.44,h,0.23
15.68,,hiy,0.23
15.91,i,0.23
16.15,h,0.23
16.38,y,0.23
16.61,i,0.23
16.85,h,0.23
17.08,y,0.23
17.32,i,1.40
18.72,h,0.47
19.19,;ikpy,0.23
19.42,p,0.23
19.66,y,0.23
19.89,i,0.23
20.12,p,0.23
20.36,y,0.23
20.59,i,0.23
20.83,p,0.23
21.06,;ikpy,0.23
21.29,p,0.23
21.53,iy,0.23
21.76,p,0.23
22.00,hlou,0.23
22.23,h,0.23
22.46,ou,0.23
22.70,h,0.23
22.93,;ijp,0.23
23.17,j,0.23
23.40,ij,0.23
23.63,p,0.23
23.87,j,0.23
24.10,j,0.23
24.34,jmp,0.23
24.57,j,0.23
24.80,hin,0.23
25.04,j,0.23
25.27,i,0.23
25.51,;p,0.23
25.74,j,0.23
25.97,i,0.23
26.21,jlo,0.23
26.44,i,0.23
26.68,;ijpy,0.23
26.91,p,0.23
27.14,y,0.23
27.38,i,0.23
27.61,,;jpy,0.23
27.85,i,0.23
28.08,p,0.23
28.31,i,0.23
28.55,jmu,0.23
28.78,h,0.23
29.02,hnu,0.23
29.25,o,0.23
29.48,;ip,0.23
29.72,h,0.23
29.95,jno,0.23
30.19,h,0.23
30.42,;ijm,0.23
30.65,j,0.23
30.89,i,0.23
31.12,,jp,0.23
31.36,j,0.23
31.59,i,0.23
31.82,.ijl,0.23
32.06,i,0.23
32.29,u,0.23
32.53,h,0.23
32.76,,hlu,0.23
32.99,o,0.23
33.23,jmpu,0.23
33.46,j,0.23
33.70,hno,0.23
33.93,j,0.23
34.16,;ikpy,0.23
34.40,p,0.23
34.63,y,0.23
34.87,i,0.23
35.10,p,0.23
35.33,y,0.23
35.57,i,0.23
35.80,p,0.23
36.04,;ikpy,0.23
36.27,p,0.23
36.50,y,0.23
36.74,p,0.23
36.97,lnpu,0.23
37.21,h,0.23
37.44,u,0.23
37.67,h,0.23
37.91,;ijp,0.23
38.14,j,0.23
38.38,i,0.23
38.61,p,0.23
38.84,j,0.23
39.08,j,0.23
39.31,ijm,0.23
39.55,p,0.23
39.78,hin,0.23
40.01,j,0.23
40.25,i,0.23
40.48,;p,0.23
40.72,j,0.23
40.95,i,0.23
41.18,jlo,0.23
41.42,i,0.23
41.65,;ijpy,0.23
41.89,p,0.23
42.12,ijpy,0.23
42.35,ijl,0.23
42.59,ijp,0.23
42.82,;ijpy,0.23
43.06,io,0.23
43.29,ijp,0.23
43.52,hu,0.23
43.76,h,0.23
43.99,u,0.23
44.23,o,0.23
44.46,hjo,0.23
44.69,u,0.23
44.93,lo,0.23
45.16,h,0.23
45.40,;hij,0.23
45.63,j,0.23
45.86,i,0.23
46.10,p,0.23
46.33,j,0.23
46.57,i,0.23
46.80,h,0.23
47.03,j,0.23
47.27,;hij,0.23
47.50,;hij,0.23
47.74,;hij,0.23
47.97,;hijp,0.23
48.20,;hij,0.23
48.44,;hij,0.23
48.67,;hijp,0.23
48.91,;hij,0.23
49.14,,hijpy,0.23
49.37,i,0.23
49.61,h,0.23
49.84,i,0.23
50.08,;hi,0.35
50.43,lu,0.35
50.78,/ky,0.23
51.01,.jpy,0.23
51.25,u,0.23
51.48,p,0.23
51.71,j,0.23
51.95,u,0.23
52.18,mpu,0.23
52.42,;ip,0.23
52.65,y,0.23
52.88,hioy,0.23
53.12,y,0.23
53.35,;ko,0.23
53.59,hi,0.23
53.82,jly,0.23
54.05,io,0.23
54.29,hk,0.23
54.52,io,0.23
54.76,io,0.23
54.99,oy,0.23
55.22,ho,0.23
55.46,ky,0.23
55.69,jp,0.23
55.93,u,0.23
