# 神々が恋した幻想郷
# Converted from SkyStudio format
# BPM: 256
# Total chords: 426

Time,Keys,Duration
1.17,;k,0.23
1.40,;k,0.23
1.64,;km,0.23
1.87,,knoy,0.47
2.34,m,0.23
2.57,,,0.23
2.81,mpu,0.23
3.04,;,0.23
3.28,l,0.23
3.51,m,0.23
3.74,;hik,1.17
4.91,;k,0.23
5.15,;k,0.23
5.38,;km,0.23
5.62,,knoy,0.47
6.08,m,0.23
6.32,,,0.23
6.55,/pu,0.23
6.79,./,0.23
7.02,,,0.23
7.25,m,0.23
7.49,,h,0.23
7.72,i,0.23
7.96,h,0.23
8.19,l,0.23
8.42,km,0.23
8.66,,,0.23
8.89,m,0.23
9.13,;,0.23
9.36,lo,0.23
9.59,y,0.23
9.83,o,0.23
10.06,y,0.23
10.30,mp,0.23
10.53,,u,0.23
10.76,jmp,0.23
11.00,lu,0.23
11.23,hik,0.23
11.47,i,0.23
11.70,h,0.23
11.93,j,0.23
12.17,hy,0.23
12.40,h,0.23
12.64,j,0.23
12.87,k,0.23
13.10,kno,0.23
13.34,y,0.23
13.57,hlo,0.47
14.04,/lp,0.23
14.27,u,0.23
14.51,jp,0.23
14.74,h,0.23
14.98,,hiy,0.23
15.21,i,0.23
15.44,h,0.23
15.68,y,0.23
15.91,i,0.23
16.15,h,0.23
16.38,y,0.23
16.61,i,1.64
18.25,h,0.47
18.72,;ikpy,0.23
18.95,p,0.23
19.19,y,0.23
19.42,i,0.23
19.66,p,0.23
19.89,y,0.23
20.12,i,0.23
20.36,p,0.23
20.59,;ikpy,0.23
20.83,p,0.23
21.06,iy,0.23
21.29,p,0.23
21.53,hlou,0.23
21.76,h,0.23
22.00,ou,0.23
22.23,h,0.23
22.46,;ijp,0.23
22.70,j,0.23
22.93,ij,0.23
23.17,p,0.23
23.40,j,0.23
23.63,j,0.23
23.87,jmp,0.23
24.10,j,0.23
24.34,hin,0.23
24.57,j,0.23
24.80,i,0.23
25.04,;p,0.23
25.27,j,0.23
25.51,i,0.23
25.74,jlo,0.23
25.97,i,0.23
26.21,;ijpy,0.23
26.44,p,0.23
26.68,y,0.23
26.91,i,0.23
27.14,,;hp,0.23
27.38,y,0.23
27.61,i,0.23
27.85,p,0.23
28.08,jmu,0.23
28.31,h,0.23
28.55,hnu,0.23
28.78,o,0.23
29.02,ip,0.23
29.25,h,0.23
29.48,jo,0.23
29.72,h,0.23
29.95,;ijm,0.23
30.19,j,0.23
30.42,i,0.23
30.65,,jp,0.23
30.89,j,0.23
31.12,i,0.23
31.36,.jl,0.23
31.59,i,0.23
31.82,u,0.23
32.06,h,0.23
32.29,lnu,0.23
32.53,o,0.23
32.76,jm,0.23
32.99,j,0.23
33.23,hno,0.23
33.46,j,0.23
33.70,;ikpy,0.23
33.93,p,0.23
34.16,y,0.23
34.40,i,0.23
34.63,p,0.23
34.87,y,0.23
35.10,i,0.47
35.57,;ikpy,0.23
35.80,p,0.23
36.04,y,0.23
36.27,p,0.23
36.50,lnpu,0.23
36.74,h,0.23
36.97,u,0.23
37.21,h,0.23
37.44,;ijp,0.23
37.67,j,0.23
