# 神的随波逐流
# Converted from SkyStudio format
# BPM: 580
# Total chords: 1130

Time,Keys,Duration
0.31,C#3,0.41
0.72,D3,0.41
1.13,E3,0.41
1.54,C3F3,0.21
1.75,A2C3D3,0.10
1.85,F3,0.10
1.96,A2E3,0.21
2.16,A2C3D3,0.10
2.27,E3,0.10
2.37,C#3F3,0.21
2.58,A#2C#3D#3F#3,0.21
2.78,A#2F#3,0.21
2.99,A#2C#3D#3,0.21
3.19,B2F3,0.21
3.40,B2C#3D#3,0.10
3.50,F3,0.10
3.60,D#3E3,0.21
3.81,B2C#3D#3,0.10
3.91,E3,0.10
4.02,D3F3,0.21
4.22,A2B2D3F#3,0.21
4.43,B2F#3,0.21
4.63,A2B2D3,0.21
4.84,C3F3,0.21
5.05,A2C3D3,0.10
5.15,F3,0.10
5.25,A2E3,0.21
5.46,A2C3D3,0.10
5.56,E3,0.10
5.67,C#3F3,0.21
5.87,A#2C#3D#3F#3,0.21
6.08,A#2F#3,0.21
6.28,A#2C#3D#3F#3,0.21
6.49,A2G#3,0.10
6.59,A2B2C#3F#3,0.10
6.70,G3,0.10
6.80,C#3F3,0.21
7.00,A2B2C#3E3,0.21
7.21,A2C#3F#3,0.21
7.42,A2B2C#3,0.21
7.62,A#2C#3F#3,0.21
7.83,A2B2C#3E3,0.21
8.03,C3F3,0.21
8.24,A2C3D3,0.10
8.34,F3,0.10
8.45,A2E3,0.21
8.65,A2C3D3,0.10
8.76,E3,0.10
8.86,C#3F3,0.21
9.06,A#2C#3D#3F#3,0.21
9.27,A#2F#3,0.21
9.48,A#2C#3D#3,0.21
9.68,B2F3,0.21
9.89,B2C#3D#3,0.10
9.99,F3,0.10
10.09,D#3E3,0.21
10.30,B2C#3D#3,0.10
10.40,E3,0.10
10.51,D3F3,0.21
10.71,A2B2D3F#3,0.21
10.92,B2F#3,0.21
11.12,A2B2D3,0.21
11.33,C3F3,0.21
11.54,A2C3D3,0.10
11.64,F3,0.10
11.74,A2E3,0.21
11.95,A2C3D3,0.10
12.05,E3,0.10
12.15,C#3F3,0.21
12.36,A#2C#3D#3F#3,0.21
12.57,A#2F#3,0.21
12.77,A#2C#3D#3F#3,0.21
12.98,A2F3,0.21
13.18,A2B2C#3F#3,0.10
13.29,F3,0.10
13.39,C#3E3,0.21
13.60,A2B2C#3,0.21
13.80,A2,0.21
14.01,A2B2C#3,0.21
14.21,C#3,0.21
14.42,A2B2C#3,0.21
14.63,A2E3,0.21
14.83,E3,0.21
15.04,C#3D3,0.10
15.14,E3,0.31
15.45,A2B2C#3,0.21
15.66,C#3,0.21
15.86,D3,0.21
16.07,D#3,0.21
16.27,A2B2D#3E3,0.41
16.69,E3,0.10
16.79,D#3,0.31
17.10,D#3,0.10
17.20,D3,0.21
17.41,C#3,0.21
17.61,B2,0.21
17.82,A2,0.10
17.92,A2,0.10
18.02,A#2A2C3,0.21
18.23,A2,0.21
18.44,A#2,0.21
18.64,B2,0.72
19.36,A2,0.21
19.57,A#2C3D3,0.31
19.88,A2,0.10
19.98,A#2,0.31
20.29,A2,0.10
20.39,A#2,0.21
20.60,A#2,0.21
20.81,A2,0.21
21.01,A#2,0.21
21.22,A2B2C#3,0.21
21.42,C#3,0.21
21.63,D3,0.21
21.84,A#2,0.21
22.04,B2C#3D#3,0.21
22.25,C#3,0.21
22.45,D3,0.21
22.66,D#3,0.21
22.87,A2B2D3E3,0.31
23.18,D3,0.10
23.28,E3,0.31
23.59,D3,0.10
23.69,E3,0.21
23.90,F3,0.21
