# 稻香完整版Mkf
# Converted from SkyStudio format
# BPM: 295
# Total chords: 748

Time,Keys,Duration
0.00,A2,0.41
0.41,C#3,0.41
0.81,F3G#3,0.20
1.01,F#3,0.20
1.22,E3,0.41
1.62,C#3,0.41
2.03,D#3,0.41
2.44,D#3G#3,0.81
3.25,D3,0.41
3.65,F#3,0.41
4.06,F3G#3,0.41
4.47,E3,0.41
4.87,B2,0.41
5.28,F3,0.41
5.68,F#3G#3,0.81
6.50,A#2,0.41
6.90,D3,0.41
7.31,E3G#3,0.81
8.12,A2,0.41
8.53,C#3,0.41
8.93,E3G#3,0.81
9.74,A2,0.41
10.15,C#3,0.41
10.56,F3G#3,0.41
10.96,E3,0.20
11.16,F3,0.41
11.57,E3,0.20
11.77,C#3,0.41
12.18,F3,0.41
12.59,C#3G#3,0.41
12.99,A2E3,0.41
13.40,C#3F#3,0.41
13.80,C#3F3G#3,0.20
14.01,B2,0.20
14.21,A2,0.41
14.62,C#3,0.41
15.02,C#3F3,0.41
15.43,A2C#3D#3,0.41
15.83,C#3,0.41
16.24,A2E3,0.41
16.65,B2F#3,0.41
17.05,A#2C#3G#3,0.41
17.46,A2,0.41
17.86,B2,0.41
18.27,D#3F3,0.41
18.68,B2C#3D#3,0.41
19.08,A#2C#3,0.41
19.49,A#2E3,0.41
19.89,D3,0.41
20.30,A2C3,0.41
20.71,C#3D3,0.41
21.11,A2E3,0.41
21.52,A#2,0.41
21.92,A2C#3,0.41
22.33,B2C#3,0.41
22.74,A2B2C#3E3,0.41
23.14,A2,0.41
23.55,A#2C#3,0.41
23.95,A2,0.20
24.16,A#2,0.41
24.56,A2,0.20
24.77,C#3,0.41
25.17,A#2,0.20
25.38,E3,0.20
25.58,A2E3,0.20
25.78,D3,0.20
25.98,A2E3,0.41
26.39,B2D3,0.20
26.59,E3,0.20
26.80,A2,0.20
27.00,D3,0.20
27.20,C#3E3,0.20
27.41,D3,0.20
27.61,D#3F3,0.20
27.81,F3,0.20
28.01,C#3F3,0.20
28.22,F3,0.20
28.42,D#3F#3,0.41
28.83,C#3E3,0.41
29.23,D3E3,0.41
29.64,B2D3,0.20
29.84,E3,0.20
30.04,B2,0.20
