# 穿越时空的思念
# Converted from SkyStudio format
# BPM: 254
# Total chords: 126

Time,Keys,Duration
0.71,h,0.24
0.94,;,0.24
1.18,l,0.94
2.12,j,0.94
3.07,p,1.18
4.25,h,0.24
4.48,;,0.24
4.72,l,0.94
5.66,j,0.94
6.61,p,0.94
7.55,/k,0.94
8.50,.j,0.94
9.44,mp,0.94
10.38,;i,0.94
11.33,k,0.71
12.04,j,0.71
12.74,p,0.71
13.45,u,0.94
14.40,i,1.18
15.58,i,0.47
16.05,p,0.47
16.52,hoy,0.94
17.46,h,0.47
17.94,k,0.47
18.41,jlp,0.94
19.35,;,0.47
19.82,m,0.47
20.30,;hk,0.94
21.24,l,0.47
21.71,k,0.47
22.18,hi,0.94
23.13,;,0.47
23.60,l,0.47
24.07,hoy,0.47
24.54,y,0.47
25.02,;,0.47
25.49,l,0.47
25.96,hu,1.18
27.14,p,0.94
28.08,hy,0.47
28.56,y,0.47
29.03,u,0.47
29.50,i,0.47
29.97,j,0.94
30.92,i,0.47
31.39,p,0.47
31.86,hiy,0.47
32.33,y,0.47
32.80,h,0.47
33.28,k,0.47
33.75,lp,0.47
34.22,j,0.47
34.69,;,0.47
35.16,m,0.47
35.64,;h,0.47
36.11,i,0.47
36.58,l,0.47
37.05,k,0.47
37.52,hy,0.94
38.47,;,0.47
38.94,l,0.47
39.41,hoy,0.94
40.36,;,0.47
40.83,l,0.47
41.30,hu,0.94
42.24,p,0.94
43.19,hi,0.47
43.66,y,0.47
44.13,i,0.47
44.60,j,0.47
45.08,k,0.94
46.02,;,0.47
46.49,m,0.47
46.96,,o,0.47
47.44,h,0.47
47.91,,,0.47
48.38,m,0.47
48.85,,p,0.47
49.32,j,0.47
49.80,.,0.47
50.27,m,0.47
50.74,,h,0.47
51.21,k,0.47
51.68,m,0.47
52.16,l,0.47
52.63,;ik,0.94
53.57,;,0.47
54.04,m,0.47
54.52,,o,0.47
54.99,h,0.47
55.46,,,0.47
55.93,m,0.47
56.40,,p,0.47
56.88,/,0.47
57.35,.,0.47
57.82,m,0.47
58.29,;i,0.47
58.76,h,0.47
59.24,j,0.47
59.71,k,0.47
60.18,;i,0.47
60.65,lu,0.47
61.12,;k,0.47
61.60,jm,0.47
62.07,mo,0.47
62.54,h,0.47
63.01,,,0.47
63.48,m,0.47
63.96,,p,0.47
64.43,l,0.47
64.90,.,0.47
65.37,m,0.47
65.84,,h,0.47
66.32,m,0.47
66.79,l,0.47
67.26,;h,0.47
67.73,i,0.47
68.20,;,0.47
68.68,l,0.47
69.15,hoy,0.47
69.62,o,0.47
70.09,;,0.47
70.56,l,0.47
71.04,hu,0.94
71.98,p,0.94
72.92,hi,0.50
