# 简易茉莉花
# Converted from SkyStudio format
# BPM: 200
# Total chords: 67

Time,Keys,Duration
0.00,B2,0.60
0.60,B2,0.30
0.90,B2C#3,0.30
1.20,D3,0.30
1.50,D3E3,0.30
1.80,E3,0.30
2.10,D3E3,0.30
2.40,C#3,0.60
3.00,C#3,0.30
3.30,C#3D3,0.30
3.60,C#3,1.20
4.80,B2,0.60
5.40,B2,0.30
5.70,B2C#3,0.30
6.00,D3,0.30
6.30,D3E3,0.30
6.60,E3,0.30
6.90,D3E3,0.30
7.20,C#3,0.60
7.80,C#3,0.30
8.10,C#3D3,0.30
8.40,C#3,1.20
9.60,C#3,0.60
10.20,C#3,0.60
10.80,C#3,0.60
11.40,B2,0.30
11.70,B2C#3,0.30
12.00,D3,0.60
12.60,D3,0.60
13.20,C#3,1.20
14.40,B2,0.60
15.00,A#2,0.30
15.30,A#2B2,0.30
15.60,C#3,0.60
16.20,B2,0.30
16.50,A#2B2,0.30
16.80,A2,0.60
17.40,A2,0.30
17.70,A#2A2,0.30
18.00,A2,1.20
19.20,B2,0.30
19.50,A#2B2,0.30
19.80,A2,0.30
20.10,A2B2,0.30
20.40,A#2,0.60
21.00,A#2B2,0.60
21.60,C#3,0.60
22.20,D3,0.30
22.50,D3E3,0.30
22.80,C#3,1.20
24.00,A#2,0.60
24.60,B2,0.30
24.90,B2C#3,0.30
25.20,A#2,0.30
25.50,A#2B2,0.30
25.80,A2,0.30
26.10,A2D3,0.30
26.40,C#3,1.20
27.60,D3,0.60
28.20,A2,0.60
28.80,A#2,0.60
29.40,A#2B2,0.60
30.00,A2,0.30
30.30,A#2A2,0.30
30.60,A2,0.30
30.90,A2D3,0.30
31.20,E3,0.50
