# 糸 aimer ito 烛子ikina
# Converted from SkyStudio format
# BPM: 284
# Total chords: 150

Time,Keys,Duration
0.00,B2E3,0.21
0.21,C#3,0.21
0.42,E3,0.21
0.63,G#3,1.90
2.53,F3,0.84
3.38,C3E3F#3,0.21
3.59,C#3,0.21
3.80,E3,0.21
4.01,G#3,2.74
6.75,B2E3,0.21
6.96,C#3,0.21
7.17,E3,0.21
7.38,G#3,1.90
9.28,F3,0.84
10.13,C3E3F#3,0.21
10.34,C#3,0.21
10.55,E3,0.21
10.76,G#3,2.74
13.50,A2C#3F#3,0.84
14.35,F#3,0.63
14.98,F#3,0.21
15.19,A2D3G3,0.42
15.61,F#3,0.42
16.04,E3,0.42
16.46,D3,0.42
16.88,A2B2C#3,0.42
17.30,F#3,0.21
17.51,F#3,1.05
18.57,A2B2,0.42
18.99,E3,0.42
19.41,A#2D#3F#3,0.42
19.83,G#3,0.42
20.26,A3B2E3,0.42
20.68,F#3,0.21
20.89,F#3,1.05
21.94,B2D#3G#3,0.42
22.37,F#3,0.21
22.58,F#3,1.05
23.63,A#2D3F#3,0.84
24.48,F3,0.42
24.90,E3,0.21
25.11,F3,0.21
25.32,A#2C#3,1.69
27.01,A2C#3F#3,0.84
27.85,F#3,0.63
28.48,F#3,0.21
28.70,A2D3F#3,0.42
29.12,F3,0.42
29.54,E3,0.42
29.96,D3,0.42
30.38,A2B2C#3,0.42
30.81,F#3,0.21
31.02,F#3,1.05
32.07,A2B2,0.42
32.49,E3,0.42
32.92,A#2D#3F#3,0.42
33.34,G#3,0.42
33.76,A3B2D3,0.42
34.18,F#3,0.21
34.39,F#3,1.05
35.45,B2D#3G#3,0.42
35.87,F#3,0.21
36.08,F#3,1.05
37.14,A#2D3F#3,0.84
37.98,F3,0.42
38.40,E3,0.21
38.61,F3,0.21
38.82,A#2C#3,0.84
39.67,E3,0.21
39.88,F3,0.21
40.09,F#3,0.42
40.51,B2D3F#3,0.84
41.36,C4,0.84
42.20,A#3B2C#3,0.63
42.83,A#3,0.21
43.04,G#3,0.21
43.26,F#3,0.63
43.89,A2C3E3,0.84
44.73,A3,0.84
45.58,A2C#3G#3,0.84
46.42,A#2E3,0.21
46.63,F3,0.21
46.84,F#3,0.42
47.26,A2D3F#3,0.42
47.69,F3,0.21
47.90,E3,0.63
48.53,F#3,0.21
48.74,G#3,0.21
48.95,B2D#3,0.63
49.59,F#3,0.21
49.80,F3,0.21
50.01,F#3,0.63
50.64,A#2D3G3,0.84
51.48,G#3,0.84
52.33,A#2A3C#3,0.42
52.75,D3G#3,0.42
53.17,D#3F#3,0.42
53.59,E3F3,0.42
54.02,A2C#3E3,1.05
55.07,C#3,0.21
55.28,E3,0.21
55.49,F#3,0.21
55.70,A#2C#3F#3,0.42
56.13,F3,0.42
56.55,E3,0.42
56.97,D#3,0.21
57.18,E3,0.21
57.39,B2D3,1.69
59.08,B2D#3,0.84
59.92,C#3,0.84
60.77,A2D3G3,1.05
61.82,E3,0.21
62.03,G3,0.21
62.24,A3,0.21
62.46,A2A3C#3,0.42
62.88,G#3,0.42
63.30,E3,0.42
63.72,F#3,0.42
64.14,A#2C3F3,1.69
65.83,A#2C#3,0.84
66.68,F#3,0.42
67.10,F3,0.42
67.52,B2D3E3,0.42
67.94,F3,0.42
68.36,F#3,0.42
68.79,E3,0.21
69.00,F#3,0.21
69.21,B2D3,0.84
70.05,F#3,0.42
70.47,F3,0.42
70.90,B2C#3E3,0.42
71.32,F3,0.42
71.74,F#3,0.42
72.16,E3,0.21
72.37,C4,0.21
72.58,B2C#3,1.05
73.64,E3,0.21
73.85,F3,0.21
74.06,F#3,0.21
74.27,A2C3G3,0.42
74.69,G#3,0.42
75.12,B2F#3,0.42
75.54,G3,0.21
75.75,F3,0.21
75.96,A#2,0.84
76.80,G3,0.21
77.02,F#3,0.21
77.23,F3,0.42
77.65,A2C#3,0.42
78.07,E3,0.50
