# 紫罗兰永恒花园ed 路标 Michishirube 烛子ikina
# Converted from SkyStudio format
# BPM: 348
# Total chords: 195

Time,Keys,Duration
0.00,E3,0.69
0.69,E3,0.34
1.03,E3,0.34
1.38,F3,0.69
2.06,E3,0.34
2.41,F3,0.34
2.75,F#3,2.75
5.50,G#3,0.69
6.19,F#3,0.69
6.88,F3,1.03
7.91,E3,0.34
8.26,E3,2.75
11.01,A2E3,0.34
11.35,C#3,0.34
11.70,A2E3,0.34
12.04,E3,0.34
12.38,A2F3,0.34
12.73,C3,0.34
13.07,A2E3,0.34
13.42,F3,0.34
13.76,A#2F#3,0.34
14.10,C#3G3,0.34
14.45,A#2F#3,0.34
14.79,F3,0.34
15.14,B2E3,0.34
15.48,C3,0.34
15.82,B2C#3,0.34
16.17,D3,0.34
16.51,A2E3,0.34
16.86,C#3,0.34
17.20,A2E3,0.34
17.54,F3,0.34
17.89,C3G#3,0.34
18.23,A2,0.34
18.58,C3F#3,0.34
18.92,F3,0.34
19.26,A#2E3,0.34
19.61,B2,0.34
19.95,A#2D#3,0.34
20.30,E3,0.34
20.64,A2E3,1.38
22.02,B2C#3E3,0.69
22.70,E3,0.34
23.05,E3,0.34
23.39,C#3D#3F3,0.69
24.08,E3,0.34
24.42,F3,0.34
24.77,B2D3F#3,1.38
26.14,B2C#3,1.38
27.52,C3E3G#3,0.69
28.21,F#3,0.69
28.90,A#2C#3F3,1.03
29.93,E3,0.34
30.27,A2B2E3,2.75
33.02,A2E3,0.34
33.37,C#3,0.34
33.71,A2E3,0.34
34.06,E3,0.34
34.40,B2F3,0.34
34.74,D#3,0.34
35.09,B2E3,0.34
35.43,F3,0.34
35.78,B2E3,0.34
36.12,D3,0.34
36.46,B2C4,0.69
37.15,A#3B2,0.34
37.50,C#3,0.34
37.84,B2,0.34
38.18,G#3,0.17
38.36,F#3,0.17
38.53,C3F3,0.34
38.87,A2,0.34
39.22,C3F3,0.34
39.56,F#3,0.34
39.90,C#3F3,0.34
40.25,A#2,0.34
40.59,C#3E3,0.34
40.94,F3,0.17
41.11,E3,0.17
41.28,A2C3,1.38
42.66,A2B2,1.03
43.69,C#3,0.34
44.03,A2C3D3,0.34
44.38,C#3,0.34
44.72,F3,0.34
45.06,E3,0.34
45.41,A#2,0.34
45.75,C#3,0.34
46.10,F3,0.34
46.44,E3,0.34
46.78,B2C#3,0.34
47.13,E3,0.34
47.47,F3,0.34
47.82,F#3,0.69
48.50,A2,0.34
48.85,A#2,0.34
49.19,A2C#3,0.34
49.54,A2C3D3,0.34
49.88,C#3,0.34
50.22,F3,0.34
50.57,E3,0.34
50.91,A#2,0.34
51.26,C#3,0.34
51.60,F3,0.34
51.94,E3,0.34
52.29,B2C#3,0.34
52.63,E3,0.34
52.98,D#3,0.34
53.32,C#3,0.34
53.66,A#2,0.34
54.01,A2,0.34
54.35,A#2,0.34
54.70,A2C#3,0.34
55.04,A2C3D3,0.34
55.38,C#3,0.34
55.73,F3,0.34
56.07,E3,0.34
56.42,A#2,0.34
56.76,C#3,0.34
57.10,F3,0.34
57.45,E3,0.34
57.79,B2C#3,0.34
58.14,F3,0.34
58.48,F3,0.34
58.82,F#3,0.34
59.17,C#3,1.38
60.54,C3D3,0.34
60.89,G#3,0.34
61.23,C3G#3,0.34
61.58,E3G#3,0.34
61.92,G#3,0.34
62.26,G3,0.34
62.61,G3,0.34
62.95,F#3,0.34
63.30,A#2C3F#3,0.34
63.64,F3,0.17
63.81,F3,0.17
63.98,C3,0.34
64.33,D3,0.34
64.67,C#3D#3,0.69
65.36,C#3,0.69
66.05,A2F#3,0.34
66.39,C#3,0.34
66.74,A2E3,0.34
67.08,A2G#3,0.34
67.42,A#2F3,0.34
67.77,C#3,0.34
68.11,A2G#3,0.34
68.46,A#2D#3,0.34
68.80,B2E3,0.34
69.14,B2,0.34
69.49,D3,0.34
69.83,E3,0.34
70.18,E3,0.34
70.52,C#3,0.34
70.86,F#3,0.69
71.55,C#3C4,0.34
71.90,F#3,0.34
72.24,B2G#3,0.34
72.58,E3,0.34
72.93,A#2D#3,0.34
73.27,C3,0.34
73.62,C#3,0.34
73.96,A2F3,0.34
74.30,A2F#3,0.34
74.65,C#3,0.34
74.99,E3,0.34
75.34,F#3,0.34
75.68,G#3,0.34
76.02,F3,0.34
76.37,D#3,0.69
77.06,A2F#3,0.34
77.40,C#3,0.34
77.74,A2E3,0.34
78.09,A2F#3,0.34
78.43,A#2G#3,0.34
78.78,F3,0.34
79.12,A2G#3,0.34
79.46,A#2A#3,0.34
79.81,A2C4,0.34
80.15,A3,0.34
80.50,E3F#3,0.34
80.84,A3,0.34
81.18,A#3D#3,0.34
81.53,F#3,0.34
81.87,G#3,0.34
82.22,C#3,0.17
82.39,B2,0.17
82.56,A#2A3G3,0.69
83.25,A#2,0.34
83.59,B2,0.34
83.94,A#2A#3G#3,0.69
84.62,A2,0.34
84.97,A#2,0.34
85.31,A2C4G#3,0.50
