# 红色高跟鞋
# Converted from SkyStudio format
# BPM: 285
# Total chords: 180

Time,Keys,Duration
0.00,C3,0.21
0.21,A2C3F#3,0.21
0.42,F#3,0.21
0.63,F#3,0.21
0.84,F#3,0.21
1.05,C#3F3,0.21
1.26,A#2D#3,0.21
1.47,C#3,0.21
1.68,E3,0.21
1.89,A2,0.21
2.10,B2E3,0.21
2.31,A2D3,0.21
2.52,A2E3,0.21
2.73,A2,0.21
2.94,A2,0.42
3.36,A2C3,0.21
3.57,C3F#3,0.21
3.78,F#3,0.21
3.99,F#3,0.21
4.20,F#3,0.21
4.41,C#3F3,0.21
4.62,A#2G#3,0.21
4.83,C#3,0.21
5.04,D#3,0.21
5.25,A2,0.21
5.46,B2E3,0.21
5.67,A2C#3,0.21
5.88,A2D#3,0.21
6.09,A2,0.21
6.30,E3,0.21
6.51,A2,0.21
6.72,D3,0.42
7.14,C3,0.21
7.35,A2,0.21
7.56,C3F#3,0.21
7.77,F3,0.21
7.98,E3,0.21
8.19,F3,0.21
8.40,C#3F3,0.21
8.61,A#2C#3,0.21
8.82,A2,0.21
9.03,C#3,0.42
9.45,B2,0.21
9.66,D#3,0.21
9.87,B2F#3,0.21
10.08,F3,0.21
10.29,E3,0.21
10.50,F3,0.21
10.71,D3F3,0.21
10.92,B2D#3,0.21
11.13,A2,0.21
11.34,D3,0.21
11.55,B2,0.21
11.76,A2,0.21
11.97,C3,0.21
12.18,C#3,0.21
12.39,D3,0.21
12.60,F#3,0.21
12.81,F3,0.21
13.02,A#2,0.21
13.23,C#3G#3,0.42
13.65,D3,0.21
13.86,D#3G#3,0.21
14.07,F#3,0.21
14.28,D3E3,0.21
14.49,D3,0.21
14.70,C3,0.21
14.91,A2,0.21
15.12,C3G#3,0.21
15.33,F3,0.21
15.54,C#3,0.21
15.75,A#2,0.21
15.96,C#3D#3,0.42
16.38,D#3,0.21
16.59,A2,0.21
16.80,B2E3,0.21
17.01,D3,0.21
17.22,D#3,0.21
17.43,A2,0.42
17.85,D3,0.21
18.06,A2E3,0.21
18.27,F3,0.21
18.48,F#3,0.21
18.69,C3F#3,0.21
18.90,A2F3,0.21
19.11,C3D3,0.21
19.32,C#3E3,0.21
19.53,D3,0.21
19.74,F3,0.21
19.95,C#3E3,0.21
20.16,F3,0.21
20.37,A#2,0.21
20.58,C#3F#3,0.21
20.79,D3G#3,0.42
21.21,D#3G#3,0.21
21.42,F#3,0.21
21.63,D3E3,0.21
21.84,D3,0.21
22.05,C3,0.21
22.26,A2,0.21
22.47,C3G#3,0.21
22.68,F3,0.21
22.89,C#3,0.21
23.10,A#2,0.21
23.31,C#3D#3,0.21
23.52,D#3,0.21
23.73,A2,0.21
23.94,B2,0.21
24.15,D3E3,0.42
24.57,D#3,0.21
24.78,A2G#3,0.21
24.99,F#3,0.21
25.20,A2E3,0.21
25.41,A3,0.21
25.62,C3,0.21
25.83,A2,0.21
26.04,C3G#3,0.21
26.25,A3,0.21
26.46,C#3,0.21
26.67,A#2,0.21
26.88,C#3G#3,0.21
27.09,F#3,0.21
27.30,A2,0.21
27.51,C#3,0.42
27.93,A2E3,0.21
28.14,A#2G#3,0.21
28.35,B2G#3,0.21
28.56,F#3,0.21
28.77,A#2E3,0.21
28.98,E3,0.21
29.19,C3,0.21
29.40,A2,0.21
29.61,C3G#3,0.21
29.82,F3,0.21
30.03,C#3,0.21
30.24,A#2,0.21
30.45,C#3D#3,0.21
30.66,D#3,0.21
30.87,D3,0.21
31.08,E3,0.21
31.29,F#3,0.21
31.50,D3,0.42
31.92,D#3,0.21
32.13,E3,0.21
32.34,A2G#3,0.21
32.55,F#3,0.21
32.76,F#3,0.21
32.97,F3,0.21
33.18,C3E3,0.21
33.39,A2,0.21
33.60,C3,0.21
33.81,C#3,0.21
34.02,D3,0.21
34.23,F#3,0.21
34.44,F3,0.21
34.65,F3,0.21
34.86,C3,0.21
35.07,A2C#3,0.21
35.28,A2D#3,0.21
35.49,E3,0.21
35.70,C#3,0.21
35.91,D#3,0.42
36.33,C3D3,0.21
36.54,A2,0.21
36.75,C3D3,0.21
36.96,C#3D#3,0.21
37.17,A#2,0.21
37.38,C#3D#3,0.21
37.59,D3E3,0.21
37.80,B2,0.21
38.01,D3E3,0.42
38.43,B2D#3,0.21
38.64,E3,0.21
38.85,D#3D3,0.21
39.06,E3,0.21
39.27,C3D3,0.21
39.48,A2,0.21
39.69,C3D3,0.21
39.90,C#3D#3,0.21
40.11,A2B2D3E3,0.50
