# 绅士[by小社]
# Converted from SkyStudio format
# BPM: 417
# Total chords: 413

Time,Keys,Duration
0.00,A2B2C#3,0.57
0.57,F#3,0.29
0.86,F#3,0.29
1.14,F#3,0.29
1.43,G3,0.29
1.72,G#3,0.57
2.29,A#2C#3D#3,0.57
2.86,F3,0.29
3.15,F3,0.29
3.43,F3,0.29
3.72,F#3,0.29
4.00,G3,0.57
4.58,A2B2D3,0.57
5.15,E3,0.29
5.43,E3,0.29
5.72,E3,0.29
6.01,F3,0.29
6.29,F#3,0.57
6.86,A#2C#3D#3F3,0.57
7.44,F#3,0.57
8.01,F3,0.57
8.58,E3,0.57
9.15,A2C3D3,1.72
10.87,D3,0.29
11.15,C#3,0.86
12.01,D3,0.57
12.58,A2E3,0.57
13.16,F3,0.57
13.73,A2B2C#3E3,0.57
14.30,F#3,0.29
14.59,F#3,0.29
14.87,F#3,0.29
15.16,G3,0.29
15.44,G#3,0.57
16.02,A#2C#3D#3,0.57
16.59,F3,0.29
16.87,F3,0.29
17.16,F3,0.29
17.45,F#3,0.29
17.73,G3,0.57
18.30,A2B2D3,0.57
18.88,E3,0.29
19.16,E3,0.29
19.45,E3,0.29
19.73,F3,0.29
20.02,F#3,0.57
20.59,A#2C#3D#3F3,0.57
21.16,F#3,0.57
21.74,F3,0.57
22.31,F#3,0.57
22.88,A2C3D3,1.72
24.60,D3,0.29
24.88,C#3,0.86
25.74,D3,0.57
26.31,A2E3,0.57
26.88,F3,0.57
27.46,D3E3,0.29
27.74,B2,0.29
28.03,A2D#3,0.29
28.31,B2E3,0.29
28.60,D3,0.29
28.89,B2,0.29
29.17,A2D#3,0.29
29.46,B2E3,0.29
29.74,A2,0.29
30.03,B2,0.29
30.32,A2D#3,0.29
30.60,B2E3,0.29
30.89,A2,0.29
31.17,B2,0.29
31.46,A2C#3,0.29
31.75,B2C#3,0.29
32.03,A#2F3,0.29
32.32,D3F3,0.29
32.60,C3F3,0.29
32.89,D3E3,0.29
33.18,A#2F3,0.29
