# 给我一首歌的时间
# Converted from SkyStudio format
# BPM: 429
# Total chords: 270

Time,Keys,Duration
0.00,B2,0.56
0.56,C#3,0.56
1.11,A2F#3,0.28
1.39,B2,0.28
1.67,C#3,0.28
1.95,E3,0.56
2.50,A2,0.28
2.78,B2,0.28
3.06,C#3,0.28
3.34,C#3D#3F3G3,0.28
3.61,F#3,0.28
3.89,F3,0.28
4.17,G3,0.28
4.45,F#3,0.28
4.73,B2,0.28
5.00,F3,0.28
5.28,E3,0.56
5.84,B2,0.28
6.12,D3,0.28
6.39,E3,0.56
6.95,A2,0.28
7.23,B2,0.28
7.51,C#3,0.28
7.78,A2F3,0.28
8.06,E3,0.28
8.34,D#3,0.28
8.62,F3,0.28
8.90,E3,0.28
9.17,B2,0.28
9.45,D#3,0.28
9.73,D3,0.56
10.29,A2,0.28
10.56,C3,0.28
10.84,D3,0.28
11.12,C#3,0.28
11.40,A2,0.28
11.68,D#3,0.28
11.95,D3,0.28
12.23,B2C#3,0.56
12.79,A#2F3,0.56
13.34,B2E3,0.56
13.90,B2,0.28
14.18,C3,0.28
14.46,A#2,0.28
14.73,C3,0.28
15.01,D3,0.28
15.29,E3,0.28
15.57,C3,0.28
15.85,C#3,0.28
16.12,G#3,0.28
16.40,G3,0.28
16.68,B2C#3D#3F#3,0.56
17.24,F3,0.14
17.38,F#3,0.14
17.51,F3,1.11
18.63,A2,0.56
19.18,D3,0.42
19.60,D#3,0.28
19.88,B2C#3D#3,0.28
20.16,D#3,0.28
20.43,D#3,0.28
20.71,C#3,0.83
21.55,C#3,0.28
21.82,C#3,0.28
22.10,A#2C#3,0.28
22.38,C#3,0.28
22.66,C#3,0.28
22.93,E3,0.28
23.21,A2,0.56
23.77,E3,0.28
24.05,E3,0.28
24.32,C3D3E3,0.28
24.60,E3,0.28
24.88,E3,0.56
25.44,A#2C#3D#3,0.28
25.71,D#3,0.28
25.99,D#3,0.28
26.27,E3,0.28
26.55,C#3D#3F3,0.28
26.83,E3,0.28
27.11,D#3,0.56
27.66,A2,0.56
28.22,D3,0.28
28.50,D#3,0.28
28.77,B2C#3D#3,0.28
29.05,D#3,0.28
29.33,D#3,0.28
29.61,C#3,0.83
30.44,C#3,0.28
30.72,C#3,0.28
31.00,A#2C#3,0.28
31.27,C#3,0.28
31.55,C#3,0.28
31.83,E3,0.28
32.11,A2,0.56
32.66,E3,0.28
32.94,E3,0.28
33.22,C3D3E3,0.28
33.50,F3,0.28
33.78,E3,0.28
34.05,F#3,0.28
34.33,C#3F#3,0.56
34.89,F3,0.28
35.17,E3,0.28
35.45,F#3,0.56
36.00,E3,0.56
36.56,B2D3E3,0.28
36.84,B2,0.28
37.11,D3,0.28
37.39,G#3,0.28
37.67,B2G#3,0.28
37.95,F#3,0.28
38.23,F#3,0.69
38.92,B2C#3D#3,0.28
39.20,B2,0.28
39.48,C#3,0.28
39.75,G#3,0.28
40.03,C#3G#3,0.28
40.31,F3,0.28
40.59,F3,0.56
41.14,C3D3E3,0.28
41.42,A2,0.28
41.70,C3,0.28
41.98,G#3,0.28
42.26,A2G#3,0.28
42.53,F#3,0.28
42.81,F#3,0.56
43.37,C#3D#3F3,0.28
43.65,F3,0.28
43.92,F3,0.28
44.20,F#3,0.28
44.48,A#2F3,0.28
44.76,E3,0.28
45.04,D#3,0.56
45.59,C#3D3E3,0.28
45.87,C#3,0.28
46.15,D3,0.28
46.43,G#3,0.28
46.70,B2G#3,0.28
46.98,F#3,0.28
47.26,F#3,0.56
47.82,B2C#3D#3,0.28
48.09,B2,0.28
48.37,C#3,0.28
48.65,G#3,0.28
48.93,C#3G#3,0.28
49.21,F3,0.28
49.48,F3,0.56
50.04,C3D3E3,0.28
50.32,E3,0.28
50.60,E3,0.28
50.87,D3,0.28
51.15,F3,0.28
51.43,D3,0.28
51.71,E3,0.56
52.26,A#2,0.28
52.54,E3,0.28
52.82,E3,0.28
53.10,E3,0.28
