# 美丽拍档(朱一旦枯燥曲)
# Converted from SkyStudio format
# BPM: 266
# Total chords: 165

Time,Keys,Duration
3.15,h,0.45
3.60,;h,0.45
4.05,hi,0.45
4.50,;h,0.45
4.95,hi,0.45
5.40,jl,0.45
5.85,o,0.45
6.30,j,0.45
6.75,ho,0.45
7.20,ko,0.45
7.65,hy,0.45
8.10,ko,0.45
8.55,ly,0.45
9.00,ij,0.45
9.45,j,0.45
9.90,i,0.45
10.35,hj,0.45
10.80,ko,0.45
11.25,hy,0.45
11.70,jo,0.45
12.15,ky,0.45
12.60,lp,0.45
13.05,ju,0.45
13.50,kp,0.45
13.95,lu,0.45
14.40,;y,0.45
14.85,p,0.45
15.30,y,0.45
15.75,mp,0.23
15.97,n,0.23
16.20,;j,0.45
16.65,i,0.45
17.10,p,0.45
17.55,;,0.45
18.00,,h,0.45
18.45,;i,0.45
18.90,,y,0.45
19.35,;i,0.45
19.80,nu,0.45
20.25,u,0.45
20.70,o,0.45
21.15,,u,0.45
21.60,mp,0.45
22.05,lu,0.45
22.50,mp,0.45
22.95,lu,0.45
23.40,;y,0.45
23.85,p,0.45
24.30,y,0.45
24.75,mp,0.45
25.20,no,0.45
25.65,ky,0.45
26.10,no,0.45
26.55,ky,0.45
27.00,lu,0.45
27.45,h,0.45
27.90,ku,0.45
28.35,h,0.45
28.80,ij,0.45
29.25,i,0.45
29.70,p,0.45
30.15,ik,0.23
30.38,j,0.23
30.60,h,0.45
31.05,i,0.45
31.50,h,0.45
31.95,hy,0.45
32.40,;h,0.45
32.85,hi,0.45
33.30,;h,0.45
33.75,hi,0.45
34.20,jl,0.45
34.65,o,0.45
35.10,j,0.45
35.55,ho,0.45
36.00,ko,0.45
36.45,hy,0.45
36.90,ko,0.45
37.35,ly,0.45
37.80,ij,0.45
38.25,j,0.45
38.70,i,0.45
39.15,hj,0.45
39.60,ko,0.45
40.05,hy,0.45
40.50,jo,0.45
40.95,ky,0.45
41.40,lp,0.45
41.85,ju,0.45
42.30,kp,0.45
42.75,lu,0.45
43.20,;y,0.45
43.65,p,0.45
44.10,y,0.45
44.55,mp,0.23
44.77,n,0.23
45.00,;j,0.45
45.45,i,0.45
45.90,p,0.45
46.35,;,0.45
46.80,,h,0.45
47.25,;i,0.45
47.70,,y,0.45
48.15,;i,0.45
48.60,nu,0.45
49.05,u,0.45
49.50,o,0.45
49.95,hu,0.45
50.40,mp,0.45
50.85,lu,0.45
51.30,mp,0.45
51.75,lu,0.45
52.20,;y,0.45
52.65,p,0.45
53.10,y,0.45
53.55,mp,0.45
54.00,no,0.45
54.45,ky,0.45
54.90,no,0.45
55.35,ky,0.45
55.80,lu,0.45
56.25,h,0.45
56.70,lu,0.45
57.15,h,0.45
57.60,ij,0.45
58.05,i,0.45
58.50,p,0.45
58.95,ik,0.23
59.17,j,0.23
59.40,h,0.45
59.85,i,0.45
60.30,h,0.45
60.75,;y,0.45
61.20,,h,0.45
61.65,;i,0.45
62.10,,y,0.45
62.55,;i,0.45
63.00,nu,0.45
63.45,u,0.45
63.90,o,0.45
64.35,,u,0.45
64.80,mp,0.45
65.25,lu,0.45
65.70,mp,0.45
66.15,lu,0.45
66.60,;y,0.45
67.05,p,0.45
67.50,y,0.45
67.95,mp,0.45
68.40,no,0.45
68.85,ky,0.45
69.30,no,0.45
69.75,ky,0.45
70.20,lu,0.45
70.65,h,0.45
71.10,lu,0.45
71.55,h,0.45
72.00,ij,0.45
72.45,i,0.45
72.90,p,0.45
73.35,ik,0.23
73.58,j,0.23
73.80,h,0.45
74.25,i,0.45
74.70,h,0.50
