# 背对背拥抱
# Converted from SkyStudio format
# BPM: 264
# Total chords: 169

Time,Keys,Duration
0.91,A2,0.45
1.36,B2E3,0.45
1.82,D3E3,0.45
2.27,E3,0.45
2.72,C#3D#3,0.45
3.18,A#2,0.45
3.63,C#3,0.91
4.54,A2D3,0.45
4.99,D3,0.45
5.45,A#2C#3,0.45
5.90,C3,0.23
6.13,C#3,0.23
6.36,A2C#3,0.91
7.26,A2,0.91
8.17,A2,0.45
8.63,B2E3,0.45
9.08,D3E3,0.45
9.53,E3,0.45
9.99,C#3D#3,0.45
10.44,A#2,0.45
10.90,C#3,0.45
11.35,C#3,0.45
11.80,A2C3D3,0.45
12.26,A2,0.45
12.71,C3,0.45
13.17,C#3,0.45
13.62,D3,0.91
14.53,G#3,0.23
14.76,F3,0.23
14.98,D#3,0.23
15.21,C#3,0.23
15.44,A2,0.45
15.89,B2E3,0.45
16.34,D3E3,0.45
16.80,E3,0.45
17.25,C#3D#3,0.45
17.71,A#2,0.45
18.16,C#3,0.91
19.07,A2D3,0.45
19.52,D3,0.45
19.98,A#2C#3,0.45
20.43,C3,0.45
20.88,A2C#3,0.91
21.79,A2,0.45
22.25,B2,0.23
22.47,A#2,0.23
22.70,A2,0.45
23.15,B2E3,0.45
23.61,D3E3,0.45
24.06,F#3,0.45
24.52,C#3F3,0.45
24.97,A#2E3,0.45
25.42,C#3D#3,0.45
25.88,C#3,0.45
26.33,C3E3,0.45
26.79,A2,0.45
27.24,C3,0.45
27.69,A2D3,0.23
27.92,D#3,0.23
28.15,E3,0.45
28.60,A2D#3,0.23
28.83,E3,0.68
29.51,A2C#3,0.45
29.96,C#3F3,0.45
30.42,A#2,0.45
30.87,C#3,0.45
31.33,E3,0.45
31.78,A#2C#3D#3,1.82
33.60,F#3,0.23
33.82,F#3,0.68
34.50,A#2F3,0.23
34.73,A2D3,0.23
34.96,A2C3D3F3,0.45
35.41,A2D3,0.23
35.64,E3,0.23
35.87,A2C3,0.45
36.32,A2C3D3,0.45
36.77,A#2C#3D#3,0.45
37.23,A#2F#3,0.23
37.45,F#3,0.23
37.68,A#2C#3D#3,0.45
38.14,A#2F3,0.23
38.36,E3,0.23
38.59,B2C#3F3,0.45
39.04,C#3E3,0.23
39.27,B2C#3,0.23
39.50,A2B2,0.45
39.95,B2C#3,0.45
40.41,A2C#3,0.45
40.86,B2F#3,0.23
41.09,F#3,0.23
41.31,A2B2D3,0.45
41.77,F3,0.23
41.99,E3,0.23
42.22,A2C3D3F3,0.45
42.68,A2D3,0.23
42.90,E3,0.23
43.13,A2C3D3,0.45
43.58,A2,0.45
44.04,A#2C#3D#3,0.45
44.49,A2,0.23
44.72,E3,0.23
44.95,A#2C#3E3,0.45
45.40,D#3,0.23
45.63,D#3,0.23
45.85,A#2C#3,0.45
46.31,C3D3,0.23
46.53,D3,0.23
46.76,A2C3,0.45
47.22,B2C#3,0.23
47.44,C#3,0.23
47.67,A2,0.45
48.12,A2C#3,0.45
48.58,B2D#3,0.45
49.03,C#3F#3,0.23
49.26,F#3,0.23
49.49,A2,0.45
49.94,C#3F3,0.23
50.17,E3,0.23
50.39,C3F3,0.45
50.85,D3,0.23
51.08,E3,0.23
51.30,A2C3,0.45
51.76,A2C3D3,0.45
52.21,A#2C#3D#3,0.45
52.66,A#2D#3,0.23
52.89,E3,0.23
53.12,C#3,0.23
53.34,E3,0.23
53.57,A#2,0.23
53.80,F3,0.23
54.03,A2C#3,0.45
54.48,A2B2,0.23
54.71,C#3,0.23
54.93,A2,0.23
55.16,F3,0.45
55.62,E3,0.23
55.84,D3E3,0.45
56.30,A2,0.23
56.52,C#3,0.23
56.75,A2C#3,0.45
57.20,A2C3,0.23
57.43,B2,0.23
57.66,A#2C3,0.45
58.11,D3E3,0.23
58.34,E3,0.23
58.57,A#2,0.45
59.02,C3,0.45
59.47,A2,0.45
59.93,B2,0.23
60.16,C#3,0.23
60.38,A2C#3,0.45
60.84,A2C3,0.23
61.06,B2,0.23
61.29,A#2C3,0.45
61.74,A2F3,0.23
61.97,F3,0.23
62.20,C3D3,0.45
62.65,A2,0.45
63.11,B2,0.45
63.56,A#2,0.45
64.01,E3,0.45
64.47,A2C#3E3,0.45
64.92,D#3,0.45
65.38,A2E3,0.45
65.83,C#3,0.45
66.28,G3,0.45
66.74,C#3,0.45
67.19,A2C#3F#3,0.50
