# 致青春♪
# Converted from SkyStudio format
# BPM: 222
# Total chords: 437

Time,Keys,Duration
0.27,h,0.27
0.54,ik,0.54
1.08,i,0.27
1.35,ik,0.54
1.89,h,0.27
2.16,ik,0.54
2.70,i,0.27
2.97,ik,0.54
3.51,hk,0.27
3.78,j,0.27
4.05,iky,0.27
4.32,j,0.27
4.59,k,0.27
4.86,j,0.27
5.13,ik,0.27
5.40,;iy,0.54
5.94,l,0.27
6.21,lpy,0.27
6.48,ijp,0.81
7.29,i,0.81
8.10,ijp,0.27
8.37,jp,0.27
8.64,h,0.27
8.91,ijp,0.27
9.18,h,0.27
9.45,j,0.27
9.72,i,0.27
9.99,il,0.27
10.26,ijkp,0.27
10.53,j,0.54
11.07,jy,0.27
11.34,h,0.27
11.61,y,0.27
11.88,h,0.27
12.15,i,0.27
12.42,y,0.54
12.96,hy,0.27
13.23,j,0.27
13.50,iky,0.27
13.77,jy,0.27
14.04,k,0.27
14.31,ik,0.27
14.58,j,0.27
14.85,iky,0.27
15.12,h,0.27
15.39,j,0.27
15.66,k,0.27
15.93,;u,0.27
16.20,l,0.27
16.47,jpy,0.27
16.74,l,0.27
17.01,h,0.27
17.28,jpy,0.54
17.82,ij,0.27
18.09,h,0.27
18.36,ijp,0.27
18.63,h,0.27
18.90,j,0.27
19.17,i,0.27
19.44,il,0.27
19.71,ijkp,0.27
19.98,j,0.27
20.25,jy,0.27
20.52,h,0.27
20.79,y,0.27
21.06,h,0.27
21.33,i,0.27
21.60,y,0.54
22.14,hy,0.27
22.41,j,0.27
22.68,iky,0.27
22.95,j,0.27
23.22,k,0.27
23.49,i,0.27
23.76,ik,0.27
24.03,;iy,0.27
24.30,l,0.27
24.57,lp,0.27
24.84,ijp,0.54
25.38,i,0.27
25.65,ijp,0.54
26.19,jp,0.27
26.46,h,0.27
26.73,ijp,0.27
27.00,h,0.27
27.27,j,0.27
27.54,i,0.27
27.81,il,0.27
28.08,ijkp,0.27
28.35,j,0.27
28.62,jy,0.27
28.89,h,0.27
29.16,iy,0.27
29.43,h,0.27
29.70,i,0.27
29.97,iy,0.54
30.51,hy,0.27
30.78,j,0.27
31.05,iky,0.27
31.32,j,0.27
31.59,k,0.27
31.86,ik,0.27
32.13,j,0.27
32.40,iky,0.27
32.67,h,0.27
32.94,j,0.27
33.21,k,0.27
33.48,;u,0.27
33.75,l,0.27
34.02,jpy,0.27
34.29,l,0.27
34.56,h,0.27
34.83,jo,0.54
35.37,ij,0.27
35.64,h,0.27
35.91,ijp,0.27
36.18,h,0.27
36.45,j,0.27
36.72,i,0.27
36.99,il,0.27
37.26,ijkp,0.27
37.53,j,0.27
37.80,jy,0.27
38.07,h,0.27
38.34,iy,0.27
38.61,hiy,0.27
38.88,y,0.81
39.69,hk,0.27
39.96,y,0.27
40.23,iy,0.27
40.50,hy,0.27
40.77,y,0.27
41.04,iy,0.27
41.31,jy,0.27
41.58,iy,0.27
41.85,iy,0.27
42.12,py,0.27
42.39,iy,0.27
42.66,iy,0.27
42.93,hk,0.27
43.20,y,0.27
43.47,iy,0.27
43.74,hiy,0.27
44.01,iy,0.27
44.28,iy,0.27
44.55,jy,0.27
44.82,y,0.27
45.09,h,0.27
45.36,ip,0.27
45.63,o,0.27
45.90,iy,0.27
46.17,y,0.27
46.44,u,0.27
46.71,hk,0.27
46.98,y,0.27
47.25,iky,0.27
47.52,h,0.27
47.79,hi,0.27
48.06,y,0.27
48.33,iy,0.27
48.60,jy,0.27
48.87,y,0.27
49.14,ij,0.27
49.41,p,0.27
49.68,py,0.27
49.95,y,0.27
50.22,i,0.27
50.49,hk,0.27
50.76,y,0.27
51.03,iky,0.27
51.30,h,0.27
51.57,ho,0.27
51.84,u,0.27
52.11,j,0.27
52.38,jy,0.27
52.65,k,0.27
52.92,ij,0.27
53.19,;,0.27
53.46,;ijp,0.27
53.73,u,0.27
54.00,;ju,0.81
54.81,;h,0.27
55.08,,,0.27
55.35,,hiy,0.27
55.62,m,0.27
55.89,imy,0.27
56.16,l,0.27
56.43,;p,0.27
56.70,jp,0.54
57.24,iy,0.54
57.78,;o,0.27
58.05,,,0.27
58.32,,hoy,0.27
58.59,m,0.27
58.86,imy,0.27
59.13,l,0.27
59.40,;y,0.27
59.67,ijp,0.54
60.21,iy,0.54
60.75,jny,0.27
61.02,n,0.27
61.29,jno,0.27
61.56,;,0.27
61.83,lo,0.27
62.10,k,0.27
62.37,ij,0.27
62.64,u,0.54
63.18,hiu,0.27
63.45,j,0.27
63.72,ku,0.27
63.99,ou,0.27
64.26,jl,0.54
64.80,;py,0.27
65.07,y,0.27
65.34,i,0.54
65.88,hk,0.27
66.15,y,0.27
66.42,iy,0.27
66.69,hy,0.27
66.96,y,0.27
67.23,iy,0.27
67.50,jy,0.27
67.77,y,0.27
68.04,i,0.27
68.31,h,0.27
68.58,ip,0.27
68.85,o,0.27
69.12,iy,0.27
69.39,y,0.27
69.66,u,0.27
69.93,hk,0.27
70.20,y,0.27
70.47,iky,0.27
70.74,h,0.27
71.01,hy,0.27
71.28,y,0.27
71.55,iy,0.27
71.82,jy,0.27
72.09,y,0.27
72.36,ijy,0.27
72.63,p,0.27
72.90,py,0.27
73.17,y,0.27
73.44,i,0.27
73.71,hk,0.27
73.98,y,0.27
74.25,iky,0.27
74.52,h,0.27
74.79,ho,0.27
75.06,u,0.27
75.33,j,0.27
75.60,jy,0.27
75.87,k,0.27
76.14,ij,0.27
76.41,;,0.27
76.68,;jpu,0.27
76.95,u,0.27
77.22,;ij,0.81
78.03,;h,0.27
78.30,,,0.27
78.57,,hiy,0.27
78.84,m,0.27
79.11,imy,0.27
79.38,l,0.27
79.65,;p,0.27
79.92,ijp,0.54
80.46,iy,0.54
81.00,;o,0.27
81.27,,,0.27
81.54,,hoy,0.27
81.81,m,0.27
82.08,imy,0.27
82.35,l,0.27
82.62,;y,0.27
82.89,y,0.27
83.16,i,0.54
83.70,jn,0.27
83.97,n,0.27
84.24,hno,0.27
84.51,;,0.27
84.78,lo,0.27
85.05,k,0.27
85.32,ij,0.27
85.59,u,0.54
86.13,hiy,0.27
86.40,j,0.27
86.67,ku,0.27
86.94,ou,0.27
87.21,jl,0.54
87.75,;p,0.27
88.02,y,0.27
88.29,i,0.54
88.83,;h,0.27
89.10,,,0.27
89.37,,hiy,0.27
89.64,m,0.27
89.91,imy,0.27
90.18,l,0.27
90.45,;p,0.27
90.72,ijp,0.54
91.26,iy,0.54
91.80,;o,0.27
92.07,,,0.27
92.34,,hoy,0.27
92.61,m,0.27
92.88,imy,0.27
93.15,l,0.27
93.42,;y,0.27
93.69,y,0.27
93.96,i,0.54
94.50,jn,0.27
94.77,n,0.27
95.04,hno,0.27
95.31,;,0.27
95.58,lo,0.27
95.85,k,0.27
96.12,ij,0.27
96.39,u,0.54
96.93,hi,0.27
97.20,j,0.27
97.47,ku,0.27
97.74,ou,0.27
98.01,jly,0.54
98.55,ijy,0.27
98.82,y,0.27
99.09,i,0.27
99.36,ijy,0.81
100.17,hk,0.27
100.44,y,0.27
100.71,iy,0.27
100.98,hy,0.27
101.25,y,0.27
101.52,iy,0.27
101.79,jy,0.27
102.06,y,0.27
102.33,h,0.27
102.60,ip,0.27
102.87,o,0.27
103.14,iy,0.27
103.41,y,0.27
103.68,u,0.27
103.95,hk,0.27
104.22,y,0.27
104.49,iky,0.27
104.76,h,0.27
105.03,hy,0.27
105.30,y,0.27
105.57,iy,0.27
105.84,jy,0.27
106.11,y,0.27
106.38,ijp,0.27
106.65,p,0.27
106.92,py,0.27
107.19,y,0.27
107.46,iy,0.27
107.73,hk,0.27
108.00,y,0.27
108.27,iky,0.27
108.54,h,0.27
108.81,ho,0.27
109.08,u,0.27
109.35,j,0.27
109.62,jy,0.27
109.89,k,0.27
110.16,il,0.27
110.43,;,0.27
110.70,;ijp,0.27
110.97,j,0.27
111.24,;i,0.81
112.05,;h,0.27
112.32,,,0.27
112.59,,hiy,0.27
112.86,m,0.27
113.13,m,0.27
113.40,l,0.27
113.67,;p,0.27
113.94,y,0.27
114.21,i,0.54
114.75,;o,0.27
115.02,,,0.27
115.29,,hy,0.27
115.56,m,0.27
115.83,im,0.27
116.10,l,0.27
116.37,;y,0.27
116.64,iy,0.27
116.91,y,0.54
117.45,;j,0.27
117.72,n,0.27
117.99,nou,0.27
118.26,;,0.27
118.53,l,0.27
118.80,j,0.27
119.07,hik,0.54
119.61,h,0.27
119.88,j,0.27
120.15,ku,0.27
120.42,ou,0.27
120.69,l,0.54
121.23,;i,0.27
121.50,h,0.27
121.77,iy,0.27
122.04,;h,0.27
122.31,,,0.27
122.58,,hiy,0.27
122.85,m,0.27
123.12,m,0.27
123.39,l,0.27
123.66,;p,0.27
123.93,y,0.27
124.20,i,0.54
124.74,;o,0.27
125.01,,,0.27
125.28,,hy,0.27
125.55,m,0.27
125.82,im,0.27
126.09,l,0.27
126.36,;y,0.27
126.63,iy,0.27
126.90,y,0.54
127.44,;j,0.27
127.71,n,0.27
127.98,nou,0.27
128.25,;,0.27
128.52,l,0.27
128.79,k,0.27
129.06,ij,0.27
129.33,y,0.27
129.60,h,0.27
129.87,j,0.27
130.14,ko,0.27
130.41,o,0.27
130.68,l,0.27
130.95,ij,0.27
131.22,u,0.27
131.49,p,0.27
131.76,hiy,0.50
