# 艾斯奥特曼主题曲
# Converted from SkyStudio format
# BPM: 255
# Total chords: 131

Time,Keys,Duration
0.23,no,0.23
0.47,no,0.47
0.94,no,0.23
1.18,mp,0.47
1.65,no,0.47
2.12,;i,0.47
2.58,j,0.47
3.06,i,0.47
3.52,j,0.47
4.00,;i,0.47
4.46,j,0.47
4.93,i,0.47
5.41,;i,0.23
5.64,;,0.47
6.11,;,0.23
6.34,,h,0.47
6.82,p,0.47
7.29,o,0.47
7.75,i,0.47
8.22,h,0.47
8.70,p,0.47
9.16,o,0.47
9.63,i,0.47
10.11,;h,0.23
10.34,;,0.23
10.57,p,0.23
10.81,l,0.23
11.04,ko,0.23
11.28,k,0.23
11.52,ik,0.23
11.75,j,0.23
11.98,h,0.23
12.22,h,0.23
12.46,hp,0.23
12.69,k,0.23
12.93,;o,0.23
13.16,;,0.23
13.39,;i,0.47
13.87,nu,0.23
14.10,n,0.23
14.34,nu,0.23
14.57,;,0.23
14.80,hl,0.23
15.04,l,0.23
15.28,lu,0.23
15.51,k,0.23
15.74,ij,0.23
15.98,j,0.23
16.21,ju,0.23
16.45,k,0.23
16.68,jy,0.47
17.16,j,0.47
17.62,h,0.23
17.86,h,0.23
18.09,hp,0.23
18.33,k,0.23
18.57,;o,0.23
18.80,;,0.23
19.04,;i,0.47
19.50,lu,0.23
19.74,l,0.23
19.98,lu,0.23
20.21,;,0.23
20.45,hn,0.23
20.68,n,0.23
20.91,nu,0.47
21.39,;h,0.23
21.62,;,0.23
21.86,;h,0.23
22.09,;,0.23
22.32,;h,0.23
22.56,k,0.23
22.80,h,0.23
23.03,h,0.23
23.27,ij,0.47
23.73,ij,0.23
23.97,j,0.23
24.20,h,0.47
24.68,h,0.47
25.14,hno,0.47
25.61,h,0.47
26.09,h,0.47
26.55,hno,0.47
27.02,h,0.47
27.50,h,0.47
27.96,no,0.23
28.20,n,0.23
28.43,no,0.23
28.67,n,0.23
28.91,mp,0.47
29.38,no,0.47
29.84,;i,0.47
30.32,i,0.47
30.79,i,0.47
31.25,;,0.23
31.49,;i,0.23
31.73,;,0.23
31.96,;i,0.23
32.20,;i,0.47
32.66,;i,0.23
32.90,;i,0.47
33.37,i,0.47
33.84,my,0.23
34.08,m,0.23
34.31,p,0.23
34.55,;,0.23
34.78,ky,0.47
35.25,i,0.47
35.72,/o,0.23
35.95,/,0.23
36.19,y,0.23
36.42,.,0.23
36.66,,o,0.47
37.13,o,0.47
37.60,mp,0.23
37.84,mp,0.23
38.07,mp,0.23
38.30,mp,0.23
38.54,,h,0.47
39.01,ky,0.47
39.48,;iy,0.47
39.95,y,0.47
40.42,hky,0.47
40.89,h,0.47
41.36,lu,0.23
41.59,lu,0.23
41.83,lu,0.23
42.06,lu,0.23
42.30,h,0.47
42.77,jo,0.47
43.24,iky,0.50
