# 菊次郎的夏天(夏卡重制版)
# Converted from SkyStudio format
# BPM: 384
# Total chords: 436

Time,Keys,Duration
0.00,D3,0.31
0.31,F#3,0.31
0.62,A3,0.31
0.94,F#3,0.31
1.25,C3,0.31
1.56,E3,0.31
1.87,G3,0.31
2.18,E3,0.31
2.50,C#3,0.31
2.81,F3,0.31
3.12,G#3,0.31
3.43,F3,0.31
3.74,E3,0.31
4.06,G#3,0.31
4.37,C4,0.31
4.68,G#3,0.31
4.99,D3,0.31
5.30,F#3,0.31
5.62,A3,0.31
5.93,F#3,0.31
6.24,C3,0.31
6.55,E3,0.31
6.86,G3,0.31
7.18,E3,0.31
7.49,C#3,0.31
7.80,F3,0.31
8.11,G#3,0.31
8.42,F3,0.31
8.74,E3,0.31
9.05,G#3,0.31
9.36,C#3,0.16
9.52,E3,0.16
9.67,C#3F3,0.16
9.83,F#3,0.16
9.98,D3F3,0.31
10.30,B2E3,0.16
10.45,E3,0.16
10.61,D3,0.31
10.92,B2,0.31
11.23,G3,0.31
11.54,A2,0.31
11.86,C#3C3,0.16
12.01,E3,0.16
12.17,A2F3,0.16
12.32,F#3,0.16
12.48,C#3F3,0.31
12.79,A#2E3,0.16
12.95,F3,0.16
13.10,C#3,0.31
13.42,A#2F#3,0.31
13.73,A2F#3,0.31
14.04,C#3,0.31
14.35,A2C#3,0.16
14.51,E3,0.16
14.66,C#3F3,0.16
14.82,F#3,0.16
14.98,D3F3,0.31
15.29,B2E3,0.16
15.44,E3,0.16
15.60,D3,0.31
15.91,B2,0.31
16.22,G3,0.31
16.54,A2,0.31
16.85,C#3C3,0.16
17.00,E3,0.16
17.16,A2F3,0.16
17.32,F#3,0.16
17.47,F3G#3,0.31
17.78,A#2E3,0.16
17.94,F3,0.16
18.10,C#3,0.31
18.41,A#2G#3,0.31
18.72,A2F#3,0.31
19.03,C#3,0.31
19.34,A2F#3,0.31
19.66,C#3G3,0.31
19.97,C#3G#3,0.31
20.28,A#2G#3,0.16
20.44,G#3,0.16
20.59,C#3,0.31
20.90,A#2G#3,0.31
21.22,C3G#3,0.31
21.53,A2F#3,0.16
21.68,E3,0.16
21.84,C3,0.31
22.15,A2F#3,0.16
22.31,G3,0.16
22.46,B2G#3,0.31
22.78,D#3G#3,0.16
22.93,G#3,0.16
23.09,B2,0.31
23.40,D#3G#3,0.31
23.71,D3G#3,0.31
24.02,B2F#3,0.16
24.18,E3,0.16
24.34,D3,0.31
24.65,B2E3,0.16
24.80,F3,0.16
24.96,A#2F#3,0.31
25.27,D3F#3,0.16
25.43,F#3,0.16
25.58,A2,0.31
25.90,C3F#3,0.31
26.21,C3F#3,0.31
26.52,A2A3,0.31
26.83,C3F#3,0.31
27.14,A2E3,0.31
27.46,C#3F3,0.31
27.77,A#2,0.31
28.08,C#3,0.31
28.39,A#2,0.31
28.70,C#3,0.31
29.02,A#2,0.31
29.33,C#3,0.16
29.48,E3,0.16
29.64,A#2F3,0.16
29.80,F#3,0.16
29.95,D3F3,0.31
30.26,B2E3,0.16
30.42,E3,0.16
30.58,D3,0.31
30.89,B2,0.31
31.20,C3,0.31
31.51,E3,0.31
31.82,C#3G3,0.16
31.98,E3,0.16
32.14,E3F3,0.16
32.29,F#3,0.16
32.45,C#3F3,0.31
32.76,E3F3,0.16
32.92,F3,0.47
33.38,A#2F#3,0.31
33.70,E3F#3,0.31
34.01,C#3,0.31
34.32,C#3E3,0.16
34.48,E3,0.16
34.63,C#3F3,0.16
34.79,F#3,0.16
34.94,D3F3,0.31
35.26,E3F#3,0.16
35.41,E3,0.16
35.57,A3,0.31
