# 菊次郎的夏天
# Converted from SkyStudio format
# BPM: 560
# Total chords: 465

Time,Keys,Duration
0.00,h,0.43
0.43,;,0.43
0.86,,,0.43
1.28,;,0.43
1.71,o,0.43
2.14,k,0.43
2.57,n,0.43
3.00,k,0.43
3.42,p,0.43
3.85,l,0.43
4.28,m,0.43
4.71,l,0.43
5.14,y,0.43
5.56,i,0.43
5.99,k,0.43
6.42,i,0.43
6.85,h,0.43
7.28,;,0.43
7.70,,,0.43
8.13,;,0.43
8.56,o,0.43
8.99,k,0.43
9.42,n,0.43
9.84,k,0.43
10.27,p,0.43
10.70,l,0.43
11.13,m,0.43
11.56,l,0.43
11.98,y,0.43
12.41,i,0.43
12.84,p,0.21
13.05,k,0.21
13.27,l,0.21
13.48,;,0.21
13.70,hl,0.43
14.12,ik,0.21
14.34,k,0.21
14.55,y,0.43
14.98,i,0.43
15.41,o,0.43
15.84,h,0.43
16.26,p,0.21
16.48,k,0.21
16.69,l,0.21
16.91,;,0.21
17.12,lu,0.43
17.55,kp,0.21
17.76,l,0.43
18.19,;,0.64
18.83,;y,0.43
19.26,i,0.43
19.69,p,0.21
19.90,k,0.21
20.12,l,0.21
20.33,;,0.21
20.54,hl,0.43
20.97,ik,0.21
21.19,k,0.21
21.40,y,0.43
21.83,i,0.43
22.26,o,0.43
22.68,h,0.43
23.11,p,0.21
23.33,k,0.21
23.54,l,0.21
23.75,;,0.21
23.97,lu,0.43
24.40,kp,0.21
24.61,l,0.43
25.04,m,0.64
25.68,;y,0.43
26.11,i,0.43
26.54,;,0.43
26.96,n,0.43
27.39,mp,0.43
27.82,jm,0.21
28.03,m,0.21
28.25,l,0.43
28.68,mp,0.43
29.10,mo,0.43
29.53,;,0.21
29.75,k,0.21
29.96,y,0.43
30.39,;i,0.21
30.60,n,0.21
30.82,im,0.43
31.24,mp,0.21
31.46,m,0.21
31.67,j,0.43
32.10,mp,0.43
32.53,hm,0.43
32.96,;i,0.21
33.17,k,0.21
33.38,y,0.43
33.81,k,0.21
34.03,l,0.21
34.24,;u,0.43
34.67,;o,0.21
34.88,;,0.21
35.10,h,0.43
35.52,;o,0.43
35.95,;,0.43
36.38,,,0.43
36.81,lo,0.21
37.02,;,0.11
37.13,l,0.11
37.24,k,0.43
37.66,lp,0.43
38.09,u,0.43
38.52,p,0.43
38.95,h,0.21
39.16,h,0.21
39.38,h,0.43
39.80,j,0.43
40.23,p,0.21
40.45,k,0.21
40.66,l,0.21
40.87,;,0.21
41.09,hl,0.43
41.52,ik,0.21
41.73,k,0.21
41.94,y,0.43
42.37,i,0.43
42.80,o,0.43
43.23,h,0.43
43.66,p,0.21
43.87,k,0.21
44.08,l,0.21
44.30,;,0.21
44.51,lu,0.43
44.94,kp,0.21
45.15,l,0.43
45.58,;,0.64
46.22,;y,0.43
46.65,i,0.43
47.08,p,0.21
47.29,k,0.21
47.51,l,0.21
47.72,;,0.21
47.94,hl,0.43
48.36,ik,0.21
48.58,k,0.21
48.79,y,0.43
49.22,i,0.43
49.65,o,0.43
50.08,h,0.43
50.50,p,0.21
50.72,k,0.21
50.93,l,0.21
51.15,;,0.21
51.36,lu,0.43
51.79,kp,0.21
52.00,l,0.43
52.43,m,0.64
53.07,;y,0.43
53.50,i,0.43
53.93,;,0.43
54.36,n,0.43
54.78,mp,0.43
55.21,jm,0.21
55.43,m,0.21
55.64,l,0.43
56.07,mp,0.43
56.50,mo,0.43
56.92,;,0.21
57.14,k,0.21
57.35,y,0.43
57.78,;i,0.21
57.99,n,0.21
58.21,im,0.43
58.64,mp,0.21
58.85,m,0.21
59.06,j,0.43
59.49,mp,0.43
59.92,hm,0.43
60.35,;i,0.21
60.56,k,0.21
60.78,y,0.43
61.20,k,0.21
61.42,l,0.21
61.63,;u,0.43
62.06,;o,0.21
62.27,;,0.21
62.49,h,0.43
62.92,;o,0.43
63.34,;,0.43
63.77,,,0.43
64.20,l,0.21
64.41,;,0.11
64.52,l,0.11
64.63,k,0.21
64.84,h,0.21
65.06,ky,0.43
65.48,i,0.43
65.91,l,0.43
66.34,m,0.43
66.77,;hk,0.43
67.20,i,0.43
67.62,h,0.43
68.05,i,0.43
68.48,;o,0.43
68.91,h,0.43
69.34,k,0.43
69.76,;,0.43
70.19,lu,0.43
70.62,p,0.43
71.05,j,0.43
71.48,p,0.43
71.90,;km,0.43
72.33,i,0.43
72.76,;,0.43
73.19,l,0.21
73.40,k,0.21
73.62,;im,0.43
74.04,h,0.43
74.47,;,0.43
74.90,l,0.21
75.11,k,0.21
75.33,;mo,0.43
75.76,h,0.43
76.18,;,0.43
76.61,l,0.21
76.83,k,0.21
77.04,jpu,0.86
77.90,p,0.86
78.75,my,0.21
78.97,p,0.21
79.18,k,0.21
79.39,l,0.21
79.61,im,0.21
79.82,l,0.21
80.04,k,0.21
80.25,p,0.21
80.46,mo,0.21
80.68,p,0.21
80.89,k,0.21
81.11,l,0.21
81.32,im,0.21
81.53,l,0.21
81.75,k,0.21
81.96,p,0.21
82.18,my,0.21
82.39,p,0.21
82.60,k,0.21
82.82,l,0.21
83.03,im,0.21
83.25,l,0.21
83.46,k,0.21
83.67,p,0.21
83.89,mo,0.21
84.10,p,0.21
84.32,k,0.21
84.53,l,0.21
84.74,im,0.21
84.96,l,0.21
85.17,k,0.21
85.39,p,0.21
85.60,/o,0.21
85.81,k,0.21
86.03,n,0.21
86.24,m,0.21
86.46,/k,0.21
86.67,m,0.21
86.88,n,0.21
87.10,k,0.21
87.31,/o,0.21
87.53,k,0.21
87.74,n,0.21
87.95,m,0.21
88.17,/k,0.21
88.38,m,0.21
88.60,n,0.21
88.81,k,0.21
89.02,/o,0.21
89.24,k,0.21
89.45,n,0.21
89.67,m,0.21
89.88,/k,0.21
90.09,m,0.21
90.31,n,0.21
90.52,k,0.21
90.74,/o,0.21
90.95,k,0.21
91.16,n,0.21
91.38,im,0.21
91.59,/,0.21
91.81,m,0.21
92.02,nu,0.21
92.23,k,0.21
92.45,jm,0.43
92.88,jm,0.21
93.09,jm,0.64
93.73,mp,0.43
94.16,mo,0.43
94.59,;,0.21
94.80,k,0.21
95.02,y,0.43
95.44,;i,0.21
95.66,n,0.21
95.87,imp,0.43
96.30,imp,0.21
96.51,imp,0.64
97.16,mp,0.43
97.58,hm,0.43
98.01,;i,0.21
98.23,k,0.21
98.44,y,0.43
98.87,k,0.21
99.08,l,0.21
99.30,;u,0.43
99.72,;o,0.21
99.94,;,0.21
100.15,h,0.43
100.58,;o,0.43
101.01,;,0.43
