# 萤火之森
# Converted from SkyStudio format
# BPM: 285
# Total chords: 535

Time,Keys,Duration
0.00,.h,0.42
0.42,/,0.21
0.63,m,0.21
0.84,i,0.21
1.05,;,0.21
1.26,l,0.21
1.47,;,0.21
1.68,lo,0.42
2.10,;,0.21
2.31,k,0.21
2.52,y,0.21
2.73,k,0.21
2.94,h,0.21
3.15,k,0.21
3.36,lp,0.42
3.78,;,0.21
3.99,m,0.21
4.20,p,0.21
4.41,l,0.42
4.83,;,0.21
5.04,y,0.42
5.46,m,0.21
5.67,l,0.21
5.88,u,0.42
6.30,k,0.21
6.51,j,0.21
6.72,.h,0.42
7.14,/,0.21
7.35,m,0.21
7.56,h,0.21
7.77,;,0.21
7.98,l,0.21
8.19,;,0.21
8.40,lo,0.42
8.82,;,0.21
9.03,k,0.21
9.24,o,0.21
9.45,k,0.21
9.66,h,0.21
9.87,k,0.21
10.08,lp,0.42
10.50,;,0.21
10.71,k,0.21
10.92,p,0.42
11.34,j,0.21
11.55,k,0.21
11.76,y,0.42
12.18,p,0.21
12.39,k,0.21
12.60,p,0.21
12.81,j,0.21
13.02,k,0.42
13.44,.h,0.42
13.86,/,0.21
14.07,m,0.21
14.28,h,0.21
14.49,;,0.21
14.70,l,0.21
14.91,;,0.21
15.12,lo,0.42
15.54,;,0.21
15.75,k,0.21
15.96,y,0.21
16.17,k,0.21
16.38,h,0.21
16.59,k,0.21
16.80,lp,0.42
17.22,;,0.21
17.43,m,0.21
17.64,p,0.21
17.85,l,0.42
18.27,;,0.21
18.48,y,0.21
18.69,k,0.21
18.90,m,0.21
19.11,l,0.21
19.32,u,0.21
19.53,j,0.21
19.74,k,0.21
19.95,j,0.21
20.16,.h,0.21
20.37,i,0.21
20.58,/,0.21
20.79,m,0.21
21.00,h,0.21
21.21,;,0.21
21.42,l,0.21
21.63,;,0.21
21.84,lo,0.42
22.26,;y,0.21
22.47,k,0.21
22.68,o,0.21
22.89,k,0.21
23.10,h,0.21
23.31,k,0.21
23.52,lp,0.42
23.94,;,0.21
24.15,k,0.21
24.36,u,0.21
24.57,jp,0.42
24.99,k,0.21
25.20,y,0.42
25.62,o,0.21
25.83,i,1.05
26.88,hm,0.21
27.09,i,0.21
27.30,h,0.42
27.72,j,0.21
27.93,k,0.21
28.14,im,0.21
28.35,m,0.21
28.56,o,0.42
28.98,ky,0.21
29.19,k,0.21
29.40,o,0.42
29.82,h,0.42
30.24,mp,0.42
30.66,u,0.42
31.08,j,0.21
31.29,k,0.21
31.50,mp,0.21
31.71,m,0.21
31.92,y,0.21
32.13,p,0.21
32.34,;,0.21
32.55,l,0.21
32.76,u,0.21
32.97,p,0.21
33.18,k,0.21
33.39,j,0.21
33.60,hm,0.42
34.02,i,0.21
34.23,h,0.21
34.44,j,0.21
34.65,k,0.21
34.86,m,0.21
35.07,m,0.21
35.28,u,0.42
35.70,ky,0.21
35.91,k,0.21
36.12,o,0.84
36.96,mp,0.42
37.38,u,0.42
37.80,j,0.21
38.01,k,0.21
38.22,mp,0.21
38.43,m,0.21
38.64,y,0.21
38.85,p,0.21
39.06,l,0.21
39.27,k,0.21
39.48,u,0.21
39.69,p,0.21
39.90,j,0.21
40.11,k,0.21
40.32,hm,0.42
40.74,i,0.21
40.95,h,0.21
41.16,j,0.21
41.37,k,0.21
41.58,m,0.21
41.79,m,0.21
42.00,u,0.42
42.42,k,0.21
42.63,k,0.21
42.84,o,0.84
43.68,mp,0.42
44.10,u,0.42
44.52,j,0.21
44.73,k,0.21
44.94,mp,0.21
45.15,m,0.21
45.36,y,0.21
45.57,p,0.21
45.78,;,0.21
45.99,l,0.21
46.20,u,0.21
46.41,p,0.21
46.62,k,0.21
46.83,j,0.21
47.04,hm,0.42
47.46,i,0.21
47.67,h,0.21
47.88,j,0.21
48.09,k,0.21
48.30,m,0.21
48.51,m,0.21
48.72,u,0.42
49.14,k,0.21
49.35,k,0.21
49.56,o,0.42
49.98,h,0.21
50.19,k,0.21
50.40,lp,0.21
50.61,lu,0.21
50.82,;,0.21
51.03,k,0.21
51.24,p,0.42
51.66,j,0.21
51.87,k,0.21
52.08,y,0.21
52.29,p,0.21
52.50,o,0.21
52.71,i,1.05
53.76,.h,0.21
53.97,i,0.21
54.18,/,0.21
54.39,m,0.21
54.60,h,0.21
54.81,;,0.21
55.02,il,0.21
55.23,;,0.21
55.44,lo,0.21
55.65,y,0.21
55.86,;,0.21
56.07,k,0.21
56.28,o,0.21
56.49,k,0.21
56.70,hy,0.21
56.91,k,0.21
57.12,lp,0.42
57.54,;,0.21
57.75,m,0.21
57.96,u,0.21
58.17,l,0.21
58.38,p,0.21
58.59,;,0.21
58.80,y,0.21
59.01,p,0.21
59.22,km,0.21
59.43,l,0.21
59.64,j,0.21
59.85,p,0.21
60.06,k,0.21
60.27,j,0.21
60.48,.h,0.21
60.69,i,0.21
60.90,/,0.21
61.11,m,0.21
61.32,h,0.21
61.53,;,0.21
61.74,il,0.21
61.95,;,0.21
62.16,lo,0.21
62.37,y,0.21
62.58,;,0.21
62.79,k,0.21
63.00,o,0.21
63.21,k,0.21
63.42,h,0.21
63.63,k,0.21
63.84,lp,0.21
64.05,u,0.21
64.26,;,0.21
64.47,k,0.21
64.68,p,0.21
64.89,j,0.21
65.10,u,0.21
65.31,k,0.21
65.52,y,0.42
65.94,l,0.21
66.15,k,0.21
66.36,ju,0.21
66.57,p,0.21
66.78,j,0.21
66.99,k,0.21
67.20,.h,0.21
67.41,i,0.21
67.62,/,0.21
67.83,m,0.21
68.04,h,0.21
68.25,;,0.21
68.46,il,0.21
68.67,;,0.21
68.88,lo,0.21
69.09,y,0.21
69.30,;,0.21
69.51,k,0.21
69.72,o,0.21
69.93,k,0.21
70.14,hy,0.21
70.35,k,0.21
70.56,lp,0.21
70.77,lu,0.21
70.98,;,0.21
71.19,m,0.21
71.40,p,0.21
71.61,l,0.21
71.82,p,0.21
72.03,;,0.21
72.24,y,0.21
72.45,p,0.21
72.66,k,0.21
72.87,p,0.21
73.08,j,0.21
73.29,m,0.21
73.50,.,0.42
73.92,.h,0.21
74.13,i,0.21
74.34,/,0.21
74.55,m,0.21
74.76,h,0.21
74.97,;,0.21
75.18,il,0.21
75.39,;,0.21
75.60,lo,0.21
75.81,y,0.21
76.02,;,0.21
76.23,k,0.21
76.44,o,0.21
76.65,k,0.21
76.86,hy,0.21
77.07,k,0.21
77.28,lp,0.42
77.70,;,0.21
77.91,k,0.21
78.12,u,0.42
78.54,j,0.21
78.75,k,0.21
78.96,ky,0.42
79.38,p,0.42
79.80,k,0.84
80.64,hm,0.42
81.06,y,0.21
81.27,i,0.21
81.48,jo,0.21
81.69,k,0.21
81.90,my,0.21
82.11,m,0.21
82.32,o,0.42
82.74,k,0.21
82.95,k,1.05
84.00,mp,0.42
84.42,u,0.21
84.63,p,0.21
84.84,j,0.21
85.05,k,0.21
85.26,m,0.21
85.47,m,0.21
85.68,y,0.21
85.89,p,0.21
86.10,;k,0.21
86.31,l,0.21
86.52,j,0.21
86.73,m,0.21
86.94,.k,0.21
87.15,j,0.21
87.36,p,0.42
87.78,i,0.21
87.99,h,0.21
88.20,j,0.21
88.41,k,0.21
88.62,m,0.21
88.83,m,0.21
89.04,o,0.21
89.25,y,0.21
89.46,k,0.21
89.67,k,0.21
89.88,o,0.42
90.30,y,0.21
90.51,k,0.21
90.72,lp,0.42
91.14,;p,0.21
91.35,k,0.21
91.56,u,0.21
91.77,j,0.42
92.19,k,0.21
92.40,y,0.21
92.61,p,0.21
92.82,k,0.21
93.03,m,0.21
93.24,k,0.84
94.08,.h,0.21
94.29,i,0.21
94.50,/,0.21
94.71,m,0.21
94.92,h,0.21
95.13,;,0.21
95.34,il,0.21
95.55,;,0.21
95.76,lo,0.21
95.97,y,0.21
96.18,;,0.21
96.39,k,0.21
96.60,p,0.21
96.81,k,0.21
97.02,hy,0.21
97.23,k,0.21
97.44,lp,0.21
97.65,u,0.21
97.86,;,0.21
98.07,m,0.21
98.28,p,0.21
98.49,l,0.21
98.70,u,0.21
98.91,;,0.21
99.12,y,0.21
99.33,p,0.21
99.54,km,0.21
99.75,l,0.21
99.96,j,0.21
100.17,m,0.21
100.38,/,0.21
100.59,.,0.21
100.80,.h,0.21
101.01,i,0.21
101.22,/,0.21
101.43,m,0.21
101.64,h,0.21
101.85,;,0.21
102.06,il,0.21
102.27,;,0.21
102.48,lo,0.21
102.69,y,0.21
102.90,;,0.21
103.11,k,0.21
103.32,p,0.21
103.53,k,0.21
103.74,hy,0.21
103.95,k,0.21
104.16,lp,0.21
104.37,u,0.21
104.58,;,0.21
104.79,k,0.21
105.00,p,0.21
105.21,j,0.21
105.42,u,0.21
105.63,k,0.21
105.84,y,0.42
106.26,l,0.21
106.47,ky,0.42
106.89,p,0.21
107.10,j,0.21
107.31,k,0.21
107.52,.h,0.21
107.73,i,0.21
107.94,/,0.21
108.15,m,0.21
108.36,h,0.21
108.57,;,0.21
108.78,il,0.21
108.99,;,0.21
109.20,lo,0.21
109.41,y,0.21
109.62,;,0.21
109.83,k,0.21
110.04,p,0.21
110.25,k,0.21
110.46,hy,0.21
110.67,k,0.21
110.88,lp,0.21
111.09,u,0.21
111.30,;,0.21
111.51,m,0.21
111.72,p,0.21
111.93,l,0.21
112.14,u,0.21
112.35,;,0.21
112.56,y,0.21
112.77,p,0.21
112.98,km,0.42
113.40,jl,0.21
113.61,p,0.21
113.82,kl,0.42
114.24,.h,0.21
114.45,i,0.21
114.66,/,0.21
114.87,m,0.21
115.08,h,0.21
115.29,;,0.21
115.50,il,0.21
115.71,;,0.21
115.92,lo,0.21
116.13,y,0.21
116.34,;,0.21
116.55,k,0.21
116.76,p,0.21
116.97,k,0.21
117.18,hy,0.21
117.39,k,0.21
117.60,lp,0.42
118.02,;,0.21
118.23,k,0.21
118.44,u,0.21
118.65,j,0.42
119.07,k,0.21
119.28,y,0.42
119.70,p,0.42
120.12,k,0.84
120.96,.h,0.42
121.38,/,0.21
121.59,m,0.42
122.01,;,0.21
122.22,l,0.21
122.43,;,0.21
122.64,lo,0.42
123.06,;,0.21
123.27,k,0.42
123.69,k,0.21
123.90,h,0.21
124.11,k,0.21
124.32,lp,0.42
124.74,;,0.21
124.95,m,0.42
125.37,l,0.42
125.79,;,0.21
126.00,y,0.21
126.21,p,0.21
126.42,m,0.21
126.63,l,0.42
127.05,p,0.21
127.26,k,0.21
127.47,j,0.21
127.68,.h,0.42
128.10,/,0.21
128.31,m,0.42
128.73,;,0.21
128.94,l,0.21
129.15,;,0.21
129.36,lo,0.42
129.78,;,0.21
129.99,k,0.42
130.41,k,0.21
130.62,h,0.21
130.83,k,0.21
131.04,lp,0.42
131.46,;,0.21
131.67,k,0.63
132.30,j,0.21
132.51,k,0.21
132.72,y,0.42
133.14,p,0.42
133.56,y,0.42
133.98,o,0.42
134.40,;kpy,0.50
