# 蓝色多瑙河
# Converted from SkyStudio format
# BPM: 480
# Total chords: 93

Time,Keys,Duration
0.00,E3,0.50
0.50,F#3,0.50
1.00,G#3,0.50
1.50,A2G#3,0.50
2.00,B2C#3,0.50
2.50,B2C#3F#3G#3,0.50
3.00,A2F#3G#3,0.50
3.50,B2C#3,0.50
4.00,B2C#3E3F#3,0.50
4.50,A2E3F#3,0.50
5.00,B2C#3,0.50
5.50,B2C#3E3,0.50
6.00,A2E3,0.50
6.50,B2C#3F#3,0.50
7.00,B2C#3G#3,0.50
7.50,A#2G#3,0.50
8.00,C#3C3,0.50
8.50,C#3C3G#3G3,0.50
9.00,A#2G#3G3,0.50
9.50,C#3C3,0.50
10.00,C#3C3D#3G3,0.50
10.50,A#2D#3G3,0.50
11.00,C#3C3,0.50
11.50,C#3C3D#3,0.50
12.00,A#2D#3,0.50
12.50,C#3C3F3,0.50
13.00,A3C#3C3,0.50
13.50,A#2A3,0.50
14.00,C#3C3,0.50
14.50,A3C#3C3G3,0.50
15.00,A#2A3G3,0.50
15.50,C#3C3,0.50
16.00,C#3C3D#3G3,0.50
16.50,C#3D#3G3,0.50
17.00,C#3C3,0.50
17.50,C#3C3D#3,0.50
18.00,A2D#3,0.50
18.50,B2C#3F3,0.50
19.00,A3B2C#3,0.50
19.50,A2A3,0.50
20.00,B2C#3,0.50
20.50,A3B2C#3F#3,0.50
21.00,A2A3F#3,0.50
21.50,B2C#3,0.50
22.00,B2C#3E3F#3,0.50
22.50,A2E3F#3,0.50
23.00,B2C#3,0.50
23.50,B2C#3E3,0.50
24.00,A2E3,0.50
24.50,B2C#3F#3,0.50
25.00,B2C#3G#3,0.50
25.50,B2C4,0.50
26.00,C#3E3,0.50
26.50,C#3C4E3G#3,0.50
27.00,B2C4G#3,0.50
27.50,C#3E3,0.50
28.00,C#3E3F#3G#3,0.50
28.50,B2F#3G#3,0.50
29.00,C#3E3,0.50
29.50,C#3E3,0.50
30.00,B2E3,0.50
30.50,C#3E3F#3,0.50
31.00,C#3E3G#3,0.50
31.50,C3C4,0.50
32.00,D3E3F3,0.50
32.50,A3C4D3E3F3,0.50
33.00,A3C3C4,0.50
33.50,D3E3F3,0.50
34.00,A3D3E3F3G3,0.50
34.50,A3C3D3E3F3G3,1.00
35.50,A#2F3,0.50
36.00,A#2F3,0.50
36.50,C3G3,0.50
37.00,A3D3,0.50
37.50,A#2A3,0.50
38.00,C#3C3,0.50
38.50,C#3C3,0.50
39.00,C#3,0.50
39.50,C#3C3,0.50
40.00,C#3C3,0.50
40.50,A2F#3,0.50
41.00,B2C#3,0.50
41.50,B2C#3,0.50
42.00,B2,0.50
42.50,C#3C4E3,0.50
43.00,C#3E3F#3,0.50
43.50,C3D3E3F#3,1.00
44.50,F3,0.50
45.00,A3C#3D#3,1.00
46.00,G#3,0.50
46.50,A2B2C#3E3,0.75
47.25,C4F#3G#3,0.25
47.50,A2C#3C4F#3G#3,0.50
