# 蜜雪冰城主题曲
# Converted from SkyStudio format
# BPM: 352
# Total chords: 74

Time,Keys,Duration
2.04,E3,0.17
2.21,F3,0.17
2.38,A2C#3F#3,0.34
2.72,B2G#3,0.34
3.06,E3G#3,0.34
3.40,B2,0.17
3.57,A3,0.17
3.74,A2G#3,0.34
4.08,B2F#3,0.34
4.42,C#3E3,0.34
4.76,B2,0.17
4.93,F3,0.17
5.10,A2C#3F#3,0.34
5.44,B2F#3,0.34
5.78,E3F3,0.34
6.12,B2E3,0.34
6.46,C#3D#3F3,0.34
6.80,A#2,0.34
7.14,C#3D#3,0.34
7.48,A#2E3,0.17
7.65,F3,0.17
7.82,A2C#3F#3,0.34
8.16,B2G#3,0.34
8.50,E3G#3,0.34
8.84,B2,0.17
9.01,A3,0.17
9.18,A2G#3,0.34
9.52,B2F#3,0.34
9.86,C#3E3,0.34
10.20,B2,0.17
10.37,F3,0.17
10.54,A2C#3F#3,0.34
10.88,B2F#3,0.34
11.22,C#3D#3F3,0.34
11.56,A#2C#3F3,0.34
11.90,A2C#3E3,0.34
12.24,C#3,0.34
12.58,B2,0.34
12.92,C#3,0.34
13.26,D3G3,0.34
13.60,A2,0.34
13.94,C3D3G3,0.34
14.28,A2,0.17
14.45,G#3,0.17
14.62,A3C3D3,0.34
14.96,A2A3,0.34
15.30,C3D3,0.34
15.64,A2,0.17
15.81,A3,0.17
15.98,A2C#3G#3,0.34
16.32,B2G#3,0.34
16.66,C#3E3F#3,0.34
17.00,B2E3,0.34
17.34,C#3D#3F3,0.34
17.68,A#2,0.34
18.02,C#3D#3,0.34
18.36,A#2E3,0.17
18.53,F3,0.17
18.70,A2C#3F#3,0.34
19.04,B2G#3,0.34
19.38,E3G#3,0.34
19.72,B2,0.17
19.89,A3,0.17
20.06,A2C#3G#3,0.34
20.40,B2F#3,0.34
20.74,C#3E3,0.34
21.08,B2,0.17
21.25,F3,0.17
21.42,A2C#3F#3,0.34
21.76,B2C#3F#3,0.34
22.10,C#3D#3F3,0.34
22.44,A#2C#3F3,0.34
22.78,A2C#3E3,0.68
23.46,B2C#3C4E3F#3,0.50
