# 让我们荡起双桨 烛子ikina
# Converted from SkyStudio format
# BPM: 400
# Total chords: 66

Time,Keys,Duration
1.50,D3,0.30
1.80,E3,0.30
2.10,F3,0.30
2.40,D3F#3,0.90
3.30,G#3,0.30
3.60,A#2F#3,0.30
3.90,E3,0.30
4.20,F3,0.60
4.80,A2D3,1.20
6.00,B2,0.30
6.30,E3,0.30
6.60,F3,0.30
6.90,F#3,0.30
7.20,E3G#3,0.90
8.10,G#3,0.30
8.40,A3D#3,0.60
9.00,F3,0.60
9.60,B2F#3,1.20
10.80,B2,0.60
11.40,F#3,0.30
11.70,G#3,0.30
12.00,A3E3,1.20
13.20,D#3G#3,0.90
14.10,A3,0.30
14.40,C4D3,0.30
14.70,A#3,0.15
14.85,A3,0.15
15.00,G#3,0.30
15.30,A3,0.30
15.60,A2F#3,0.60
16.20,E3,0.30
16.50,F3,0.30
16.80,E3F#3,0.90
17.70,G#3,0.30
18.00,C3E3,0.60
18.60,D3,0.60
19.20,D3E3,0.30
19.50,F3,0.30
19.80,F#3,0.30
20.10,A3,0.30
20.40,B2G#3,2.40
22.80,A2F#3,1.20
24.00,A3C3,0.90
24.90,A3,0.30
25.20,E3G#3,0.30
25.50,G3,0.30
25.80,F#3,0.60
26.40,B2F3,1.20
27.60,A2F#3,0.90
28.50,G#3,0.30
28.80,C3D3,0.30
29.10,E3,0.30
29.40,F3,0.60
30.00,B2,0.60
30.60,E3,0.30
30.90,F3,0.30
31.20,D3F#3,0.60
31.80,G#3,0.30
32.10,G#3,0.30
32.40,A3C3,0.60
33.00,C4,0.60
33.60,A#3B2,0.30
33.90,A3,0.30
34.20,G#3,0.30
34.50,F#3,0.30
34.80,A3D3,0.50
