# 让风告诉你 原神拜年纪
# Converted from SkyStudio format
# BPM: 520
# Total chords: 503

Time,Keys,Duration
2.07,;,0.23
2.30,l,0.23
2.53,k,0.23
2.76,k,0.23
2.99,p,0.23
3.22,k,0.23
3.45,p,0.23
3.68,k,0.46
4.14,l,0.46
4.60,k,0.23
4.83,l,0.23
5.06,;,0.23
5.29,n,0.23
5.52,;,0.46
5.98,l,0.23
6.21,k,0.23
6.44,k,0.46
6.90,m,0.23
7.13,k,0.23
7.36,k,0.46
7.82,m,0.23
8.05,k,0.23
8.28,k,0.46
8.74,h,0.46
9.20,p,0.23
9.43,;,0.23
9.66,l,0.23
9.89,k,0.23
10.12,k,0.23
10.35,p,0.23
10.58,k,0.23
10.81,p,0.23
11.04,k,0.46
11.50,l,0.46
11.96,k,0.23
12.19,l,0.23
12.42,;,0.23
12.65,n,0.23
12.88,l,0.23
13.11,;,0.23
13.34,l,0.23
13.57,k,0.23
13.80,k,0.46
14.26,m,0.23
14.49,k,0.23
14.72,k,0.46
15.18,m,0.23
15.41,k,0.23
15.64,k,0.46
16.10,l,0.46
16.56,k,1.15
17.71,m,0.12
17.82,;,0.12
17.94,;,0.12
18.05,;,0.12
18.17,;,0.23
18.40,l,0.23
18.63,;,0.12
18.75,l,0.23
18.98,k,0.12
19.09,k,0.46
19.55,m,0.12
19.66,;,0.12
19.78,;,0.12
19.89,;,0.12
20.01,;,0.23
20.24,l,0.23
20.47,;,0.12
20.59,n,0.23
20.82,;,0.12
20.93,k,0.46
21.39,h,0.23
21.62,k,0.23
21.85,l,0.23
22.08,n,0.23
22.31,;,0.23
22.54,k,0.23
22.77,k,0.46
23.23,k,0.12
23.34,k,0.12
23.46,k,0.12
23.57,k,0.12
23.69,;,0.23
23.92,k,0.12
24.04,k,0.12
24.15,k,0.12
24.27,k,0.12
24.38,;,0.69
25.07,k,0.12
25.18,k,0.12
25.30,k,0.12
25.41,k,0.12
25.53,;,0.23
25.76,k,0.12
25.88,k,0.12
25.99,k,0.12
26.11,k,0.12
26.22,;,0.69
26.91,k,0.12
27.02,k,0.12
27.14,k,0.12
27.25,k,0.12
27.37,;,0.23
27.60,k,0.12
27.71,k,0.12
27.83,k,0.12
27.95,k,0.12
28.06,;,0.69
28.75,k,0.12
28.86,k,0.12
28.98,k,0.12
29.09,k,0.12
29.21,;,0.23
29.44,k,0.12
29.55,k,0.12
29.67,k,0.12
29.79,k,0.12
29.90,;,0.69
30.59,k,0.12
30.70,k,0.12
30.82,k,0.12
30.93,k,0.12
31.05,;,0.23
31.28,k,0.12
31.39,k,0.12
31.51,k,0.12
31.62,k,0.12
31.74,;,0.69
32.43,k,0.12
32.55,k,0.12
32.66,k,0.12
32.77,k,0.12
32.89,;,0.23
33.12,k,0.12
33.23,k,0.12
33.35,k,0.12
33.47,k,0.12
33.58,;,1.61
35.19,;,0.23
35.42,l,0.23
35.65,k,0.23
35.88,k,0.23
36.11,p,0.23
36.34,k,0.23
36.57,p,0.23
36.80,k,0.46
37.26,l,0.46
37.72,k,0.23
37.95,l,0.23
38.18,;,0.23
38.41,n,0.23
38.64,;,0.46
39.10,l,0.23
39.33,k,0.23
39.56,k,0.46
40.02,m,0.23
40.25,k,0.23
40.48,k,0.46
40.94,m,0.23
41.17,k,0.23
41.40,k,0.46
41.86,h,0.46
42.32,p,0.23
42.55,;,0.23
42.78,l,0.23
43.01,k,0.23
43.24,k,0.23
43.47,p,0.23
43.70,k,0.23
43.93,p,0.23
44.16,k,0.46
44.62,l,0.46
45.08,k,0.23
45.31,l,0.23
45.54,;,0.23
45.77,n,0.23
46.00,l,0.23
46.23,;,0.23
46.46,l,0.23
46.69,k,0.23
46.92,k,0.46
47.38,m,0.23
47.61,k,0.23
47.84,k,0.46
48.30,m,0.23
48.53,k,0.23
48.76,k,0.46
49.22,l,0.46
49.68,k,1.61
51.29,k,0.12
51.41,h,0.12
51.52,k,0.23
51.75,h,0.23
51.98,l,0.23
52.21,;,0.92
53.13,;,0.12
53.24,l,0.12
53.36,;,0.23
53.59,l,0.23
53.82,.,0.12
53.94,/,1.03
54.97,k,0.12
55.09,h,0.12
55.20,k,0.23
55.43,k,0.23
55.66,k,0.23
55.89,l,0.23
56.12,;,0.23
56.35,n,0.23
56.58,;,0.23
56.81,n,0.23
57.04,m,0.23
57.27,k,0.23
57.50,k,1.15
58.65,k,0.12
58.77,h,0.12
58.88,k,0.23
59.11,h,0.12
59.23,h,0.23
59.45,l,0.12
59.57,;,0.92
60.49,;,0.12
60.60,l,0.12
60.72,;,0.23
60.95,;,0.12
61.06,;,0.23
61.30,.,0.12
61.41,/,0.92
62.33,k,0.12
62.45,h,0.12
62.56,k,0.23
62.79,h,0.12
62.91,k,0.23
63.13,h,0.12
63.25,k,1.38
64.63,;,0.23
64.86,l,0.23
65.09,k,0.23
65.32,k,0.23
65.55,p,0.23
65.78,k,0.23
66.01,p,0.23
66.24,k,0.46
66.70,l,0.46
67.16,k,0.23
67.39,l,0.23
67.62,;,0.23
67.85,n,0.23
68.08,;,0.23
68.31,k,0.23
68.54,l,0.23
68.77,k,0.23
69.00,k,0.46
69.46,m,0.23
69.69,k,0.23
69.92,k,0.46
70.38,m,0.23
70.61,k,0.23
70.84,k,0.46
71.30,h,0.46
71.76,p,0.23
71.99,;,0.23
72.22,l,0.23
72.45,k,0.23
72.68,k,0.23
72.91,p,0.23
73.14,k,0.23
73.37,p,0.23
73.60,k,0.46
74.06,l,0.46
74.52,k,0.23
74.75,l,0.23
74.98,;,0.23
75.21,n,0.23
75.44,l,0.23
75.67,;,0.23
75.90,l,0.23
76.13,k,0.23
76.36,k,0.46
76.82,m,0.23
77.05,k,0.23
77.28,k,0.46
77.74,l,0.46
78.20,k,1.61
79.81,p,0.57
80.39,k,0.57
80.96,l,0.46
81.42,;,0.46
81.88,n,0.69
82.57,m,0.12
82.69,n,0.12
82.80,;,0.46
83.26,l,0.46
83.72,;,0.69
84.41,n,0.12
84.53,;,0.12
84.64,l,0.46
85.10,k,0.46
85.56,l,0.46
86.02,h,0.92
86.94,k,0.92
87.86,k,0.34
88.20,l,0.12
88.32,l,0.23
88.55,j,0.46
89.01,h,0.46
89.47,p,0.92
90.39,;,0.23
90.62,l,0.23
90.85,k,0.23
91.08,k,0.23
91.31,m,0.23
91.54,k,0.23
91.77,m,0.23
92.00,k,0.46
92.46,l,0.46
92.92,k,0.23
93.15,l,0.23
93.38,;,0.23
93.61,n,0.23
93.84,;,0.46
94.30,l,0.23
94.53,k,0.23
94.76,k,0.46
95.22,m,0.23
95.45,k,0.23
95.68,k,0.46
96.14,m,0.23
96.37,k,0.23
96.60,k,0.46
97.06,h,0.46
97.52,p,0.23
97.75,;,0.23
97.98,l,0.23
98.21,k,0.23
98.44,k,0.23
98.67,p,0.23
98.90,k,0.23
99.13,p,0.23
99.36,k,0.46
99.82,l,0.46
100.28,k,0.23
100.51,l,0.23
100.74,;,0.23
100.97,n,0.23
101.20,l,0.23
101.43,;,0.23
101.66,l,0.23
101.89,l,0.23
102.12,k,0.69
102.81,k,0.23
103.04,m,0.23
103.27,n,0.23
103.50,;,0.23
103.73,k,0.23
103.96,k,0.46
104.42,l,0.46
104.88,k,1.15
106.03,;,0.23
106.26,l,0.23
106.49,k,0.23
106.72,k,0.23
106.95,p,0.23
107.18,k,0.23
107.41,p,0.23
107.64,k,0.46
108.10,l,0.46
108.56,k,0.23
108.79,l,0.23
109.02,;,0.23
109.25,n,0.23
109.48,;,0.46
109.94,l,0.23
110.17,k,0.23
110.40,k,0.46
110.86,m,0.23
111.09,k,0.23
111.32,k,0.46
111.78,m,0.23
112.01,k,0.23
112.24,k,0.46
112.70,h,0.46
113.16,p,0.23
113.39,;,0.23
113.62,l,0.23
113.85,k,0.23
114.08,k,0.23
114.31,p,0.23
114.54,k,0.23
114.77,p,0.23
115.00,k,0.46
115.46,l,0.46
115.92,k,0.23
116.15,l,0.23
116.38,;,0.23
116.61,n,0.23
116.84,l,0.23
117.07,;,0.23
117.30,l,0.23
117.53,k,0.23
117.76,k,0.46
118.22,m,0.23
118.45,k,0.23
118.68,k,0.46
119.14,m,0.23
119.37,k,0.23
119.60,k,0.46
120.06,l,0.46
120.52,k,0.23
120.75,;,0.23
120.98,l,0.23
121.21,k,0.23
121.44,k,0.23
121.67,p,0.23
121.90,k,0.23
122.13,p,0.23
122.36,k,0.46
122.82,l,0.46
123.28,k,0.23
123.51,l,0.23
123.74,;,0.23
123.97,n,0.23
124.20,;,0.46
124.66,l,0.23
124.89,k,0.23
125.12,k,0.46
125.58,m,0.23
125.81,k,0.23
126.04,k,0.46
126.50,m,0.23
126.73,k,0.23
126.96,k,0.46
127.42,h,0.46
127.88,p,0.23
128.11,;,0.23
128.34,l,0.23
128.57,k,0.23
128.80,k,0.23
129.03,p,0.23
129.26,k,0.23
129.49,p,0.23
129.72,k,0.46
130.18,l,0.46
130.64,k,0.23
130.87,l,0.23
131.10,;,0.23
131.33,n,0.23
131.56,l,0.23
131.79,;,0.23
132.02,l,0.23
132.25,k,0.23
132.48,k,0.46
132.94,m,0.46
133.40,k,0.46
133.86,l,0.46
134.32,k,1.15
135.47,;,0.23
135.70,l,0.23
135.93,k,0.23
136.16,k,0.23
136.39,p,0.23
136.62,k,0.23
136.85,p,0.23
137.08,k,0.46
137.54,l,0.46
138.00,k,0.23
138.23,l,0.23
138.46,;,0.23
138.69,n,0.23
138.92,;,0.46
139.38,l,0.23
139.61,k,0.23
139.84,k,0.46
140.30,m,0.23
140.53,k,0.23
140.76,k,0.46
141.22,m,0.23
141.45,k,0.23
141.68,k,0.46
142.14,h,0.46
142.60,p,0.23
142.83,;,0.23
143.06,l,0.23
143.29,k,0.23
143.52,k,0.23
143.75,p,0.23
143.98,k,0.23
144.21,p,0.23
144.44,k,0.46
144.90,l,0.46
145.36,k,0.23
145.59,l,0.23
145.82,;,0.23
146.05,n,0.23
146.28,l,0.23
146.51,;,0.23
146.74,l,0.23
146.97,k,0.23
147.20,k,0.46
147.66,m,0.46
