# 说爱你
# Converted from SkyStudio format
# BPM: 240
# Total chords: 379

Time,Keys,Duration
2.00,y,0.25
2.25,k,0.25
2.50,km,0.50
3.00,o,0.25
3.25,k,0.25
3.50,,n,0.50
4.00,p,0.25
4.25,j,0.25
4.50,lm,0.50
5.00,y,0.25
5.25,k,0.25
5.50,l,0.25
5.75,k,0.25
6.00,y,0.25
6.25,k,0.25
6.50,km,0.50
7.00,o,0.25
7.25,k,0.25
7.50,,n,0.50
8.00,p,0.25
8.25,u,0.25
8.50,p,0.25
8.75,j,0.25
9.00,l,0.25
9.25,p,0.25
9.50,k,0.25
9.75,l,0.25
10.00,;py,0.25
10.25,i,0.25
10.50,lp,0.25
10.75,;i,0.25
11.00,ny,0.25
11.25,;o,0.25
11.50,hk,0.25
11.75,l,0.25
12.00,u,0.25
12.25,kp,0.25
12.50,m,0.25
12.75,my,0.25
13.00,i,0.25
13.25,im,0.25
13.50,;i,0.25
13.75,ko,0.25
14.00,y,0.25
14.25,o,0.25
14.50,hk,0.25
14.75,lp,0.25
15.00,;u,0.25
15.25,jn,0.25
15.50,;p,0.25
15.75,p,0.25
16.00,jl,0.25
16.25,k,0.25
16.50,k,0.25
16.75,y,0.25
17.00,ip,0.25
17.25,ik,0.25
17.50,lo,0.25
17.75,;y,0.25
18.00,i,0.25
18.25,lp,0.25
18.50,;i,0.25
18.75,ny,0.25
19.00,;o,0.25
19.25,hk,0.25
19.50,l,0.25
19.75,u,0.25
20.00,kp,0.25
20.25,jm,0.25
20.50,my,0.25
20.75,i,0.25
21.00,m,0.25
21.25,;,0.25
21.50,hkoy,0.25
21.75,y,0.25
22.00,o,0.25
22.25,k,0.25
22.50,jlp,0.25
22.75,;u,0.25
23.00,jn,0.25
23.25,;,0.25
23.50,u,0.25
23.75,lp,0.25
24.00,k,0.25
24.25,kpy,1.00
25.25,k,0.25
25.50,k,0.25
25.75,hiy,0.50
26.25,k,0.25
26.50,k,0.25
26.75,hiy,0.25
27.00,k,0.25
27.25,h,0.25
27.50,k,0.25
27.75,hoy,0.50
28.25,k,0.25
28.50,k,0.25
28.75,hoy,0.50
29.25,k,0.50
29.75,jpu,0.50
30.25,h,0.25
30.50,j,0.25
30.75,k,0.50
31.25,k,0.50
31.75,ikpy,0.50
32.25,k,0.50
32.75,hil,0.50
33.25,k,0.50
33.75,him,0.50
34.25,hik,0.50
34.75,moy,0.25
35.00,m,0.25
35.25,ko,0.50
35.75,lu,0.25
36.00,lp,0.25
36.25,ku,0.25
36.50,ky,0.75
37.25,hi,0.25
37.50,k,0.25
37.75,k,0.25
38.00,p,0.25
38.25,opy,0.25
38.50,o,0.50
39.00,k,0.25
39.25,kpu,0.25
39.50,l,0.25
39.75,jlp,0.25
40.00,;,0.25
40.25,;py,0.50
