# 谁
# Converted from SkyStudio format
# BPM: 250
# Total chords: 295

Time,Keys,Duration
0.00,C3,0.24
0.24,D3,0.24
0.48,E3,0.24
0.72,C#3,0.24
0.96,D#3,0.24
1.20,E3,0.24
1.44,F#3,0.24
1.68,D#3E3,0.24
1.92,D3,0.24
2.16,E3,0.24
2.40,E3,0.24
2.64,F#3,0.24
2.88,E3,0.24
3.12,E3,0.24
3.36,F#3,0.24
3.60,E3,0.24
3.84,C3,0.24
4.08,D3,0.24
4.32,E3,0.24
4.56,C#3,0.24
4.80,D#3,0.24
5.04,E3,0.24
5.28,F#3,0.24
5.52,D#3E3,0.24
5.76,D3,0.24
6.00,E3,0.24
6.24,E3,0.24
6.48,F#3,0.24
6.72,A3,0.24
6.96,F#3,0.24
7.20,E3,0.24
7.44,F#3,0.24
7.68,C3,0.24
7.92,D3,0.24
8.16,A3,0.24
8.40,A3G#3,0.24
8.64,C#3,0.24
8.88,G#3,0.24
9.12,A3,0.24
9.36,F#3,0.24
9.60,D3,0.24
9.84,E3,0.24
10.08,E3,0.24
10.32,D#3,0.24
10.56,A3,0.24
10.80,F#3,0.24
11.04,E3,0.24
11.28,F#3,0.24
11.52,C3,0.24
11.76,D3,0.24
12.00,E3,0.24
12.24,C#3,0.24
12.48,D#3,0.24
12.72,E3,0.24
12.96,F#3,0.24
13.20,D#3E3,0.24
13.44,D3,1.92
15.36,C3,0.24
15.60,D3,0.24
15.84,F#3,0.24
16.08,F3,0.24
16.32,C#3F3,0.24
16.56,D#3E3,0.24
16.80,F3,0.24
17.04,E3,0.24
17.28,D3F#3,0.24
17.52,A2D3,0.24
17.76,A2D3,0.24
18.00,B2,0.24
18.24,A2,0.24
18.48,A2,0.24
18.72,B2,0.24
18.96,A2,0.24
19.20,C3,0.24
19.44,D3,0.24
19.68,F#3,0.24
19.92,F#3,0.24
20.16,C#3F3,0.24
20.40,D#3E3,0.24
20.64,F3,0.48
21.12,D3E3,0.24
21.36,A2,0.24
21.60,A2,0.24
21.84,B2,0.24
22.08,C#3,0.24
22.32,B2,0.24
22.56,A2,0.24
22.80,B2,0.24
23.04,C3,0.24
23.28,D3,0.24
23.52,A3,0.24
23.76,G#3,0.24
24.00,C#3G#3,0.24
24.24,D#3F#3,0.24
24.48,F3,0.24
24.72,E3,0.24
24.96,D3F#3,0.24
25.20,A2D3,0.24
25.44,A2D3,0.24
25.68,B2,0.24
25.92,A2,0.24
26.16,A2,0.24
26.40,B2,0.24
26.64,A2,0.24
26.88,C3,0.24
27.12,D3,0.24
27.36,E3,0.24
27.60,E3,0.24
27.84,C#3F3,0.24
28.08,D#3D3,0.24
28.32,D3,0.24
28.56,E3,0.24
28.80,D3,0.24
29.04,E3,0.24
29.28,E3,0.24
29.52,F#3,0.24
29.76,E3,0.24
30.00,E3,0.24
30.24,F#3,0.24
30.48,E3,0.24
30.72,C3,0.24
30.96,D3,0.24
31.20,F#3,0.24
31.44,F3,0.24
31.68,C#3F3,0.24
31.92,D#3E3,0.24
32.16,F3,0.24
32.40,E3,0.24
32.64,D3F#3,0.24
32.88,A2D3,0.24
33.12,A2D3,0.24
33.36,B2,0.24
33.60,A2,0.24
33.84,A2,0.24
34.08,B2,0.24
34.32,A2,0.24
34.56,C3,0.24
34.80,D3,0.24
35.04,F#3,0.24
35.28,F#3,0.24
35.52,C#3F3,0.24
35.76,D#3E3,0.24
36.00,F3,0.48
36.48,D3E3,0.24
36.72,A2,0.24
36.96,A2,0.24
37.20,B2,0.24
37.44,A2,0.24
37.68,A2,0.24
37.92,B2,0.24
38.16,A2,0.24
38.40,C3,0.24
38.64,D3,0.24
38.88,A3,0.24
39.12,G#3,0.24
39.36,C#3G#3,0.24
39.60,D#3F#3,0.24
39.84,F3,0.24
40.08,E3,0.24
40.32,D3F#3,0.24
40.56,A2D3,0.24
40.80,A2D3,0.24
41.04,B2,0.24
41.28,C#3,0.24
41.52,B2,0.24
41.76,A2,0.24
42.00,B2,0.24
42.24,C3D3E3,0.72
42.96,C#3D#3F3,0.72
43.68,D3,0.48
44.16,A2E3,0.48
44.64,A2C#3E3,0.96
45.60,E3,0.48
46.08,C3D3E3G#3,0.96
47.04,C3D3E3G#3,0.48
47.52,E3,0.48
48.00,C#3G#3,0.48
48.48,D#3,0.48
48.96,F3G#3,0.48
49.44,F#3,0.48
49.92,A2,0.48
50.40,C#3,0.48
50.88,E3,0.48
51.36,F3,0.48
51.84,F3,1.92
53.76,C3D3E3G#3,0.96
54.72,C3D3E3G#3,0.48
55.20,E3,0.48
55.68,C#3G#3,0.48
56.16,D#3,0.48
56.64,B2F#3,0.48
57.12,B2F#3,0.48
57.60,A2,0.48
58.08,C#3,0.48
58.56,E3,0.48
59.04,F3,0.48
59.52,F#3,1.92
61.44,C#3G#3,0.48
61.92,E3,0.48
62.40,C#3G#3,0.48
62.88,E3,0.48
63.36,C#3G#3,0.48
63.84,E3,0.48
64.32,C#3G#3,0.48
64.80,E3,0.48
65.28,A#3D3E3F#3,0.48
65.76,D3,0.48
66.24,C4F#3,0.48
66.72,E3,0.96
67.68,F#3,0.48
68.16,F3,0.48
68.64,E3,0.48
69.12,C3,0.48
69.60,D3E3,0.48
70.08,E3,0.48
70.56,C#3E3,0.48
71.04,D#3F3,0.48
71.52,D3,0.48
72.00,E3,0.72
72.72,E3,0.24
72.96,A2,0.48
73.44,C#3,0.48
73.92,E3,0.48
74.40,F3,0.48
74.88,F#3,1.44
76.32,E3,0.48
76.80,C3D3E3G#3,0.96
77.76,C3D3E3G#3,0.48
78.24,E3,0.48
78.72,C#3G#3,0.48
79.20,D#3,0.48
79.68,F3G#3,0.48
80.16,F#3,0.48
80.64,A2,0.48
81.12,C#3,0.48
81.60,E3,0.48
82.08,F3,0.48
82.56,F3,1.44
84.00,E3,0.48
84.48,C3D3E3G#3,0.96
85.44,C3D3E3G#3,0.48
85.92,E3,0.48
86.40,C#3G#3,0.48
86.88,D#3,0.48
87.36,B2F#3,0.48
87.84,B2F#3,0.48
88.32,A2,0.48
88.80,C#3,0.48
89.28,E3,0.48
89.76,F3,0.48
90.24,F#3,1.92
92.16,B2C#3G#3,0.48
92.64,E3,0.48
93.12,C#3G#3,0.48
93.60,E3,0.48
94.08,C#3G#3,0.48
94.56,E3,0.48
95.04,C#3G#3,0.48
95.52,E3,0.48
96.00,A#3D3E3F#3,0.48
96.48,D3,0.48
96.96,C4F#3,0.48
97.44,E3,0.96
98.40,F#3,0.48
98.88,F3,0.48
99.36,E3,0.48
99.84,C3,0.48
100.32,D3E3,0.48
100.80,E3,0.48
101.28,C#3E3,0.48
101.76,D#3F3,0.48
102.24,D3,0.48
102.72,E3,0.72
103.44,E3,0.24
103.68,A2,0.48
104.16,C#3,0.48
104.64,E3,0.48
105.12,F3,0.48
105.60,F#3,1.92
107.52,F#3,0.48
