# 负重一万斤长大
# Converted from SkyStudio format
# BPM: 300
# Total chords: 464

Time,Keys,Duration
0.80,k,0.40
1.20,k,0.40
1.60,h,0.40
2.00,ly,0.40
2.40,o,0.40
2.80,hk,0.40
3.20,ho,0.40
3.60,lu,0.40
4.00,p,0.40
4.40,hk,0.40
4.80,ho,0.40
5.20,il,0.40
5.60,;p,0.40
6.00,jl,0.40
6.40,kp,0.40
6.80,y,0.40
7.20,ik,0.40
7.60,kp,0.40
8.00,hi,0.40
8.40,ly,0.40
8.80,o,0.40
9.20,hk,0.40
9.60,o,0.20
9.80,h,0.20
10.00,lu,0.40
10.40,p,0.40
10.80,hk,0.40
11.20,ho,0.40
11.60,il,0.40
12.00,;p,0.40
12.40,jm,0.40
12.80,;p,0.40
13.20,y,0.40
13.60,ik,0.40
14.00,kp,0.40
14.40,ik,0.40
14.80,my,0.40
15.20,;o,0.40
15.60,hm,0.40
16.00,mo,0.40
16.40,u,0.40
16.80,p,0.20
17.00,m,0.20
17.20,jm,0.40
17.60,mp,0.40
18.00,/i,0.40
18.40,.p,0.40
18.80,jm,0.40
19.20,;p,0.40
19.60,y,0.40
20.00,ik,0.40
20.40,kp,0.40
20.80,;i,0.40
21.20,ly,0.40
21.60,o,0.40
22.00,h,0.40
22.40,ko,0.20
22.60,;,0.20
22.80,lu,0.40
23.20,p,0.40
23.60,j,0.40
24.00,kp,0.40
24.40,il,0.40
24.80,kp,0.40
25.20,jl,0.40
25.60,kp,0.40
26.00,iy,0.40
26.40,k,0.40
26.80,iky,0.40
27.20,h,0.40
27.60,hloy,0.40
28.00,y,0.40
28.40,koy,0.40
28.80,h,0.40
29.20,jlpu,0.40
29.60,u,0.40
30.00,kpu,0.40
30.40,h,0.40
30.80,ijlp,0.40
31.20,;i,0.40
31.60,ilp,0.40
32.00,k,0.40
32.40,hi,0.40
32.80,ik,0.40
33.20,hik,0.40
33.60,h,0.40
34.00,hloy,0.40
34.40,y,0.40
34.80,koy,0.60
35.40,h,0.20
35.60,jlpu,0.40
36.00,u,0.40
36.40,kpu,0.40
36.80,h,0.40
37.20,ijlp,0.40
37.60,;i,0.40
38.00,imp,0.40
38.40,;,0.40
38.80,hi,0.40
39.20,ik,0.40
39.60,hik,0.40
40.00,k,0.40
40.40,kmoy,0.40
40.80,;ky,0.40
41.20,kmoy,0.40
41.60,km,0.40
42.00,pu,0.40
42.40,kmu,0.40
42.80,kmpu,0.40
43.20,km,0.40
43.60,/ikp,0.40
44.00,.ik,0.40
44.40,ikmp,0.40
44.80,;k,0.40
45.20,hi,0.40
45.60,ik,0.40
46.00,hik,0.40
46.40,;,0.40
46.80,hloy,0.40
47.20,y,0.40
47.60,oy,0.40
48.00,k,0.20
48.20,;,0.20
48.40,jlpu,0.40
48.80,u,0.40
49.20,pu,0.40
49.60,k,0.40
50.00,ilp,0.40
50.40,ik,0.40
50.80,ilp,0.40
51.20,k,0.40
51.60,ipy,0.40
52.00,py,0.40
52.40,hipy,0.40
52.80,k,0.40
53.20,loy,0.80
54.00,oy,0.40
54.40,k,0.20
54.60,l,0.20
54.80,pu,0.40
55.20,p,0.40
55.60,hpu,0.40
56.00,k,0.40
56.40,ilp,0.80
57.20,ip,0.40
57.60,;,0.20
57.80,l,0.20
58.00,hi,0.40
58.40,p,0.40
58.80,hi,0.40
59.20,k,0.40
59.60,loy,0.80
60.40,oy,0.40
60.80,k,0.20
61.00,l,0.20
61.20,pu,0.40
61.60,p,0.40
62.00,hpu,0.40
62.40,k,0.40
62.80,ilp,0.40
63.20,;,0.40
63.60,imp,0.40
64.00,;,0.40
64.40,;hi,0.40
64.80,p,0.40
65.20,hi,0.40
65.60,k,0.40
66.00,loy,0.80
66.80,oy,0.40
67.20,k,0.20
67.40,l,0.20
67.60,pu,0.40
68.00,p,0.40
68.40,hpu,0.40
68.80,k,0.40
69.20,ilp,0.80
70.00,ip,0.40
70.40,;,0.20
70.60,l,0.20
70.80,hi,0.40
