# 赤岭
# Converted from SkyStudio format
# BPM: 145
# Total chords: 49

Time,Keys,Duration
0.00,F#3,0.41
0.41,F3,0.41
0.83,F#3,0.41
1.24,A2D3,0.41
1.65,C3,0.41
2.06,F#3,0.83
2.89,A#2C#3,0.41
3.30,D3,0.41
3.72,C#3D#3,0.41
4.13,D3,0.41
4.54,A2E3,0.41
4.96,B2,0.41
5.37,D3,0.41
5.78,E3,0.83
6.61,F#3,0.41
7.02,F3,0.41
7.43,F#3,0.41
7.85,A2D3,0.41
8.26,C3,0.41
8.67,F#3,0.83
9.50,A#2C#3,0.41
9.91,D3,0.41
10.32,C#3D#3,0.41
10.74,G#3,0.41
11.15,A2,0.41
11.56,B2F#3,0.41
11.98,D3,0.41
12.39,D#3,0.41
12.80,E3,0.41
13.22,F#3,0.41
13.63,F3,0.41
14.04,F#3,0.41
14.46,A2D3,0.41
14.87,C3,0.41
15.28,F#3,0.83
16.11,A#2C#3,0.41
16.52,D3,0.41
16.93,C#3D#3,0.41
17.35,D3,0.41
17.76,A2E3,0.41
18.17,B2,0.41
18.59,D3F3,0.41
19.00,F#3,0.41
19.41,A2B2D3,0.83
20.24,F3,0.41
20.65,F#3,0.41
21.06,D3,0.83
21.89,C#3,0.83
22.71,A2B2D3,0.50
